sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
5.109963421561954,3.4955561677377953,1.3814435241869403,0.19010397565623594,0.00401704212817765
4.910536061165479,3.000403965116798,1.3724824488535758,0.18969646989129177,-0.007288749284138782
4.68554461876372,3.1981975336144264,1.3205321565606625,0.20118498106057914,0.009236290269771215
4.600030823998704,3.0942985479341307,1.505068921406698,0.20130100203584858,0.014336562433849648
5.014719076390627,3.6020957608520994,1.396853521915835,0.20215684951329552,-0.006214176178510571
5.412564641286998,3.898008793456306,1.713135307158015,0.4021437533146623,0.005834690797268918
4.58581400746152,3.3958828820328164,1.3703494700575145,0.30284888886351663,0.008847761602789486
4.995161042279375,3.3978476611103736,1.508343218685215,0.20905758006123915,-0.007982410836420522
4.401178135219633,2.9100081240992193,1.3884522615511197,0.21528366679659672,0.015086882152907013
4.909153208241431,3.0927279618746004,1.5075246424292947,0.11027410581251436,-0.0074271996881198074
5.411746046017956,3.699859376474672,1.4587930385336565,0.19294327996805707,-0.006224199896263949
4.794941015265498,3.4044146757979186,1.5900414673312813,0.20290087484400948,0.0021993418027512236
4.8068782514600406,2.9992293026076147,1.3921579407650617,0.10671373040387966,0.004873262245066187
4.30935689271687,3.0010099797181735,1.0555097137939566,0.09917412866302444,0.0035390931543025665
5.805291228963528,4.009771834668669,1.195805503447596,0.20614003729087238,0.00815184530457753
5.709265611296262,4.394506350398159,1.5172803156956334,0.40850191462548036,0.009996836974689545
5.400980326631584,3.8998342549454335,1.2886231160982629,0.40532216129123416,-0.0028953649141492486
5.079940326860477,3.493957579439015,1.4034238856067391,0.2987717252744527,0.008846349339547864
5.691093980848408,3.798406010550213,1.7010730931490137,0.30496722343160776,-0.00019845154909834832
5.103714849584793,3.7983335203830144,1.5130978918560174,0.28719609996263806,-0.008322984302819678
5.401404313494626,3.409274925197089,1.684862663805217,0.19683911394778647,-0.019272031501535492
5.10275348222006,3.699498174729875,1.519411631943828,0.39302542130625034,-0.002734983108794966
4.6031367877652904,3.5955678197900767,1.022227185070827,0.20127851734566327,-0.010101669489109557
5.099289650232568,3.302630190067947,1.7258914265536005,0.49791060443705837,-0.013118543693274077
4.799994920168155,3.4022968859701663,1.879599965100991,0.19333720665277915,-0.0007252120213793124
4.991487794018603,3.006012719091806,1.6027405402468577,0.19576563225671037,-0.008608789995539878
4.997516340988061,3.3933527348290164,1.6023707970439591,0.4021090028107472,0.01201260733267069
5.216318180165399,3.5020477899255313,1.4894878879452667,0.2079735372710788,0.005735991653345952
5.212809506937611,3.391447196631264,1.4294880452102185,0.2033058852683452,0.000729293636368797
4.691674478290446,3.201226794176132,1.6030692720498279,0.18552282629886738,-0.016688257527848287
4.794951120871633,3.0950470159655716,1.6052621760273316,0.1886233474461129,-0.02623748958464579
5.386013958378318,3.391245908044629,1.4909346113624495,0.38000682761896,-0.003374918272552699
5.197417950769564,4.09784911806625,1.4828594476069312,0.10563412817540542,0.010212121095856576
5.493462698458081,4.203986461133912,1.4035786971490094,0.20271977060211954,-0.007540892771031849
4.895233549506724,3.1070915443740947,1.545123380011766,0.19182653992033546,0.001320665916220386
5.007264481167152,3.19298915751482,1.2055358833381908,0.18831206880932308,0.022522342601538015
5.502541958407198,3.4931078608490473,1.301862132928361,0.19496988291737083,0.006209317448888263
4.9119228883417865,3.5923565724898667,1.383562862898238,0.09936567279412238,-0.011044787807293932
4.395143846012878,2.99576978399705,1.3088262800142128,0.18668862777048734,-0.004399853401309573
5.10124249448765,3.398521391168764,1.5071339321320445,0.19973869495024485,-0.005578056719844572
5.010744934820718,3.4971840303345436,1.3090044418340114,0.2859778634960011,-0.00389960586653788
4.5228766293731,2.2933116842585677,1.3171538331782582,0.3046022797328918,0.0012883128291281737
4.403236089501244,3.1941359102766427,1.3181959552031697,0.18997463157810732,-0.008721353068050703
4.992013482560874,3.497268078789239,1.5927442777784298,0.5958359826947259,-0.01226373840114713
5.102186185423438,3.7971742737393313,1.9038647399566442,0.39900891610510303,-0.004589984592968614
4.7900613598354,2.999372013641274,1.406380576210621,0.30404610672252363,0.005296061411369931
5.104660004740176,3.799536032132633,1.634300353645416,0.19882233748626682,0.0013663353008100763
4.600144628819992,3.2014791232640625,1.421952989889111,0.21088236177535155,-0.014355089315057837
5.314354083507981,3.706617029705217,1.5080433704865825,0.19460229466027715,0.00491249057383281
4.993705381090522,3.3025323918799128,1.4202988042228029,0.19248178510053815,-0.008113166941194412
7.00824639150812,3.199651563280243,4.684756475149128,1.4060134488965823,0.9923475157864642
6.380167970347375,3.198101596102414,4.498998406709441,1.5080700025985576,1.0019064288108805
6.9080318196950525,3.099537046631495,4.896113835498667,1.5038726287685806,0.997331595634389
5.51874245354477,2.299507944826289,3.981460487661779,1.2847997401210325,0.9987417223433135
6.489225891151486,2.8028030046023042,4.578610862224623,1.5163905415218453,1.007096885725939
5.715193691120804,2.79883845018298,4.491007104526268,1.2979767352158493,0.9997020682051784
6.301536268092112,3.3095210010543035,4.726092417787813,1.6102572015224954,1.001530021407311
