Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,target
EV,5457.0,ATL,TLH,5.0,1047.0,63.0,0.0
OH,6350.0,DSM,MSP,5.0,1020.0,66.0,1.0
WN,759.0,SJC,ONT,2.0,425.0,70.0,0.0
OO,6417.0,LAX,SMX,3.0,621.0,55.0,1.0
YV,7306.0,SYR,IAD,3.0,618.0,77.0,1.0
EV,5275.0,ATL,JAN,1.0,494.0,84.0,0.0
DL,2160.0,MIA,ATL,6.0,1130.0,124.0,1.0
UA,272.0,EWR,ORD,6.0,510.0,165.0,0.0
EV,7107.0,IAD,LGA,5.0,1055.0,85.0,1.0
9E,4288.0,MKE,CVG,3.0,945.0,85.0,0.0
FL,217.0,MKE,RSW,1.0,855.0,174.0,0.0
DL,736.0,SMF,ATL,1.0,1365.0,258.0,1.0
AA,2264.0,DFW,RDU,1.0,1175.0,150.0,1.0
US,5.0,PHX,ORD,3.0,800.0,201.0,1.0
AA,1769.0,LGA,MIA,2.0,550.0,200.0,0.0
WN,3658.0,BUR,PHX,7.0,930.0,85.0,0.0
WN,186.0,HOU,JAN,4.0,960.0,65.0,0.0
EV,5266.0,ATL,MGM,1.0,770.0,54.0,1.0
US,1980.0,PHL,PVD,4.0,945.0,68.0,1.0
B6,622.0,HOU,JFK,2.0,945.0,204.0,0.0
UA,262.0,SEA,IAD,6.0,1392.0,291.0,0.0
WN,3586.0,BWI,SAN,3.0,975.0,360.0,0.0
B6,79.0,JFK,MCO,6.0,1320.0,165.0,1.0
DL,1726.0,FLL,ATL,6.0,970.0,120.0,0.0
YV,7257.0,DTW,ORD,5.0,1060.0,77.0,1.0
OO,4662.0,ABQ,SLC,1.0,360.0,99.0,1.0
AA,522.0,PDX,DFW,3.0,945.0,215.0,0.0
FL,463.0,BWI,ATL,3.0,1167.0,125.0,0.0
OH,6332.0,CLE,CVG,4.0,440.0,76.0,1.0
DL,1244.0,FLL,JFK,2.0,510.0,173.0,0.0
DL,1509.0,MSP,DEN,4.0,555.0,125.0,1.0
OO,6907.0,ORD,DSM,7.0,1085.0,76.0,1.0
WN,3012.0,MDW,MSP,6.0,725.0,90.0,1.0
US,567.0,PHX,MCO,2.0,599.0,246.0,1.0
XE,2409.0,CLE,MCI,7.0,1092.0,124.0,1.0
OO,4464.0,SLC,BZN,3.0,1191.0,80.0,0.0
CO,787.0,EWR,SNA,6.0,1020.0,365.0,1.0
EV,5464.0,OMA,DTW,3.0,810.0,119.0,0.0
YV,2949.0,PHX,TEX,4.0,775.0,121.0,0.0
DL,1036.0,SLC,ATL,6.0,916.0,219.0,0.0
XE,2277.0,IAH,BRO,7.0,700.0,68.0,1.0
EV,5188.0,ATL,DSM,4.0,1155.0,145.0,1.0
EV,5005.0,MEM,DEN,3.0,815.0,155.0,1.0
OH,6283.0,DTW,CVG,2.0,940.0,80.0,0.0
WN,150.0,HOU,MAF,4.0,540.0,85.0,0.0
UA,822.0,IAD,RDU,3.0,1060.0,71.0,1.0
DL,2267.0,BDL,ATL,4.0,1087.0,166.0,1.0
EV,7104.0,IAD,CAE,5.0,1313.0,81.0,0.0
AS,605.0,LAS,SEA,6.0,790.0,164.0,0.0
AA,1578.0,MFE,DFW,7.0,715.0,100.0,1.0
