V1,V6,V10,V12,V13,V14,V15,target
65.0,3629.0,27.0,148.0,1.0,-1.0,0.0,2.0
33.0,-267.0,20.0,1030.0,3.0,-1.0,0.0,2.0
46.0,0.0,25.0,87.0,2.0,-1.0,0.0,1.0
40.0,5010.0,17.0,49.0,1.0,-1.0,0.0,1.0
35.0,1144.0,20.0,197.0,13.0,-1.0,0.0,1.0
43.0,2113.0,29.0,33.0,2.0,-1.0,0.0,1.0
56.0,1113.0,12.0,138.0,1.0,-1.0,0.0,1.0
35.0,2201.0,12.0,350.0,1.0,-1.0,0.0,2.0
44.0,361.0,29.0,217.0,1.0,-1.0,0.0,1.0
59.0,5397.0,23.0,244.0,1.0,92.0,3.0,2.0
31.0,2616.0,21.0,374.0,1.0,185.0,2.0,2.0
34.0,1969.0,7.0,252.0,4.0,-1.0,0.0,1.0
53.0,988.0,20.0,1408.0,5.0,-1.0,0.0,2.0
31.0,4198.0,25.0,234.0,1.0,-1.0,0.0,2.0
48.0,1180.0,27.0,142.0,1.0,238.0,3.0,2.0
48.0,480.0,15.0,830.0,1.0,352.0,2.0,2.0
29.0,273.0,4.0,2775.0,2.0,-1.0,0.0,2.0
28.0,1773.0,23.0,275.0,1.0,-1.0,0.0,1.0
49.0,267.0,9.0,23.0,5.0,-1.0,0.0,1.0
45.0,1441.0,18.0,93.0,1.0,113.0,2.0,1.0
37.0,332.0,14.0,190.0,2.0,84.0,7.0,1.0
45.0,506.0,23.0,229.0,2.0,-1.0,0.0,2.0
35.0,-87.0,3.0,1363.0,7.0,-1.0,0.0,2.0
45.0,9077.0,15.0,139.0,1.0,-1.0,0.0,1.0
52.0,7119.0,20.0,871.0,3.0,-1.0,0.0,2.0
31.0,-305.0,20.0,83.0,3.0,-1.0,0.0,1.0
30.0,2.0,25.0,1031.0,8.0,-1.0,0.0,2.0
37.0,0.0,9.0,179.0,1.0,190.0,1.0,2.0
59.0,0.0,7.0,123.0,3.0,-1.0,0.0,1.0
34.0,127.0,3.0,117.0,1.0,-1.0,0.0,2.0
84.0,81204.0,1.0,390.0,1.0,94.0,3.0,2.0
46.0,149.0,21.0,1222.0,2.0,-1.0,0.0,2.0
40.0,6.0,16.0,464.0,1.0,-1.0,0.0,1.0
51.0,4917.0,23.0,113.0,1.0,-1.0,0.0,2.0
40.0,0.0,8.0,232.0,1.0,-1.0,0.0,1.0
29.0,224.0,24.0,65.0,2.0,81.0,3.0,2.0
54.0,0.0,28.0,161.0,1.0,98.0,2.0,2.0
26.0,535.0,14.0,125.0,1.0,-1.0,0.0,2.0
28.0,5090.0,6.0,1297.0,3.0,-1.0,0.0,2.0
60.0,241.0,30.0,42.0,3.0,-1.0,0.0,1.0
32.0,700.0,13.0,90.0,1.0,-1.0,0.0,2.0
56.0,549.0,20.0,181.0,2.0,-1.0,0.0,1.0
43.0,30.0,30.0,379.0,17.0,-1.0,0.0,1.0
35.0,1228.0,9.0,696.0,2.0,88.0,12.0,2.0
53.0,1379.0,4.0,68.0,1.0,-1.0,0.0,1.0
36.0,520.0,23.0,110.0,2.0,-1.0,0.0,1.0
58.0,3161.0,30.0,542.0,2.0,-1.0,0.0,2.0
37.0,197.0,16.0,175.0,1.0,200.0,1.0,2.0
33.0,404.0,7.0,139.0,1.0,-1.0,0.0,1.0
43.0,740.0,20.0,585.0,2.0,-1.0,0.0,2.0
42.0,324.0,27.0,203.0,2.0,-1.0,0.0,1.0
60.0,0.0,3.0,676.0,2.0,181.0,5.0,2.0
29.0,694.0,16.0,1806.0,4.0,-1.0,0.0,2.0
42.0,4791.0,30.0,88.0,2.0,-1.0,0.0,1.0
36.0,105.0,28.0,76.0,1.0,-1.0,0.0,1.0
46.0,0.0,27.0,763.0,5.0,-1.0,0.0,2.0
52.0,193.0,30.0,381.0,1.0,269.0,1.0,2.0
35.0,107.0,6.0,142.0,3.0,-1.0,0.0,1.0
31.0,287.0,19.0,182.0,1.0,-1.0,0.0,1.0
21.0,423.0,8.0,104.0,5.0,-1.0,0.0,2.0
40.0,369.0,6.0,79.0,2.0,-1.0,0.0,1.0
40.0,193.0,18.0,105.0,6.0,-1.0,0.0,1.0
31.0,283.0,28.0,98.0,2.0,241.0,1.0,1.0
59.0,182.0,12.0,90.0,1.0,104.0,2.0,1.0
40.0,1361.0,29.0,1473.0,1.0,-1.0,0.0,2.0
55.0,818.0,4.0,185.0,2.0,247.0,3.0,1.0
52.0,5303.0,19.0,133.0,1.0,-1.0,0.0,2.0
30.0,872.0,15.0,61.0,1.0,298.0,2.0,1.0
55.0,3122.0,8.0,349.0,1.0,-1.0,0.0,2.0
32.0,799.0,23.0,2078.0,6.0,-1.0,0.0,2.0
38.0,1116.0,9.0,80.0,3.0,-1.0,0.0,1.0
57.0,0.0,6.0,355.0,1.0,-1.0,0.0,2.0
28.0,1086.0,20.0,1112.0,3.0,-1.0,0.0,2.0
32.0,963.0,28.0,15.0,13.0,-1.0,0.0,1.0
32.0,398.0,13.0,716.0,1.0,-1.0,0.0,2.0
47.0,1693.0,22.0,608.0,2.0,92.0,4.0,2.0
40.0,0.0,5.0,985.0,6.0,-1.0,0.0,1.0
57.0,-64.0,24.0,147.0,1.0,-1.0,0.0,1.0
30.0,609.0,6.0,145.0,1.0,-1.0,0.0,1.0
40.0,-164.0,7.0,87.0,1.0,-1.0,0.0,1.0
64.0,1370.0,12.0,174.0,1.0,-1.0,0.0,1.0
31.0,236.0,4.0,211.0,3.0,-1.0,0.0,1.0
26.0,915.0,2.0,384.0,1.0,-1.0,0.0,2.0
45.0,5461.0,20.0,841.0,2.0,-1.0,0.0,2.0
50.0,-151.0,18.0,63.0,2.0,-1.0,0.0,1.0
40.0,5674.0,18.0,84.0,1.0,-1.0,0.0,1.0
35.0,136.0,7.0,283.0,1.0,-1.0,0.0,1.0
32.0,134.0,15.0,532.0,3.0,-1.0,0.0,2.0
32.0,708.0,9.0,109.0,1.0,-1.0,0.0,1.0
77.0,4659.0,14.0,161.0,1.0,-1.0,0.0,2.0
52.0,36.0,13.0,109.0,2.0,-1.0,0.0,1.0
58.0,2.0,11.0,168.0,3.0,-1.0,0.0,1.0
55.0,12159.0,8.0,179.0,5.0,139.0,4.0,1.0
28.0,2725.0,16.0,292.0,1.0,504.0,1.0,2.0
31.0,-720.0,15.0,112.0,2.0,-1.0,0.0,1.0
32.0,-32.0,29.0,320.0,1.0,185.0,5.0,1.0
27.0,-67.0,6.0,604.0,3.0,236.0,2.0,2.0
59.0,1308.0,30.0,183.0,4.0,-1.0,0.0,1.0
34.0,1368.0,18.0,252.0,2.0,-1.0,0.0,1.0
34.0,133.0,12.0,171.0,2.0,181.0,3.0,2.0
27.0,-97.0,18.0,1528.0,2.0,-1.0,0.0,2.0
39.0,76.0,15.0,200.0,1.0,183.0,1.0,2.0
45.0,154.0,7.0,1138.0,1.0,-1.0,0.0,2.0
29.0,307.0,2.0,690.0,1.0,-1.0,0.0,2.0
35.0,204.0,17.0,295.0,1.0,186.0,9.0,1.0
37.0,3728.0,20.0,55.0,4.0,-1.0,0.0,1.0
29.0,464.0,9.0,208.0,2.0,91.0,3.0,2.0
31.0,256.0,16.0,873.0,2.0,-1.0,0.0,2.0
39.0,597.0,16.0,686.0,6.0,-1.0,0.0,2.0
36.0,828.0,13.0,1512.0,1.0,345.0,8.0,2.0
24.0,1295.0,22.0,355.0,2.0,92.0,1.0,2.0
42.0,1289.0,15.0,250.0,4.0,415.0,2.0,2.0
20.0,801.0,11.0,244.0,2.0,-1.0,0.0,2.0
34.0,-308.0,30.0,140.0,2.0,-1.0,0.0,1.0
24.0,431.0,19.0,418.0,11.0,185.0,5.0,2.0
36.0,12264.0,11.0,285.0,1.0,182.0,2.0,2.0
45.0,3329.0,17.0,311.0,2.0,-1.0,0.0,1.0
59.0,320.0,15.0,695.0,1.0,-1.0,0.0,2.0
42.0,191.0,14.0,382.0,3.0,371.0,1.0,1.0
54.0,129.0,28.0,867.0,2.0,-1.0,0.0,2.0
44.0,1989.0,20.0,106.0,2.0,-1.0,0.0,1.0
31.0,414.0,16.0,241.0,1.0,-1.0,0.0,2.0
52.0,5275.0,22.0,1029.0,3.0,-1.0,0.0,1.0
42.0,-407.0,12.0,829.0,7.0,-1.0,0.0,2.0
31.0,0.0,26.0,76.0,2.0,-1.0,0.0,1.0
65.0,1176.0,25.0,64.0,1.0,50.0,2.0,1.0
32.0,-242.0,20.0,1202.0,3.0,-1.0,0.0,2.0
41.0,536.0,15.0,76.0,3.0,-1.0,0.0,1.0
39.0,-172.0,15.0,562.0,2.0,-1.0,0.0,2.0
33.0,1117.0,2.0,417.0,1.0,-1.0,0.0,2.0
36.0,4721.0,9.0,288.0,2.0,90.0,3.0,2.0
22.0,3472.0,19.0,529.0,1.0,181.0,4.0,2.0
51.0,328.0,4.0,203.0,1.0,-1.0,0.0,1.0
57.0,2887.0,11.0,123.0,1.0,-1.0,0.0,1.0
66.0,587.0,12.0,457.0,2.0,392.0,2.0,2.0
58.0,999.0,25.0,188.0,6.0,-1.0,0.0,1.0
29.0,196.0,30.0,726.0,2.0,-1.0,0.0,2.0
43.0,386.0,12.0,220.0,3.0,529.0,1.0,2.0
37.0,49.0,16.0,619.0,2.0,-1.0,0.0,2.0
33.0,14850.0,5.0,122.0,5.0,-1.0,0.0,1.0
48.0,5320.0,20.0,792.0,1.0,-1.0,0.0,2.0
36.0,324.0,18.0,104.0,4.0,-1.0,0.0,1.0
53.0,10185.0,23.0,115.0,1.0,-1.0,0.0,2.0
40.0,518.0,17.0,84.0,1.0,-1.0,0.0,1.0
40.0,0.0,10.0,147.0,1.0,96.0,8.0,2.0
32.0,983.0,20.0,500.0,2.0,133.0,1.0,2.0
48.0,734.0,17.0,1208.0,3.0,-1.0,0.0,1.0
60.0,4.0,28.0,602.0,3.0,-1.0,0.0,1.0
71.0,3895.0,7.0,116.0,1.0,-1.0,0.0,1.0
32.0,796.0,30.0,198.0,1.0,160.0,1.0,1.0
30.0,-130.0,3.0,194.0,2.0,-1.0,0.0,1.0
39.0,0.0,5.0,811.0,2.0,-1.0,0.0,2.0
31.0,84.0,15.0,264.0,2.0,-1.0,0.0,1.0
38.0,1767.0,9.0,483.0,4.0,239.0,7.0,2.0
55.0,-308.0,2.0,781.0,1.0,-1.0,0.0,2.0
32.0,2465.0,13.0,414.0,1.0,-1.0,0.0,2.0
22.0,144.0,21.0,116.0,1.0,-1.0,0.0,2.0
28.0,3844.0,3.0,132.0,2.0,-1.0,0.0,1.0
36.0,506.0,3.0,217.0,1.0,70.0,2.0,2.0
41.0,780.0,15.0,432.0,3.0,-1.0,0.0,1.0
57.0,1631.0,2.0,254.0,2.0,261.0,3.0,1.0
68.0,4189.0,14.0,897.0,2.0,-1.0,0.0,2.0
40.0,211.0,5.0,216.0,4.0,-1.0,0.0,1.0
43.0,983.0,26.0,97.0,1.0,-1.0,0.0,2.0
48.0,1949.0,13.0,683.0,2.0,-1.0,0.0,2.0
41.0,0.0,6.0,184.0,2.0,323.0,1.0,1.0
33.0,73.0,2.0,218.0,1.0,-1.0,0.0,2.0
58.0,2516.0,16.0,303.0,1.0,-1.0,0.0,1.0
70.0,482.0,14.0,372.0,1.0,196.0,2.0,2.0
28.0,882.0,8.0,107.0,2.0,-1.0,0.0,1.0
32.0,112.0,5.0,118.0,1.0,-1.0,0.0,1.0
32.0,616.0,27.0,118.0,7.0,-1.0,0.0,1.0
49.0,377.0,22.0,158.0,1.0,59.0,2.0,1.0
61.0,0.0,16.0,136.0,2.0,-1.0,0.0,2.0
36.0,0.0,17.0,138.0,5.0,-1.0,0.0,1.0
31.0,233.0,14.0,241.0,2.0,365.0,10.0,1.0
36.0,346.0,5.0,202.0,1.0,-1.0,0.0,1.0
31.0,18.0,30.0,72.0,19.0,-1.0,0.0,1.0
78.0,631.0,11.0,95.0,1.0,-1.0,0.0,1.0
40.0,640.0,17.0,202.0,2.0,-1.0,0.0,1.0
35.0,271.0,20.0,68.0,1.0,-1.0,0.0,1.0
32.0,9049.0,21.0,536.0,1.0,-1.0,0.0,1.0
40.0,874.0,14.0,75.0,1.0,-1.0,0.0,1.0
36.0,4596.0,16.0,901.0,2.0,-1.0,0.0,2.0
24.0,525.0,16.0,253.0,1.0,332.0,1.0,1.0
32.0,217.0,15.0,692.0,3.0,-1.0,0.0,2.0
39.0,1968.0,21.0,648.0,1.0,-1.0,0.0,2.0
34.0,-106.0,27.0,237.0,1.0,-1.0,0.0,1.0
33.0,80.0,18.0,126.0,1.0,-1.0,0.0,1.0
34.0,-353.0,15.0,122.0,4.0,-1.0,0.0,1.0
49.0,378.0,9.0,189.0,2.0,-1.0,0.0,1.0
34.0,50.0,2.0,173.0,1.0,258.0,2.0,1.0
27.0,265.0,13.0,1119.0,2.0,-1.0,0.0,2.0
75.0,2970.0,12.0,641.0,1.0,-1.0,0.0,2.0
47.0,7.0,8.0,175.0,2.0,-1.0,0.0,1.0
52.0,583.0,17.0,209.0,1.0,91.0,2.0,2.0
35.0,149.0,29.0,507.0,3.0,349.0,1.0,2.0
74.0,1714.0,17.0,127.0,1.0,-1.0,0.0,2.0
31.0,1260.0,21.0,93.0,1.0,-1.0,0.0,1.0
46.0,1120.0,19.0,786.0,1.0,-1.0,0.0,1.0
48.0,-18.0,8.0,11.0,1.0,-1.0,0.0,1.0
32.0,133.0,15.0,171.0,1.0,-1.0,0.0,2.0
35.0,3160.0,16.0,445.0,2.0,95.0,1.0,2.0
60.0,1034.0,7.0,231.0,3.0,-1.0,0.0,2.0
29.0,70.0,25.0,393.0,1.0,-1.0,0.0,2.0
59.0,0.0,17.0,98.0,1.0,-1.0,0.0,1.0
35.0,1178.0,14.0,727.0,3.0,182.0,2.0,1.0
25.0,789.0,23.0,202.0,1.0,-1.0,0.0,1.0
44.0,3959.0,21.0,187.0,1.0,-1.0,0.0,1.0
48.0,2266.0,18.0,676.0,1.0,-1.0,0.0,2.0
38.0,0.0,20.0,266.0,3.0,-1.0,0.0,1.0
60.0,73.0,8.0,243.0,2.0,-1.0,0.0,2.0
61.0,6.0,14.0,133.0,2.0,-1.0,0.0,2.0
