V1,V6,V10,V12,V13,V14,V15,target
65,3629.0,27,148.0,1,-1.0,0,2
33,-267.0,20,1030.0,3,-1.0,0,2
46,0.0,25,87.0,2,-1.0,0,1
40,5010.0,17,49.0,1,-1.0,0,1
35,1144.0,20,197.0,13,-1.0,0,1
43,2113.0,29,33.0,2,-1.0,0,1
56,1113.0,12,138.0,1,-1.0,0,1
35,2201.0,12,350.0,1,-1.0,0,2
44,361.0,29,217.0,1,-1.0,0,1
59,5397.0,23,244.0,1,92.0,3,2
31,2616.0,21,374.0,1,185.0,2,2
34,1969.0,7,252.0,4,-1.0,0,1
53,988.0,20,1408.0,5,-1.0,0,2
31,4198.0,25,234.0,1,-1.0,0,2
48,1180.0,27,142.0,1,238.0,3,2
48,480.0,15,830.0,1,352.0,2,2
29,273.0,4,2775.0,2,-1.0,0,2
28,1773.0,23,275.0,1,-1.0,0,1
49,267.0,9,23.0,5,-1.0,0,1
45,1441.0,18,93.0,1,113.0,2,1
37,332.0,14,190.0,2,84.0,7,1
45,506.0,23,229.0,2,-1.0,0,2
35,-87.0,3,1363.0,7,-1.0,0,2
45,9077.0,15,139.0,1,-1.0,0,1
52,7119.0,20,871.0,3,-1.0,0,2
31,-305.0,20,83.0,3,-1.0,0,1
30,2.0,25,1031.0,8,-1.0,0,2
37,0.0,9,179.0,1,190.0,1,2
59,0.0,7,123.0,3,-1.0,0,1
34,127.0,3,117.0,1,-1.0,0,2
84,81204.0,1,390.0,1,94.0,3,2
46,149.0,21,1222.0,2,-1.0,0,2
40,6.0,16,464.0,1,-1.0,0,1
51,4917.0,23,113.0,1,-1.0,0,2
40,0.0,8,232.0,1,-1.0,0,1
29,224.0,24,65.0,2,81.0,3,2
54,0.0,28,161.0,1,98.0,2,2
26,535.0,14,125.0,1,-1.0,0,2
28,5090.0,6,1297.0,3,-1.0,0,2
60,241.0,30,42.0,3,-1.0,0,1
32,700.0,13,90.0,1,-1.0,0,2
56,549.0,20,181.0,2,-1.0,0,1
43,30.0,30,379.0,17,-1.0,0,1
35,1228.0,9,696.0,2,88.0,12,2
53,1379.0,4,68.0,1,-1.0,0,1
36,520.0,23,110.0,2,-1.0,0,1
58,3161.0,30,542.0,2,-1.0,0,2
37,197.0,16,175.0,1,200.0,1,2
33,404.0,7,139.0,1,-1.0,0,1
43,740.0,20,585.0,2,-1.0,0,2
42,324.0,27,203.0,2,-1.0,0,1
60,0.0,3,676.0,2,181.0,5,2
29,694.0,16,1806.0,4,-1.0,0,2
42,4791.0,30,88.0,2,-1.0,0,1
36,105.0,28,76.0,1,-1.0,0,1
46,0.0,27,763.0,5,-1.0,0,2
52,193.0,30,381.0,1,269.0,1,2
35,107.0,6,142.0,3,-1.0,0,1
31,287.0,19,182.0,1,-1.0,0,1
21,423.0,8,104.0,5,-1.0,0,2
40,369.0,6,79.0,2,-1.0,0,1
40,193.0,18,105.0,6,-1.0,0,1
31,283.0,28,98.0,2,241.0,1,1
59,182.0,12,90.0,1,104.0,2,1
40,1361.0,29,1473.0,1,-1.0,0,2
55,818.0,4,185.0,2,247.0,3,1
52,5303.0,19,133.0,1,-1.0,0,2
30,872.0,15,61.0,1,298.0,2,1
55,3122.0,8,349.0,1,-1.0,0,2
32,799.0,23,2078.0,6,-1.0,0,2
38,1116.0,9,80.0,3,-1.0,0,1
57,0.0,6,355.0,1,-1.0,0,2
28,1086.0,20,1112.0,3,-1.0,0,2
32,963.0,28,15.0,13,-1.0,0,1
32,398.0,13,716.0,1,-1.0,0,2
47,1693.0,22,608.0,2,92.0,4,2
40,0.0,5,985.0,6,-1.0,0,1
57,-64.0,24,147.0,1,-1.0,0,1
30,609.0,6,145.0,1,-1.0,0,1
40,-164.0,7,87.0,1,-1.0,0,1
64,1370.0,12,174.0,1,-1.0,0,1
31,236.0,4,211.0,3,-1.0,0,1
26,915.0,2,384.0,1,-1.0,0,2
45,5461.0,20,841.0,2,-1.0,0,2
50,-151.0,18,63.0,2,-1.0,0,1
40,5674.0,18,84.0,1,-1.0,0,1
35,136.0,7,283.0,1,-1.0,0,1
32,134.0,15,532.0,3,-1.0,0,2
32,708.0,9,109.0,1,-1.0,0,1
77,4659.0,14,161.0,1,-1.0,0,2
52,36.0,13,109.0,2,-1.0,0,1
58,2.0,11,168.0,3,-1.0,0,1
55,12159.0,8,179.0,5,139.0,4,1
28,2725.0,16,292.0,1,504.0,1,2
31,-720.0,15,112.0,2,-1.0,0,1
32,-32.0,29,320.0,1,185.0,5,1
27,-67.0,6,604.0,3,236.0,2,2
59,1308.0,30,183.0,4,-1.0,0,1
34,1368.0,18,252.0,2,-1.0,0,1
34,133.0,12,171.0,2,181.0,3,2
27,-97.0,18,1528.0,2,-1.0,0,2
39,76.0,15,200.0,1,183.0,1,2
45,154.0,7,1138.0,1,-1.0,0,2
29,307.0,2,690.0,1,-1.0,0,2
35,204.0,17,295.0,1,186.0,9,1
37,3728.0,20,55.0,4,-1.0,0,1
29,464.0,9,208.0,2,91.0,3,2
31,256.0,16,873.0,2,-1.0,0,2
39,597.0,16,686.0,6,-1.0,0,2
36,828.0,13,1512.0,1,345.0,8,2
24,1295.0,22,355.0,2,92.0,1,2
42,1289.0,15,250.0,4,415.0,2,2
20,801.0,11,244.0,2,-1.0,0,2
34,-308.0,30,140.0,2,-1.0,0,1
24,431.0,19,418.0,11,185.0,5,2
36,12264.0,11,285.0,1,182.0,2,2
45,3329.0,17,311.0,2,-1.0,0,1
59,320.0,15,695.0,1,-1.0,0,2
42,191.0,14,382.0,3,371.0,1,1
54,129.0,28,867.0,2,-1.0,0,2
44,1989.0,20,106.0,2,-1.0,0,1
31,414.0,16,241.0,1,-1.0,0,2
52,5275.0,22,1029.0,3,-1.0,0,1
42,-407.0,12,829.0,7,-1.0,0,2
31,0.0,26,76.0,2,-1.0,0,1
65,1176.0,25,64.0,1,50.0,2,1
32,-242.0,20,1202.0,3,-1.0,0,2
41,536.0,15,76.0,3,-1.0,0,1
39,-172.0,15,562.0,2,-1.0,0,2
33,1117.0,2,417.0,1,-1.0,0,2
36,4721.0,9,288.0,2,90.0,3,2
22,3472.0,19,529.0,1,181.0,4,2
51,328.0,4,203.0,1,-1.0,0,1
57,2887.0,11,123.0,1,-1.0,0,1
66,587.0,12,457.0,2,392.0,2,2
58,999.0,25,188.0,6,-1.0,0,1
29,196.0,30,726.0,2,-1.0,0,2
43,386.0,12,220.0,3,529.0,1,2
37,49.0,16,619.0,2,-1.0,0,2
33,14850.0,5,122.0,5,-1.0,0,1
48,5320.0,20,792.0,1,-1.0,0,2
36,324.0,18,104.0,4,-1.0,0,1
53,10185.0,23,115.0,1,-1.0,0,2
40,518.0,17,84.0,1,-1.0,0,1
40,0.0,10,147.0,1,96.0,8,2
32,983.0,20,500.0,2,133.0,1,2
48,734.0,17,1208.0,3,-1.0,0,1
60,4.0,28,602.0,3,-1.0,0,1
71,3895.0,7,116.0,1,-1.0,0,1
32,796.0,30,198.0,1,160.0,1,1
30,-130.0,3,194.0,2,-1.0,0,1
39,0.0,5,811.0,2,-1.0,0,2
31,84.0,15,264.0,2,-1.0,0,1
38,1767.0,9,483.0,4,239.0,7,2
55,-308.0,2,781.0,1,-1.0,0,2
32,2465.0,13,414.0,1,-1.0,0,2
22,144.0,21,116.0,1,-1.0,0,2
28,3844.0,3,132.0,2,-1.0,0,1
36,506.0,3,217.0,1,70.0,2,2
41,780.0,15,432.0,3,-1.0,0,1
57,1631.0,2,254.0,2,261.0,3,1
68,4189.0,14,897.0,2,-1.0,0,2
40,211.0,5,216.0,4,-1.0,0,1
43,983.0,26,97.0,1,-1.0,0,2
48,1949.0,13,683.0,2,-1.0,0,2
41,0.0,6,184.0,2,323.0,1,1
33,73.0,2,218.0,1,-1.0,0,2
58,2516.0,16,303.0,1,-1.0,0,1
70,482.0,14,372.0,1,196.0,2,2
28,882.0,8,107.0,2,-1.0,0,1
32,112.0,5,118.0,1,-1.0,0,1
32,616.0,27,118.0,7,-1.0,0,1
49,377.0,22,158.0,1,59.0,2,1
61,0.0,16,136.0,2,-1.0,0,2
36,0.0,17,138.0,5,-1.0,0,1
31,233.0,14,241.0,2,365.0,10,1
36,346.0,5,202.0,1,-1.0,0,1
31,18.0,30,72.0,19,-1.0,0,1
78,631.0,11,95.0,1,-1.0,0,1
40,640.0,17,202.0,2,-1.0,0,1
35,271.0,20,68.0,1,-1.0,0,1
32,9049.0,21,536.0,1,-1.0,0,1
40,874.0,14,75.0,1,-1.0,0,1
36,4596.0,16,901.0,2,-1.0,0,2
24,525.0,16,253.0,1,332.0,1,1
32,217.0,15,692.0,3,-1.0,0,2
39,1968.0,21,648.0,1,-1.0,0,2
34,-106.0,27,237.0,1,-1.0,0,1
33,80.0,18,126.0,1,-1.0,0,1
34,-353.0,15,122.0,4,-1.0,0,1
49,378.0,9,189.0,2,-1.0,0,1
34,50.0,2,173.0,1,258.0,2,1
27,265.0,13,1119.0,2,-1.0,0,2
75,2970.0,12,641.0,1,-1.0,0,2
47,7.0,8,175.0,2,-1.0,0,1
52,583.0,17,209.0,1,91.0,2,2
35,149.0,29,507.0,3,349.0,1,2
74,1714.0,17,127.0,1,-1.0,0,2
31,1260.0,21,93.0,1,-1.0,0,1
46,1120.0,19,786.0,1,-1.0,0,1
48,-18.0,8,11.0,1,-1.0,0,1
32,133.0,15,171.0,1,-1.0,0,2
35,3160.0,16,445.0,2,95.0,1,2
60,1034.0,7,231.0,3,-1.0,0,2
29,70.0,25,393.0,1,-1.0,0,2
59,0.0,17,98.0,1,-1.0,0,1
35,1178.0,14,727.0,3,182.0,2,1
25,789.0,23,202.0,1,-1.0,0,1
44,3959.0,21,187.0,1,-1.0,0,1
48,2266.0,18,676.0,1,-1.0,0,2
38,0.0,20,266.0,3,-1.0,0,1
60,73.0,8,243.0,2,-1.0,0,2
61,6.0,14,133.0,2,-1.0,0,2
28,1026.0,13,101.0,3,-1.0,0,1
48,104.0,8,103.0,4,-1.0,0,1
25,349.0,22,1037.0,8,-1.0,0,2
30,583.0,18,453.0,2,-1.0,0,1
59,94.0,12,256.0,2,-1.0,0,1
60,957.0,8,246.0,1,184.0,3,2
45,4958.0,4,212.0,4,-1.0,0,1
32,8866.0,9,234.0,2,83.0,2,2
63,1795.0,7,219.0,1,-1.0,0,2
53,1319.0,19,1318.0,3,-1.0,0,2
48,101.0,21,338.0,3,-1.0,0,1
41,0.0,29,882.0,1,181.0,3,2
34,336.0,2,313.0,2,-1.0,0,1
44,2734.0,12,897.0,4,-1.0,0,2
33,133.0,12,627.0,2,192.0,1,2
90,712.0,3,557.0,1,-1.0,0,2
30,5.0,17,840.0,3,-1.0,0,2
49,914.0,4,185.0,1,-1.0,0,2
54,10.0,18,195.0,4,-1.0,0,1
31,239.0,18,666.0,1,360.0,1,2
55,3848.0,8,222.0,2,-1.0,0,2
47,335.0,4,417.0,1,76.0,1,2
47,2269.0,18,132.0,1,279.0,2,1
48,5326.0,17,116.0,2,-1.0,0,1
