attribute_0,attribute_1,attribute_2,attribute_3,attribute_4,attribute_5,attribute_6,attribute_7,attribute_8,attribute_9,attribute_10,attribute_11,attribute_12,attribute_13,attribute_14,attribute_15,attribute_16,attribute_17,attribute_18,attribute_19,attribute_20,target
0.39660781048876,0.0337803587955239,0.296574075431187,0.242207043575297,0.0711393431303283,0.045303652581795,0.921357313374696,0.263845380552131,0.669530701488491,0.581149560030438,0.357338050265427,0.556412286640608,0.546935376671393,0.0887101545323692,0.663261413551567,0.566961485901047,0.354330066642984,0.228727681517197,0.210639003392132,0.464777548458556,0.841287797333555,0
0.824234248723652,0.873014157414522,0.961458996704784,0.83990373823909,0.973546159840645,0.462693934811926,0.506001461804106,0.686813288214236,0.188523938824413,0.462516900113569,0.0852732408269263,0.767478962495805,0.546207906071896,0.55264421796261,0.455975450106827,0.223397957896383,0.979640050506886,0.866669297136613,0.343486102784393,0.985882645754055,0.153688801346249,0
0.398663154387602,0.772704452521563,0.302906070154546,0.0445433845528319,0.433285604770723,0.0541529497728246,0.373369614709766,0.283408915561533,0.258068701728663,0.600800269698698,0.690716830178456,0.731906045168352,0.994005974243795,0.0623957529641655,0.870285028438806,0.838754945670802,0.680687587709991,0.345531435400154,0.28582927873319,0.6720088574108,0.35118222397106,0
0.321057719747146,0.31189269104796,0.318303162231781,0.407416630691926,0.166331374340193,0.240579140275928,0.122194875199413,0.354478716654993,0.211082797027538,0.337663831524184,0.760860593927294,0.0613480409400904,0.282244856400624,0.249414266333948,0.447175194527474,0.194008570245835,0.212906627524221,0.388351822330005,0.28096595030469,0.130777978238298,0.789693988113286,1
0.733273172488871,0.990645548427771,0.99941837025395,0.908094402806177,0.140726017490573,0.886703481945031,0.741553799882648,0.70996603467261,0.574643133863826,0.705767951258558,0.664334865784143,0.742422735613703,0.0967831027752554,0.941066369433538,0.0352418567919752,0.110735102855981,0.139358299929773,0.982826636113139,0.804694787871342,0.247673585739823,0.498821014688146,1
0.222178017061801,0.405647931913937,0.319341505979326,0.419355455501748,0.697138241571274,0.306559340716978,0.413717123672564,0.257804421259553,0.442640044132643,0.513750063299457,0.670389910406444,0.435708582701958,0.371504767985763,0.413855143087641,0.817624207943274,0.724459810465101,0.703596141874171,0.316371173198486,0.16373172410698,0.613722754488729,0.18300534285876,0
0.234224804242767,0.897461874729842,0.780690112206098,0.0322396848071245,0.160900785420446,0.376944286492692,0.968247571376304,0.121862008084024,0.999999566196958,0.968412908885508,0.992083361941001,0.946816102340999,0.0449106571077304,0.208487129794442,0.311382341818139,0.816877954674281,0.212906627524221,0.996412473148248,0.0487484775214399,0.420517495764103,0.917642958936037,0
0.851990692479302,0.374213466616736,0.231560313418262,0.181511451658317,0.574912410198657,0.326347296657133,0.136638780362439,0.918488269794203,0.154510712696413,0.514643832934911,0.625865253687993,0.183293623698564,0.591188751833448,0.171774707008302,0.702669102342079,0.740316088949477,0.54369084033157,0.336513215923515,0.892628795834078,0.659936234243744,0.420306988365294,1
0.0998146143797468,0.128999255110013,0.296574075431187,0.369121052582355,0.618567803023635,0.384891828023782,0.755351328142394,0.0386116364141833,0.732149488962199,0.729304009658768,0.552548516343391,0.548037350220236,0.846351295598183,0.575490134986905,0.862096970244899,0.815622007605731,0.570611729681081,0.189864152974656,0.292215093176657,0.426572097317005,0.331562939775518,0
0.12332667260119,0.780976774567827,0.592479044497786,0.46091586439303,0.755478996262712,0.754545420005862,0.293386489103601,0.166233507081208,0.495534501200325,0.816988893628712,0.658223492424227,0.788154264650419,0.417268866737559,0.444281304613377,0.494500904136473,0.544963702793287,0.723295531328612,0.575201651231834,0.445590369809651,0.605657852743473,0.800269383391091,1
