Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,target
AA,1344.0,SAT,DFW,7.0,705.0,70.0,0.0
OO,4634.0,LGB,SLC,1.0,605.0,117.0,0.0
CO,1704.0,IAH,OKC,7.0,1265.0,83.0,0.0
OO,7755.0,SLC,CDC,3.0,459.0,72.0,0.0
XE,2300.0,TUL,IAH,5.0,1002.0,97.0,0.0
9E,4143.0,FWA,DTW,6.0,345.0,59.0,0.0
CO,1611.0,EWR,IAH,6.0,1245.0,232.0,0.0
FL,677.0,MKE,MCO,1.0,977.0,164.0,0.0
B6,20.0,TPA,JFK,2.0,365.0,149.0,0.0
AA,263.0,IAD,LAX,1.0,865.0,350.0,0.0
WN,641.0,PIT,PHL,1.0,1035.0,90.0,0.0
US,1276.0,PHL,IND,5.0,1075.0,127.0,1.0
WN,1930.0,LAS,HOU,2.0,1070.0,175.0,1.0
AA,865.0,AUS,DFW,5.0,655.0,65.0,0.0
9E,3662.0,MSP,BNA,5.0,1145.0,138.0,1.0
B6,471.0,BOS,SJC,5.0,985.0,398.0,0.0
DL,1310.0,IND,DTW,7.0,1040.0,85.0,1.0
WN,3252.0,SLC,SEA,2.0,790.0,130.0,1.0
OO,7766.0,PIH,SLC,7.0,1095.0,53.0,0.0
UA,694.0,ORD,LGA,3.0,1260.0,119.0,0.0
AA,321.0,LGA,ORD,2.0,665.0,160.0,1.0
FL,657.0,ATL,SAT,4.0,620.0,165.0,0.0
MQ,4586.0,MSP,LGA,1.0,525.0,160.0,0.0
AA,1281.0,BOS,DFW,7.0,925.0,265.0,0.0
OH,6761.0,BOS,JFK,6.0,360.0,85.0,0.0
XE,2234.0,IAH,MSY,6.0,1285.0,54.0,0.0
B6,50.0,FLL,JFK,7.0,1185.0,165.0,0.0
CO,1807.0,TPA,IAH,1.0,1126.0,144.0,1.0
MQ,4144.0,ORD,CMI,5.0,805.0,50.0,0.0
XE,2882.0,BNA,EWR,7.0,1180.0,122.0,1.0
9E,3781.0,DTW,GRB,1.0,1300.0,90.0,1.0
UA,791.0,DEN,DSM,4.0,621.0,105.0,0.0
US,991.0,IAD,CLT,6.0,420.0,87.0,1.0
9E,4212.0,DTW,TYS,2.0,620.0,99.0,0.0
DL,2801.0,BWI,MSP,1.0,865.0,166.0,0.0
CO,1544.0,IAH,CLE,6.0,620.0,151.0,0.0
MQ,2801.0,SGF,DFW,4.0,1055.0,90.0,1.0
WN,23.0,PHX,ELP,7.0,455.0,65.0,0.0
WN,1172.0,SNA,OAK,7.0,1180.0,80.0,1.0
DL,1122.0,RSW,ATL,6.0,665.0,110.0,0.0
UA,852.0,SFO,SAN,3.0,770.0,97.0,0.0
OO,6496.0,LAX,COS,7.0,1252.0,127.0,1.0
