MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,target
2.9647,11.0,5.180218446601942,0.9969660194174758,4224.0,2.563106796116505,38.49,-121.38,False
2.7042,38.0,4.625368731563422,1.0353982300884956,710.0,2.094395280235988,37.29,-121.89,True
1.8438,52.0,3.06984667802385,1.0442930153321976,2382.0,4.057921635434412,34.07,-118.26,True
3.0718,52.0,5.068965517241379,1.1130268199233715,1128.0,2.160919540229885,37.76,-122.24,True
4.275,37.0,5.653846153846154,1.1634615384615383,436.0,4.1923076923076925,33.85,-117.94,True
3.4107,35.0,5.0339943342776206,1.045325779036827,1158.0,3.280453257790368,32.72,-117.05,False
3.6486,29.0,4.298245614035087,1.0350877192982455,2175.0,3.179824561403509,33.89,-118.35,True
2.125,38.0,3.759864712514093,1.0383314543404736,3612.0,4.072153325817362,34.0,-118.28,False
3.9914,3.0,6.205776173285199,1.0884476534296028,1602.0,2.891696750902527,38.66,-121.46,False
4.1767,34.0,5.356060606060606,0.9962121212121212,983.0,3.7234848484848486,33.92,-118.11,False
5.7559,18.0,6.07223113964687,1.0497592295345104,1843.0,2.958266452648475,33.64,-117.69,True
4.121,16.0,5.308527131782946,1.082170542635659,1940.0,3.007751937984496,32.96,-117.03,True
2.9821,31.0,5.936619718309859,1.204225352112676,1504.0,3.5305164319248825,33.92,-117.5,False
3.4,44.0,4.688235294117647,1.1441176470588237,832.0,2.447058823529412,34.18,-118.32,True
9.2463,39.0,8.12972972972973,1.0432432432432432,1240.0,3.3513513513513518,34.22,-118.21,True
0.9614,28.0,5.3,1.0142857142857142,171.0,2.442857142857143,37.9,-121.28,False
2.3542,43.0,4.921428571428572,1.0,708.0,2.5285714285714285,38.53,-121.48,False
3.25,46.0,5.270949720670391,1.0027932960893855,795.0,2.2206703910614527,32.76,-117.05,False
7.5488,25.0,7.550403225806452,1.0524193548387095,1648.0,3.3225806451612905,33.6,-117.66,True
2.7232,12.0,7.289308176100629,1.3144654088050314,523.0,3.289308176100629,33.84,-117.26,False
1.4429,32.0,4.174757281553398,0.9838187702265372,852.0,2.7572815533980584,36.22,-119.35,False
4.0154,12.0,4.710490463215259,1.116485013623978,2940.0,2.002724795640327,37.98,-122.07,True
4.9153,17.0,5.203883495145631,0.982200647249191,1916.0,3.100323624595469,33.7,-117.87,True
2.9817,21.0,4.876988335100743,1.0455991516436904,2756.0,2.922587486744433,37.44,-122.07,True
1.0918,52.0,2.2533333333333334,1.2026666666666668,1230.0,3.28,32.71,-117.16,False
4.25,18.0,6.222360248447205,1.0260869565217392,2497.0,3.101863354037267,37.32,-120.61,False
3.1563,31.0,3.292585170340681,1.0,1253.0,2.5110220440881763,34.42,-119.71,True
2.3667,11.0,4.559602649006623,1.097682119205298,1328.0,2.198675496688742,36.83,-119.78,False
3.2806,45.0,4.30544747081712,1.0972762645914398,1920.0,3.735408560311284,37.32,-121.88,False
2.0216,32.0,5.685714285714286,1.126530612244898,999.0,4.077551020408163,36.55,-119.79,False
3.0391,20.0,5.59877800407332,1.1710794297352345,1195.0,2.433808553971487,36.41,-118.86,False
