P1,P5p1,P6p2,P11p4,P14p9,P15p1,P15p3,P16p2,P18p2,P27p4,H2p2,H8p2,H10p1,H13p1,H18pA,H40p4,target
7210.0,0.459917,0.016782,0.190569,0.162044,0.835506,0.029404,0.688456,0.003825,0.021558,0.090449,0.014256,0.991655,0.336812,0.090437,0.42,N
3999.0,0.482621,0.00125,0.173543,0.054132,0.953989,0.019505,0.91689,0.001787,0.008937,0.595883,0.000894,0.36908,0.701336,0.420455,0.52381,N
2582.0,0.486057,0.01433,0.104957,0.069329,0.913246,0.0,0.792017,0.0,0.02416,0.027579,0.017857,0.97479,0.057201,0.039063,0.4375,P
5376.0,0.513951,0.010045,0.125372,0.089552,0.852493,0.0,0.731271,0.00435,0.090865,0.050917,0.00725,0.913001,0.178899,0.091463,0.35,P
2692.0,0.486256,0.0026,0.124443,0.075922,0.964339,0.0,0.895706,0.0,0.01227,0.026284,0.001227,0.981595,0.010753,0.08,0.777778,P
4270.0,0.462998,0.011944,0.172834,0.138247,0.685949,0.128806,0.583078,0.004292,0.055794,0.096399,0.006744,0.994482,0.384488,0.070905,0.6,N
2278.0,0.502634,0.0,0.070237,0.030009,0.931519,0.0,0.833333,0.005208,0.03125,0.037594,0.0,0.998698,0.150376,0.12069,0.833333,N
670.0,0.520895,0.0,0.046269,0.037383,0.923881,0.0,0.814634,0.0,0.058537,0.014423,0.0,0.980488,0.302885,0.25,0.0,P
6556.0,0.488255,0.000153,0.073368,0.03845,0.964613,0.0,0.904807,0.000952,0.012375,0.045434,0.0,0.978582,0.033167,0.203704,0.363636,P
1289.0,0.493406,0.016292,0.128782,0.087289,0.906905,0.0,0.779626,0.002079,0.027027,0.18887,0.014553,0.914761,0.374368,0.139241,0.469388,N
4515.0,0.465338,0.000443,0.319823,0.190969,0.761462,0.037874,0.610145,0.004831,0.041063,0.202312,0.0,0.957005,0.586513,0.050802,0.333333,P
2209.0,0.458126,0.033499,0.235401,0.148705,0.802626,0.0,0.643701,0.000984,0.063976,0.054004,0.037402,0.990158,0.119181,0.025424,0.096774,P
957.0,0.477534,0.0,0.183908,0.148,0.862069,0.0,0.667546,0.0,0.015831,0.093301,0.0,1.0,0.215311,0.09901,0.666667,N
37649.0,0.527265,0.078462,0.084757,0.067929,0.81216,0.067093,0.71865,0.005918,0.060141,0.057085,0.06342,0.81158,0.445291,0.16113,0.276596,P
13041.0,0.49145,0.135879,0.083429,0.056544,0.797408,0.013879,0.671585,0.003234,0.121059,0.040341,0.131164,0.918755,0.286656,0.104282,0.37931,P
429.0,0.51049,0.146853,0.144522,0.109524,0.864802,0.0,0.714286,0.011905,0.047619,0.168317,0.136905,0.994048,0.445545,0.058824,1.0,N
1391.0,0.507548,0.0,0.163192,0.077372,0.882818,0.0,0.75365,0.00365,0.034672,0.521397,0.0,0.998175,0.222707,0.039474,0.583333,P
604.0,0.485099,0.0,0.124172,0.073955,0.397351,0.519868,0.651852,0.0,0.022222,0.210526,0.0,1.0,0.245614,0.057143,0.75,N
489.0,0.472393,0.327198,0.194274,0.139535,0.873211,0.0,0.717949,0.005128,0.030769,0.029851,0.25641,1.0,0.208955,0.068966,0.0,P
20608.0,0.493837,0.014897,0.075456,0.07679,0.937257,0.002912,0.847742,0.002581,0.031129,0.03502,0.014355,0.953548,0.190662,0.113601,0.440678,P
774.0,0.437985,0.31137,0.20155,0.133333,0.883721,0.0,0.711864,0.0,0.016949,0.095092,0.267797,1.0,0.306749,0.129032,1.0,N
132.0,0.454546,0.0,0.090909,0.027778,0.909091,0.0,0.795918,0.0,0.040816,0.140351,0.0,1.0,0.280702,0.125,1.0,N
1090.0,0.491743,0.0,0.175229,0.119134,0.866055,0.0,0.714602,0.0,0.037611,0.106719,0.0,0.988938,0.440712,0.06422,0.571429,N
3393.0,0.492485,0.027409,0.017978,0.021487,0.870616,0.0,0.776961,0.004085,0.101307,0.198953,0.025327,0.977124,0.138089,0.093458,0.46,P
1837.0,0.47632,0.001089,0.096897,0.092516,0.86282,0.0,0.698571,0.005714,0.047143,0.048913,0.0,0.99,0.399457,0.051044,0.0,N
419.0,0.47494,0.0,0.133652,0.136364,0.890215,0.0,0.753333,0.02,0.033333,0.096386,0.0,1.0,0.271084,0.09434,0.0,P
8039.0,0.502799,0.072024,0.062072,0.051789,0.935937,0.0,0.838235,0.003771,0.023756,0.063559,0.063348,0.989065,0.285664,0.13963,0.606061,P
362.0,0.497238,0.0,0.174033,0.10989,0.925414,0.0,0.792308,0.0,0.0,0.115646,0.0,0.976923,0.231293,0.16,1.0,N
