Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,target
AA,346.0,STL,ORD,3.0,1035.0,80.0,0.0
WN,2899.0,LAS,PHX,7.0,1075.0,70.0,1.0
WN,1435.0,OMA,MDW,3.0,675.0,80.0,1.0
AS,26.0,SEA,ORD,5.0,1075.0,237.0,0.0
DL,2111.0,ATL,DFW,5.0,890.0,145.0,1.0
HA,121.0,ITO,HNL,7.0,541.0,49.0,0.0
CO,1774.0,ATL,IAH,3.0,905.0,135.0,0.0
WN,1533.0,ABQ,ELP,4.0,1085.0,55.0,1.0
DL,1674.0,MCO,MSP,6.0,585.0,214.0,0.0
YV,2751.0,PHX,SBP,5.0,1258.0,101.0,0.0
FL,217.0,MKE,RSW,7.0,925.0,174.0,0.0
EV,5333.0,MEM,MGM,6.0,1190.0,68.0,0.0
UA,887.0,SFO,LAS,4.0,1244.0,95.0,0.0
OO,6429.0,LAS,SFO,3.0,637.0,102.0,0.0
UA,58.0,KOA,LAX,4.0,1326.0,319.0,1.0
DL,124.0,LAX,ATL,3.0,540.0,253.0,1.0
DL,1270.0,STL,ATL,3.0,530.0,95.0,1.0
AS,69.0,KTN,JNU,5.0,1237.0,63.0,0.0
B6,74.0,JFK,BTV,6.0,1005.0,82.0,0.0
US,1198.0,PBI,DCA,1.0,720.0,135.0,0.0
EV,5354.0,OAJ,ATL,1.0,704.0,95.0,1.0
WN,2021.0,RDU,BNA,2.0,905.0,95.0,1.0
DL,1051.0,MLB,ATL,3.0,678.0,97.0,1.0
DL,2147.0,LGA,ATL,5.0,780.0,160.0,1.0
UA,488.0,ORD,CLT,1.0,1122.0,113.0,0.0
AA,2337.0,ORD,DFW,6.0,940.0,155.0,0.0
DL,2834.0,MSP,TPA,4.0,790.0,192.0,1.0
YV,7258.0,ATW,ORD,7.0,362.0,55.0,0.0
DL,1227.0,RIC,ATL,3.0,350.0,115.0,0.0
DL,2788.0,MSP,MKE,5.0,435.0,73.0,1.0
YV,2730.0,MEM,PHX,1.0,450.0,223.0,0.0
MQ,4490.0,BOS,LGA,1.0,1135.0,85.0,0.0
FL,871.0,ATL,MSP,4.0,947.0,156.0,0.0
WN,389.0,BNA,RDU,1.0,900.0,80.0,1.0
B6,1784.0,MCO,JFK,5.0,954.0,155.0,1.0
YV,2878.0,DRO,PHX,6.0,730.0,78.0,0.0
WN,1279.0,PHX,BWI,1.0,410.0,255.0,1.0
YV,7293.0,ORD,ORF,4.0,1193.0,121.0,1.0
DL,1791.0,ATL,TPA,1.0,850.0,85.0,1.0
WN,1183.0,DAL,AMA,3.0,875.0,70.0,1.0
XE,5931.0,CLE,IAD,6.0,360.0,75.0,1.0
YV,1962.0,ITO,HNL,1.0,1165.0,47.0,0.0
MQ,3206.0,GGG,DFW,4.0,675.0,55.0,0.0
AA,785.0,LGA,DFW,1.0,1060.0,255.0,0.0
OH,6774.0,BDL,DCA,4.0,735.0,100.0,0.0
OO,6388.0,ABQ,DEN,5.0,1023.0,74.0,1.0
UA,67.0,LAX,LIH,7.0,519.0,365.0,0.0
B6,595.0,HPN,MCO,4.0,934.0,166.0,1.0
XE,2392.0,HSV,IAH,4.0,370.0,122.0,0.0
