fLength:,fWidth:,fSize:,fConc:,fConc1:,fAsym:,fM3Long:,fM3Trans:,fAlpha:,fDist:,target
30.972,16.6823,2.6561,0.415,0.2213,-31.3129,-20.3396,13.0838,53.4668,139.9475,h
18.317,12.618,2.5303,0.4827,0.3261,-2.9681,9.5771,-13.2887,48.4839,223.106,h
19.7752,11.7143,2.5838,0.5737,0.3377,19.4423,14.2667,7.5062,74.0078,177.452,h
115.4899,76.447,4.0864,0.0784,0.0503,9.5026,64.9656,-65.9895,51.2142,235.7913,h
18.5274,10.46,2.2095,0.5494,0.287,-24.379,-8.2959,-3.9048,89.8113,225.561,g
84.1012,35.2129,3.6415,0.1826,0.1051,-39.9315,58.3392,28.2555,10.0766,324.815,h
93.0962,39.7987,3.9481,0.1128,0.057,34.9875,101.462,-23.8583,3.5745,202.092,g
18.1716,12.8733,2.586,0.5344,0.3074,0.7496,-6.3392,8.3141,33.8273,162.521,g
20.2913,16.0196,2.4183,0.4084,0.2271,-1.7118,8.3607,-7.6019,12.229,244.877,g
85.9632,28.6412,3.4029,0.2939,0.1525,-55.1716,37.3699,-17.0694,5.703,331.638,g
53.586,3.1711,2.6269,0.3927,0.1933,-3.6971,4.6324,-20.6368,15.9907,201.0377,h
68.3228,13.4531,2.7239,0.3853,0.2011,23.698,74.881,6.9461,38.723,231.315,h
39.7884,7.4617,2.2148,0.5488,0.2896,-23.5701,-18.5409,4.3433,7.5434,159.751,g
81.0836,26.7411,3.4593,0.25,0.153,-20.8654,61.7166,-12.8289,0.572,320.165,g
35.8012,11.1362,2.7384,0.3489,0.1781,37.0027,29.3521,5.4811,37.256,202.701,h
24.1401,15.4525,2.4393,0.4182,0.2273,-17.5407,-15.9255,-12.8517,11.711,166.719,g
25.4859,12.6124,2.4371,0.5302,0.2921,14.1387,17.3165,5.5295,78.2195,196.2962,h
32.9558,16.3255,2.7105,0.4167,0.223,-32.9483,-21.6516,10.1676,7.371,235.9,g
20.724,10.442,2.2788,0.6105,0.3079,-7.9427,18.0789,-10.8265,13.056,201.203,g
29.3655,10.6451,2.4775,0.5091,0.2898,-11.4265,27.2228,-6.9228,46.1961,105.0983,h
139.143,89.1839,3.6977,0.1659,0.0938,-0.2938,-127.256,-61.0442,74.7645,337.488,h
89.668,19.9066,3.0821,0.2202,0.1279,-103.764,68.3034,20.4865,1.189,257.714,g
29.3854,10.0191,2.2776,0.4749,0.2507,17.073,8.6749,11.82,7.1928,153.614,g
33.2159,18.4372,2.7427,0.3617,0.2486,29.5189,30.7272,12.0418,54.1425,249.581,h
160.178,79.7017,3.9957,0.1263,0.0656,-80.2988,-160.174,-30.9095,35.245,357.699,h
19.0819,16.9368,2.8296,0.5107,0.2909,-9.0182,-15.9421,12.1762,13.1186,276.279,h
120.9224,71.0392,3.6757,0.2054,0.0901,-58.0453,-141.1602,45.3024,21.4663,399.0409,h
136.1294,33.9589,3.3121,0.2134,0.1053,-75.1637,-87.9102,32.7287,4.2428,260.9902,h
150.9489,35.0314,3.4776,0.1699,0.0893,-156.6577,-64.5296,31.7427,12.96,220.9457,h
32.3678,11.5595,2.3766,0.4118,0.2248,40.6615,18.0994,11.6078,7.9729,208.17,g
56.994,22.3083,2.7493,0.3544,0.2235,33.4186,48.9174,-20.1552,82.408,237.919,h
24.9054,15.5689,2.5557,0.42,0.2573,16.9954,15.3425,10.6957,12.967,198.518,g
96.4796,57.592,3.3579,0.1604,0.0929,-152.2278,27.6346,37.4663,1.0932,359.4094,h
25.0027,16.9509,2.5993,0.4403,0.2428,24.6662,-19.3035,10.9009,37.97,231.979,h
17.7523,11.0199,2.4564,0.6993,0.3829,-9.6175,16.1649,3.5628,7.7447,145.617,h
57.5604,14.7616,2.4976,0.3879,0.2051,44.0627,48.2894,12.873,18.0583,148.611,g
29.9259,9.5265,2.4541,0.5448,0.2865,10.4934,17.0588,-5.2099,0.255,218.329,g
62.2061,34.732,3.0828,0.1967,0.1012,-58.3155,37.3336,12.9837,29.492,271.638,h
13.2555,10.6448,2.1508,0.7845,0.4346,14.2806,3.7382,-11.6449,71.43,138.516,g
34.9892,20.4457,2.7431,0.2963,0.1545,19.1665,-18.6056,-18.8081,37.9,126.436,g
106.984,10.4787,2.5769,0.3603,0.1921,81.5029,95.5549,4.0825,7.499,207.432,g
99.9364,24.258,2.8885,0.2453,0.1526,-99.3655,65.3518,21.2386,61.6112,169.0678,h
12.9582,11.0301,2.0846,0.7407,0.4568,14.084,-6.9409,7.7325,54.137,139.361,g
19.7315,7.3964,2.2589,0.7328,0.4215,-1.3323,7.4065,-4.9944,10.1245,184.334,g
120.4056,71.2754,3.6697,0.0572,0.0328,-107.9365,-93.9163,69.8837,68.661,175.3863,h
24.7731,21.3805,2.6788,0.4446,0.2492,1.8519,-26.4838,-11.414,53.7318,90.5866,h
24.7098,10.5003,2.3314,0.4615,0.2541,-5.4547,-19.0614,-6.703,2.1688,125.121,g
25.5745,7.0241,2.3962,0.6426,0.4197,12.8445,14.8244,-5.6436,32.4792,74.2403,h
12.984,11.2075,2.1746,0.7492,0.4114,-14.8012,6.0893,11.2711,11.746,194.679,g
29.3197,13.9099,2.889,0.4015,0.2046,10.4261,-17.7753,7.3649,60.7877,186.921,h
88.3337,61.8973,3.6416,0.1967,0.1142,-64.108,-51.9038,-43.1195,25.0024,380.503,h
50.7769,15.7053,2.5353,0.3644,0.191,34.1354,36.8926,-12.7068,3.9303,171.382,g
254.5495,36.3921,3.1612,0.2513,0.1237,-343.3577,187.4007,-24.658,47.5982,69.493,h
98.1404,70.1961,3.1603,0.1249,0.0753,-163.5866,65.8481,46.5455,39.2697,180.4646,h
34.4713,22.056,3.2102,0.2478,0.1316,12.1284,9.5699,-5.215,14.0804,133.505,g
51.6133,14.6678,2.7709,0.4203,0.2466,10.8142,50.0298,10.2579,7.748,271.003,g
33.1412,18.2692,2.8695,0.2876,0.1641,22.1164,20.581,12.7008,11.856,143.47,g
16.8357,11.3438,2.3483,0.5785,0.3296,-1.1618,5.6097,-5.8494,39.434,235.71,g
220.773,73.6335,4.159,0.0832,0.0417,-210.535,-197.551,68.9837,63.8379,291.03,h
84.6887,63.0898,3.637,0.0941,0.0506,-176.867,75.8326,44.5257,44.209,224.205,h
41.8902,19.1267,2.912,0.3491,0.1929,58.3412,-9.5757,9.5459,42.689,168.732,h
157.672,58.5786,3.9945,0.1078,0.0561,-70.9062,-122.064,-40.4482,26.359,299.256,h
19.8196,16.2359,2.3997,0.4143,0.2291,-1.3583,7.7218,-5.7515,88.9179,35.8997,g
36.2607,19.414,2.9545,0.2665,0.1338,31.474,6.0049,-6.6167,17.205,112.518,g
20.4474,15.1399,2.3927,0.6194,0.3138,-25.8726,2.013,-17.4205,31.0795,152.921,h
25.9888,8.5678,2.4815,0.7454,0.5458,-1.8577,6.4153,-9.8427,44.8164,238.8409,h
58.7853,29.6339,3.4814,0.1479,0.0741,-6.4259,39.3732,-14.3964,5.136,209.087,g
20.6349,12.3597,2.3646,0.4881,0.2527,-1.219,3.5963,9.8591,0.1708,88.237,g
82.6882,33.0604,3.8316,0.0984,0.058,90.8886,42.9439,12.4878,2.312,210.328,g
30.7361,8.2288,2.658,0.6,0.3527,19.3985,22.0902,-4.2379,34.689,233.795,h
21.6754,15.56,2.4393,0.4473,0.2782,24.0564,16.0578,0.5722,32.744,72.7002,g
75.4045,40.178,3.4087,0.1178,0.0599,68.7596,60.9121,12.1566,13.77,230.517,g
52.622,14.9202,2.7917,0.2956,0.1543,-99.0799,43.8029,11.0489,10.9695,263.512,g
20.3875,7.2941,2.0737,0.7004,0.384,-0.5028,5.8566,5.6952,84.1758,235.629,g
20.6488,7.1313,2.0774,0.7364,0.3808,23.1464,11.6168,5.8569,54.5987,164.286,g
10.8567,10.8014,2.3301,0.6371,0.3562,30.62,-5.0966,-3.6579,80.3887,148.5263,h
60.6592,11.2519,2.8099,0.3005,0.1619,-16.8522,-52.1026,7.1181,1.307,209.682,g
26.8924,14.2468,2.3233,0.5131,0.2779,35.7676,-9.9324,-14.5065,5.94,114.594,h
40.3394,18.3309,2.8932,0.335,0.1694,7.4195,-28.7926,-11.8535,2.9018,115.644,g
70.8573,19.6306,2.7631,0.4017,0.2285,-34.9747,-38.3308,-12.3777,19.8215,269.139,h
35.8431,31.365,2.7312,0.3608,0.1811,-30.9958,-27.5521,-18.0018,12.2384,101.1014,h
139.5034,29.1444,3.1689,0.2029,0.1091,-66.4221,-66.0404,21.2976,35.5444,93.4935,h
168.6264,65.0079,3.2015,0.1626,0.0701,72.2237,151.233,30.0191,21.6765,216.8033,h
57.0652,24.0205,3.745,0.1781,0.0929,40.7773,46.2678,-15.1825,1.963,199.619,g
96.2068,21.1363,3.1019,0.2357,0.1325,91.0272,66.9564,4.5695,0.686,317.499,g
47.1071,20.7603,3.1159,0.2098,0.1068,13.5867,32.2989,6.1038,12.885,178.097,g
38.9617,8.2674,2.3775,0.5493,0.3375,41.3564,28.819,-4.7539,1.5978,223.92,g
76.7265,46.1018,3.0732,0.1526,0.079,14.4336,38.8298,-40.4289,28.7818,140.9653,h
165.576,94.4208,4.3399,0.04,0.0204,10.6509,19.9567,102.211,16.1094,174.916,h
210.437,62.916,3.3294,0.2843,0.1548,-185.89,-181.302,52.7964,41.879,293.284,h
58.3282,31.4805,3.4804,0.1647,0.0848,21.2353,47.8745,12.987,3.8333,229.249,g
27.2038,16.863,2.7059,0.3701,0.186,-2.6174,23.7255,-14.4131,27.3073,62.8097,h
31.3874,10.1213,2.6042,0.4726,0.255,-17.6592,10.7738,4.7319,53.3396,37.0972,g
35.5161,6.8851,2.7108,0.3854,0.1927,-35.3077,-20.3923,-7.8218,79.9914,67.0511,h
33.6546,11.8162,2.6413,0.5584,0.408,-15.7302,-18.6781,-9.9657,82.1892,202.0755,h
22.5585,17.1438,2.5804,0.3679,0.1879,7.9509,-5.9434,-14.6321,9.3268,184.7,g
54.8335,12.8325,2.9232,0.2995,0.1689,-4.6042,25.123,6.7826,24.614,221.648,h
29.2028,14.4924,2.5165,0.4049,0.2237,10.2394,17.1625,4.855,49.126,38.4126,g
73.9831,14.8533,3.243,0.2374,0.1225,34.4922,61.5336,14.595,8.5651,226.8574,h
22.5472,10.2322,2.3243,0.5687,0.2962,31.0386,-15.4424,-5.4361,31.7443,221.658,g
50.9972,28.1852,3.3969,0.1688,0.0896,23.669,30.9557,10.2588,1.139,203.657,g
19.0999,7.4626,2.1746,0.7492,0.4582,-1.2309,6.4139,4.0277,34.841,123.392,g
77.6685,17.3999,2.6866,0.3951,0.2088,-61.7106,-91.2394,-11.2495,81.6697,78.3511,h
20.1648,7.2982,2.0737,0.7342,0.3924,2.272,-9.4558,-5.4454,37.395,203.935,g
78.8116,28.7278,3.5756,0.2011,0.108,-19.3556,72.7752,-18.0107,2.442,340.083,g
98.881,61.5566,3.3307,0.174,0.1221,2.3314,85.2288,51.3434,20.2721,301.3584,h
31.1773,20.1391,2.8666,0.2842,0.1638,-0.3975,17.2716,6.4543,7.611,131.335,g
20.2999,8.2207,2.604,0.7504,0.3973,15.7176,19.4298,7.5213,52.414,147.8757,h
194.165,70.5358,3.4461,0.1192,0.0693,-165.08,139.542,-65.7539,51.668,182.822,h
63.5666,23.98,3.3601,0.158,0.0858,17.4816,56.0688,-9.2849,5.9768,185.195,g
47.3034,16.5317,3.0398,0.2673,0.1382,48.5697,26.467,-8.3448,17.2617,169.897,g
65.5538,27.4586,3.0265,0.2098,0.1181,-38.5829,-48.3863,19.8231,24.2006,75.4398,h
23.6634,12.2549,2.2945,0.6193,0.368,26.0595,12.6462,7.0634,5.9657,114.657,g
23.8302,9.5854,2.2504,0.6067,0.3848,27.584,-8.0138,7.7657,20.9266,104.336,g
39.1007,17.8057,2.9983,0.3102,0.1822,20.979,38.5368,-10.1579,4.659,227.408,g
22.6959,15.7024,2.4749,0.5528,0.3199,24.0131,13.8633,-13.8479,13.3733,181.641,g
90.2687,47.6937,3.4328,0.122,0.0534,3.3522,-81.2962,35.8926,70.0625,82.9808,h
12.9838,11.2601,2.2082,0.7492,0.3808,-14.9967,3.5058,-11.7837,40.463,222.705,g
75.4455,47.5305,3.4483,0.1417,0.0549,-9.3561,41.0562,-9.4662,30.2987,256.5166,h
20.2832,11.8635,2.5927,0.6181,0.3538,2.4571,18.7698,7.2128,8.7688,226.524,h
177.1863,82.2385,4.0925,0.0471,0.0443,-174.0459,-56.5149,80.8766,4.1574,191.9643,h
25.652,11.5851,2.4533,0.4225,0.2447,11.1956,4.6733,-6.7265,35.088,151.848,g
18.3648,9.9588,2.2788,0.6684,0.3658,-20.9967,-12.0123,6.1841,45.014,200.2,g
66.0336,20.8262,2.4983,0.4794,0.2429,57.2049,-28.664,-19.2174,6.638,283.831,g
108.803,58.9961,3.6426,0.1298,0.0951,-89.6041,60.4447,-61.836,29.991,269.451,h
60.654,16.7887,2.9024,0.3126,0.1421,27.2296,28.9192,-9.7255,53.6138,177.8056,h
84.2134,20.7409,2.7437,0.3464,0.1775,-74.5245,-52.9464,13.8312,54.1745,106.6013,h
22.1297,0.0,2.3128,0.8078,0.4161,0.0,0.0,15.3561,51.791,126.011,h
44.1958,16.4841,2.9437,0.2743,0.169,0.0024,17.5572,12.1674,75.451,91.435,h
34.1382,0.0047,2.2405,0.5977,0.3305,-40.3451,-17.199,0.0,0.0002,139.655,g
119.038,87.3235,4.2585,0.0673,0.0351,68.7653,118.005,-45.9152,10.2255,94.0534,g
46.7818,17.6851,2.8887,0.2662,0.1415,-14.7485,31.3517,12.9528,7.6187,212.679,g
66.9575,40.3173,4.1294,0.0827,0.0424,62.768,44.2846,-22.5145,3.996,181.433,g
19.7233,16.0799,2.4191,0.4648,0.2571,-4.5556,17.284,8.4284,72.4626,106.234,g
52.3035,11.398,2.9403,0.3328,0.1807,-9.6339,29.8225,4.5845,66.884,107.237,h
13.0085,10.5592,2.1775,0.7641,0.5017,12.9303,3.6848,-7.5805,31.3229,101.243,g
21.1481,17.8419,2.5192,0.5567,0.3525,13.5904,21.0494,-7.5893,3.895,196.063,h
36.0322,15.085,2.5211,0.4102,0.2122,43.5622,-4.8233,21.567,85.2358,205.4117,h
15.6021,9.4685,2.5682,0.6312,0.3582,24.1607,22.8723,-9.1663,14.5812,225.2564,h
59.8576,20.2588,3.0846,0.27,0.1362,-106.064,35.8249,20.2197,0.9629,315.114,g
56.3339,33.2362,3.1377,0.1959,0.1082,-11.4472,-45.3503,29.5334,36.418,268.378,h
106.05,23.3158,2.8762,0.4761,0.2773,-90.5509,46.5714,-13.9215,21.0535,251.72,h
29.8866,18.92,2.7664,0.2945,0.1515,24.996,-9.1786,-4.8501,19.5579,177.893,g
50.7355,13.8768,2.4886,0.3279,0.1867,22.9626,32.073,-10.6266,25.98,165.046,g
25.8068,14.3297,2.4836,0.5287,0.2808,34.2145,-8.504,-7.8156,30.6401,229.404,g
19.2878,10.5686,2.5126,0.7035,0.4255,-5.6003,12.5531,7.6606,58.7634,106.324,g
25.3524,16.9733,2.6946,0.3818,0.1949,34.8166,15.4934,-5.5567,11.066,192.401,g
28.3794,0.0,2.5132,0.6564,0.4371,8.8343,20.4291,-0.0001,56.4812,124.652,h
79.1429,19.1217,3.1096,0.404,0.2374,8.3398,57.8134,12.4639,10.901,335.435,h
25.9698,24.5743,2.9387,0.2697,0.1515,22.7264,14.896,18.7037,47.0843,178.2201,h
27.5751,9.1894,2.4822,0.5371,0.3081,7.1629,20.1713,-8.2695,46.481,238.787,h
20.155,7.2713,2.1538,0.7439,0.3895,2.937,-10.3265,5.4073,39.6284,133.688,g
93.2473,27.8615,3.2058,0.2189,0.1279,-126.4139,51.7111,-21.9619,10.055,316.7016,h
32.0205,17.3002,3.0103,0.3164,0.1704,30.7149,18.6074,11.1977,5.6933,179.787,g
24.5566,9.6981,2.3971,0.5491,0.3226,12.9348,-13.8015,5.6128,15.6504,221.256,g
22.2888,12.2423,2.472,0.5295,0.2648,25.9538,6.9253,9.6848,14.999,159.003,g
40.5427,19.561,3.0199,0.2464,0.138,39.2392,25.2336,11.9324,21.1203,175.379,g
35.4054,20.3297,2.8768,0.3001,0.1866,10.9018,28.5441,-13.8102,34.644,92.012,g
21.8676,15.3845,2.4362,0.4249,0.2546,25.4564,13.5299,3.9643,17.2981,205.663,g
114.6393,27.0328,2.9563,0.2257,0.1407,-117.6203,-60.2645,-23.2071,8.5969,306.7322,h
