sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,decile_score.1,score_text,v_type_of_assessment,v_decile_score,v_score_text,end,target
0,41,0,2,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,477,-1
1,69,1,3,0,0,0,0,-6.0,6.0,7,0,1,0,0,1,704,-1
0,23,2,2,0,0,0,7,-1.0,1.0,3,8,0,0,4,2,671,-1
1,50,1,0,0,0,0,18,-1.0,1.0,3,7,0,0,5,2,915,0
1,20,2,0,0,0,2,0,-1.0,1.0,3,4,2,0,6,2,625,0
1,46,1,3,0,0,0,1,0.0,1.0,3,1,1,0,1,1,502,-1
1,59,1,0,0,0,0,15,-1.0,1.0,7,5,2,0,1,1,751,0
1,71,1,2,0,0,0,3,-1.0,1.0,7,0,1,0,0,1,502,-1
1,51,1,1,0,0,0,2,-1.0,1.0,7,1,1,0,1,1,717,-1
1,38,0,0,0,0,0,5,-1.0,1.0,7,3,1,0,1,1,852,-1
1,31,0,0,1,1,1,12,82.0,433.0,3,8,0,0,6,2,82,0
0,52,1,3,0,0,0,0,-1.0,1.0,8,0,1,0,0,1,1155,0
1,40,0,2,0,0,0,5,0.0,1.0,3,3,1,0,0,1,929,-1
1,51,1,3,0,0,0,0,0.0,1.0,3,0,1,0,0,1,1045,0
1,30,0,5,0,0,0,0,-1.0,1.0,7,5,2,0,4,2,416,0
0,32,0,0,0,0,0,5,-1.0,1.0,3,7,0,0,2,1,561,-1
1,36,0,5,0,0,0,0,-1.0,1.0,3,1,1,0,2,1,77,-1
1,28,0,2,0,0,0,2,-1.0,1.0,3,1,1,0,2,1,366,0
1,30,0,2,0,0,0,1,-1.0,1.0,3,7,0,0,2,1,696,-1
1,51,1,0,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,544,-1
1,23,2,1,0,0,0,2,-61.0,61.0,8,2,1,0,3,1,617,-1
1,46,1,0,0,0,0,3,-22.0,22.0,8,0,1,0,0,1,490,0
1,31,0,0,0,0,0,8,-1.0,1.0,7,6,2,0,3,1,224,0
1,25,0,0,0,0,0,1,-1.0,1.0,3,2,1,0,5,2,366,-1
1,21,2,0,1,0,1,2,-1.0,0.0,3,8,0,0,8,0,947,-1
1,50,1,2,0,0,0,1,-21.0,22.0,3,0,1,0,0,1,177,-1
0,31,0,0,0,0,0,2,-1.0,1.0,3,1,1,0,1,1,906,-1
1,23,2,0,0,0,0,2,-1.0,1.0,3,3,1,0,6,2,143,0
1,24,2,0,0,5,0,12,0.0,0.0,8,8,0,0,8,0,374,0
1,35,0,2,0,0,0,2,-1.0,1.0,3,1,1,0,0,1,735,0
1,25,0,0,0,0,0,1,-1.0,1.0,2,1,1,0,2,1,255,-1
1,71,1,2,0,0,0,0,0.0,1.0,3,0,1,0,0,1,528,-1
0,31,0,0,0,0,0,1,-1.0,1.0,7,1,1,0,0,1,1178,0
1,52,1,0,0,0,0,17,0.0,0.0,3,6,2,0,0,1,240,0
1,31,0,2,0,0,0,11,0.0,1.0,2,6,2,0,8,0,485,0
0,28,0,2,0,0,0,1,-1.0,1.0,3,6,2,0,2,1,773,0
1,25,0,0,0,0,1,5,-1.0,1.0,3,9,0,0,7,0,555,0
1,40,0,3,0,0,0,8,-1.0,1.0,3,4,2,0,1,1,812,0
1,36,0,0,0,0,0,3,-1.0,0.0,2,0,1,0,0,1,475,-1
0,28,0,0,0,0,0,5,-1.0,1.0,7,7,0,0,6,2,1139,-1
1,36,0,3,1,0,0,2,-1.0,1.0,8,1,1,0,0,1,56,0
0,29,0,2,0,0,0,3,0.0,0.0,3,2,1,0,1,1,175,-1
1,24,2,0,0,0,0,7,-1.0,1.0,2,7,0,0,6,2,346,0
0,45,1,2,0,1,0,7,-1.0,0.0,3,1,1,0,0,1,693,0
1,29,0,0,0,0,0,1,0.0,0.0,7,1,1,0,1,1,22,0
0,27,0,0,0,0,0,1,-1.0,1.0,3,3,1,0,2,1,580,-1
1,55,1,2,0,0,0,3,-1.0,1.0,3,6,2,0,1,1,642,0
1,29,0,0,0,0,0,8,-1.0,0.0,2,7,0,0,3,1,123,0
1,31,0,0,0,0,1,11,0.0,0.0,3,6,2,0,4,2,555,0
0,30,0,0,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,537,-1
1,59,1,0,0,0,0,1,-1.0,1.0,3,0,1,0,0,1,1178,-1
1,34,0,0,0,0,0,6,205.0,3238.0,3,8,0,0,2,1,205,0
1,30,0,0,0,0,0,14,-1.0,0.0,1,7,0,0,2,1,471,0
0,22,2,0,0,1,0,2,-1.0,1.0,7,7,0,0,7,0,1100,0
1,30,0,2,0,0,0,2,-1.0,2.0,7,1,1,0,1,1,29,0
0,25,0,0,0,0,0,7,-1.0,1.0,3,3,1,0,2,1,470,-1
1,44,0,2,0,0,0,1,0.0,0.0,2,4,2,0,1,1,784,-1
1,26,0,0,0,0,0,0,0.0,0.0,7,3,1,0,3,1,921,-1
1,29,0,0,0,0,0,0,-1.0,1.0,3,1,1,0,1,1,848,0
1,53,1,0,0,0,0,1,-1.0,1.0,3,7,0,0,3,1,1142,-1
1,31,0,3,0,0,0,16,0.0,1.0,3,9,0,0,5,2,1173,0
0,59,1,0,0,0,0,0,-1.0,1.0,7,1,1,0,0,1,1152,-1
1,22,2,2,0,0,0,1,-1.0,1.0,2,2,1,0,4,2,744,0
1,21,2,2,0,0,0,0,-1.0,1.0,3,4,2,0,4,2,693,-1
1,56,1,2,0,0,0,1,0.0,0.0,3,1,1,0,0,1,880,-1
1,34,0,5,0,0,0,0,0.0,0.0,7,0,1,0,0,1,553,-1
0,22,2,0,0,0,0,0,-1.0,1.0,3,3,1,0,3,1,510,0
1,52,1,0,1,0,0,9,-1.0,1.0,7,7,0,0,1,1,64,0
1,57,1,2,0,0,0,1,-1.0,1.0,3,0,1,0,0,1,330,-1
1,31,0,0,0,0,2,11,0.0,1.0,3,9,0,0,6,2,445,0
1,45,1,3,0,0,0,8,-1.0,1.0,3,5,2,0,2,1,921,-1
1,25,0,2,0,2,0,5,-3.0,3.0,7,6,2,0,3,1,1103,0
1,29,0,0,0,0,0,5,0.0,0.0,3,7,0,0,3,1,191,-1
1,26,0,0,0,2,0,13,-69.0,41.0,3,9,0,0,9,0,921,-1
1,33,0,0,0,0,0,0,-4.0,4.0,3,0,1,0,1,1,155,0
1,57,1,2,0,0,0,6,47.0,96.0,3,0,1,0,0,1,47,-1
1,22,2,2,0,0,0,0,-1.0,1.0,3,2,1,0,4,2,782,-1
1,26,0,0,0,0,0,15,-1.0,1.0,2,8,0,0,5,2,800,-1
0,25,0,2,0,0,0,5,-3.0,4.0,3,6,2,0,3,1,452,-1
1,34,0,0,0,0,0,0,-1.0,1.0,7,7,0,0,5,2,604,-1
1,31,0,0,0,0,0,5,-1.0,1.0,8,4,2,0,4,2,111,0
1,40,0,2,0,0,0,10,-1.0,1.0,3,6,2,0,4,2,361,0
1,24,2,0,0,0,0,0,0.0,0.0,3,3,1,0,4,2,1180,0
1,69,1,2,0,0,0,0,0.0,1.0,3,0,1,0,0,1,168,-1
1,56,1,2,0,0,0,13,-59.0,60.0,7,3,1,0,0,1,1031,-1
1,70,1,0,0,0,0,0,-1.0,1.0,8,0,1,0,0,1,1124,-1
0,52,1,2,0,0,0,6,-13.0,13.0,3,0,1,0,0,1,1144,-1
0,33,0,0,0,0,0,3,-1.0,1.0,3,5,2,0,3,1,523,0
1,27,0,0,0,0,0,13,-1.0,1.0,7,7,0,0,8,0,719,0
1,24,2,0,0,5,1,15,-1.0,1.0,2,9,0,0,8,0,132,0
1,41,0,3,0,0,0,9,-1.0,1.0,3,1,1,0,0,1,1061,-1
0,43,0,2,0,0,0,3,9.0,10.0,7,1,1,0,0,1,9,0
1,56,1,0,0,0,0,1,35.0,43.0,3,3,1,0,0,1,35,-1
1,24,2,5,0,0,0,3,-1.0,1.0,7,7,0,0,6,2,239,0
1,28,0,0,0,0,0,2,-1.0,1.0,3,1,1,0,2,1,1115,0
1,22,2,2,0,0,0,0,0.0,0.0,7,3,1,0,4,2,46,0
1,29,0,0,0,0,0,5,0.0,1.0,3,7,0,0,6,2,910,0
1,20,2,0,0,0,0,1,-1.0,1.0,3,7,0,0,6,2,104,0
1,55,1,0,0,0,0,18,-1.0,1.0,7,4,2,0,0,1,584,-1
1,38,0,0,0,0,0,13,-4.0,2.0,3,9,0,0,5,2,28,-1
1,22,2,2,0,0,0,6,-1.0,1.0,3,8,0,0,6,2,17,0
1,70,1,0,0,0,0,2,-1.0,1.0,7,0,1,0,0,1,704,-1
1,54,1,0,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,1133,-1
0,25,0,2,0,0,0,1,-1.0,1.0,7,4,2,0,3,1,1156,0
1,22,2,0,0,0,0,0,-1.0,1.0,7,4,2,0,6,2,1166,0
1,27,0,5,0,0,0,6,-1.0,1.0,3,3,1,0,3,1,781,0
1,29,0,0,0,0,0,2,-1.0,1.0,8,3,1,0,1,1,1059,-1
1,20,2,0,1,1,0,2,162.0,5.0,3,3,1,0,6,2,162,-1
1,31,0,0,1,1,1,12,82.0,433.0,3,8,0,0,6,2,497,0
1,31,0,0,0,0,0,10,-8.0,8.0,3,5,2,0,3,1,1058,0
1,27,0,0,1,1,2,15,-1.0,1.0,3,9,0,0,8,0,384,0
1,21,2,3,1,0,0,1,88.0,321.0,1,7,0,0,8,0,87,0
1,27,0,0,0,0,0,2,-1.0,1.0,2,4,2,0,3,1,782,-1
0,48,1,0,0,0,0,1,-1.0,9485.0,3,0,1,0,0,1,888,-1
1,29,0,0,0,0,0,4,-20.0,20.0,3,0,1,0,0,1,390,-1
1,29,0,2,0,0,0,1,-57.0,57.0,3,1,1,0,1,1,239,-1
1,28,0,3,0,0,0,1,-69.0,69.0,2,1,1,0,2,1,655,-1
1,31,0,0,0,0,0,5,-1.0,1.0,3,6,2,0,3,1,953,-1
