RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,target
0.440207972,30,0,0.12571857,4000.0,5,0,0,0,0,1
0.883288255,33,2,0.510620575,2400.0,13,0,0,0,0,1
0.768199472,53,0,0.356263356,9826.0,13,0,2,0,2,0
1.02372035,28,0,0.01164557,1974.0,2,0,0,0,0,0
0.069450152,70,1,0.43294957,12333.0,14,3,3,0,0,1
0.9999999,29,0,0.0,1167.0,1,0,0,0,1,0
0.9999999,45,0,0.550907978,4900.0,4,3,2,1,0,0
0.0,77,0,0.18943147,4238.0,8,0,1,0,0,0
0.310994271,49,0,0.371957753,6532.0,12,0,2,0,3,0
0.003413846,88,0,0.000799872,6250.0,6,0,0,0,0,0
0.976404719,33,0,0.586357527,2975.0,7,0,1,0,2,0
0.005094995,45,0,0.47742043,6000.0,7,2,3,0,2,1
1.001272496,62,1,0.280813653,5800.0,7,4,0,1,2,1
0.0,75,0,0.0,1700.0,4,0,0,0,0,0
0.359589985,56,0,0.613030048,3560.0,10,0,2,0,1,0
0.74690124,56,0,0.790546047,2453.0,10,0,2,0,0,1
1.005228758,39,6,0.241072797,6524.0,14,1,2,0,2,1
0.718554804,57,0,0.701929807,10000.0,10,0,3,0,1,1
0.646979614,52,1,1.33808554,5400.0,19,0,3,0,2,1
0.642277379,28,0,0.64583854,4000.0,9,0,1,0,0,1
0.003796588,46,2,0.309448425,6000.0,7,0,1,0,2,0
0.9999999,50,1,0.073769581,9000.0,3,1,0,1,0,1
0.9999999,38,0,0.212694126,1480.0,1,0,0,0,2,1
0.710255069,44,0,0.463768116,8900.0,7,0,2,0,4,0
0.962728967,39,0,0.496984098,5470.0,8,0,2,0,1,1
0.040349328,74,0,0.29018245,8056.0,5,0,2,0,1,0
0.991654858,30,0,0.95229983,1760.0,6,1,1,0,0,1
0.867911083,89,0,0.715898097,3100.0,5,0,1,0,0,0
0.832737202,63,0,0.285071445,12666.0,7,0,2,0,0,0
0.030544066,81,0,0.008643042,2313.0,2,0,0,0,0,0
0.217675629,57,0,0.369921293,4700.0,7,0,1,0,1,0
0.236531491,37,0,0.545648254,6100.0,10,1,2,0,0,0
1.109780439,32,0,0.066583437,2402.0,2,0,0,0,0,1
0.197629177,60,0,0.486359092,7000.0,14,0,1,0,1,0
0.017729877,70,0,0.002693658,12250.0,7,0,0,0,0,0
0.068929982,56,0,0.132366502,11928.0,9,0,1,0,0,0
0.028082183,72,0,0.088782244,5000.0,9,0,1,0,1,0
0.780217515,43,1,0.888237593,2558.0,7,1,1,0,0,1
0.736815796,67,0,0.241172552,1500.0,4,0,0,0,0,0
0.869328494,40,1,0.48344095,4800.0,6,0,1,0,2,1
0.024167818,57,1,0.278670083,16000.0,19,0,2,0,0,0
0.0,48,0,0.0,6749.0,2,0,0,0,4,0
0.28711917,65,0,0.242859397,19010.0,13,0,2,0,1,0
0.569575139,59,2,1.04439778,6666.0,21,1,1,0,3,1
0.9999999,58,2,0.103474131,4000.0,2,2,0,0,2,1
0.9999999,36,0,0.014963298,3541.0,0,1,0,0,3,1
0.9999999,25,0,0.263360246,2600.0,2,0,0,0,0,0
0.9999999,44,0,0.0,12900.0,1,0,0,0,0,0
0.041091746,44,0,0.017818444,4152.0,7,0,1,0,0,0
0.340996125,56,0,0.320397907,19300.0,17,0,3,0,2,1
0.119924825,45,0,0.612903226,3068.0,11,0,2,0,3,1
0.02408065,44,0,0.137143381,10900.0,6,0,2,0,1,0
0.9999999,29,98,0.009314141,1180.0,0,98,0,98,1,1
0.006469691,59,0,0.309447507,7800.0,5,0,1,0,3,0
0.0,62,0,0.0,5644.0,1,0,0,0,0,0
0.999484589,48,0,0.721652197,3800.0,16,0,2,0,1,1
0.123250785,53,0,0.642339415,4000.0,10,1,2,0,0,0
0.133131572,48,2,0.278944211,5000.0,12,0,1,0,1,1
0.029060631,78,0,0.005999143,7000.0,4,0,0,0,0,0
0.687120922,62,0,0.496790434,7944.0,10,0,2,0,0,0
0.04169583,38,1,0.471473944,8500.0,7,1,4,0,0,1
0.82000786,30,3,0.345737295,3600.0,8,0,0,0,0,1
0.99191193,48,0,0.599584067,6250.0,5,0,1,1,0,1
1.024337245,31,0,0.541675595,4666.0,10,0,2,0,1,1
0.008553142,45,0,0.312703926,9500.0,9,0,1,0,0,0
0.540362678,61,0,0.462561342,6316.0,16,0,2,0,0,0
0.885670657,54,3,1.027919544,3330.0,15,0,2,0,2,1
0.018024904,52,0,0.220169361,5195.0,9,0,1,1,0,1
0.0,52,0,0.159113629,6001.0,7,0,1,0,3,0
0.657785231,55,2,0.530689568,3958.0,11,0,2,0,0,1
0.004701008,66,0,0.000499917,6000.0,3,0,0,1,0,1
0.246849694,48,0,0.525581912,18000.0,20,0,8,0,1,1
0.9999999,63,0,0.259792166,1250.0,5,0,0,0,0,0
0.122938531,72,1,0.241630056,6600.0,6,0,0,1,0,0
0.9999999,47,4,0.344443704,15000.0,5,0,1,1,4,0
0.016349183,47,0,0.13047277,10300.0,3,0,2,0,2,0
0.928188347,49,0,0.320188836,3600.0,5,0,1,0,0,0
0.0,77,0,0.0,3800.0,5,0,0,0,0,0
0.18264457,55,0,0.37525355,1971.0,9,0,1,0,0,0
0.590227337,65,3,0.440890385,5345.0,7,0,1,0,0,1
0.829560586,34,1,0.248187953,4000.0,6,0,1,0,2,1
0.359541199,31,2,0.424831849,5500.0,8,0,1,0,1,0
0.415528157,27,0,19.5,1.0,1,0,0,0,0,0
0.431540269,52,0,0.486754967,2717.0,10,0,1,0,1,0
0.704154952,28,0,3.547277937,348.0,5,0,0,0,4,1
0.397057615,50,2,0.227150175,7417.0,10,0,0,1,2,1
2.658585354,36,0,0.262861904,4800.0,5,0,0,0,2,1
0.0,32,0,0.071408169,3500.0,3,0,0,1,0,0
0.381735363,33,0,0.728049446,5500.0,12,0,2,0,0,0
1.123505976,53,1,0.205621302,6083.0,10,0,0,0,0,1
0.9999999,62,0,0.370758123,2769.0,4,0,0,0,0,1
0.091325906,53,2,0.331666833,10000.0,13,0,3,0,2,0
0.001393485,85,0,0.21695558,7383.0,12,0,1,0,0,0
1.149390661,39,0,0.556205803,4100.0,5,5,2,2,1,1
0.190053996,28,0,180.0,0.0,7,0,0,0,0,0
0.0,50,0,0.449476723,5541.0,7,0,1,0,0,0
0.906632555,60,0,0.578005788,3800.0,15,0,0,0,0,1
0.943862932,51,0,0.668704923,6377.0,21,0,2,0,1,1
0.763804022,54,0,0.651073065,4146.0,14,0,2,0,0,0
0.328348797,46,0,0.326719577,3023.0,9,0,2,0,1,1
0.9999999,49,1,0.034975279,5460.0,3,0,0,0,3,1
0.973428509,48,0,0.637963648,12158.0,16,0,3,0,4,1
0.167462636,51,2,0.445156125,3746.0,14,1,2,1,0,0
0.836163836,60,0,0.079064759,6500.0,5,0,0,0,0,0
0.962509373,31,0,0.272174354,1972.0,5,0,0,0,2,1
0.0,40,0,0.24815037,5000.0,6,0,1,0,0,0
0.277925732,46,0,0.207083545,5900.0,8,0,0,0,0,0
0.23554247,47,1,0.848860456,2500.0,11,0,2,0,3,1
0.038872021,40,0,0.211846821,5300.0,7,0,1,0,0,0
0.883536649,36,0,0.315244556,2800.0,11,0,0,0,3,1
0.467177317,41,0,0.350964904,10000.0,11,0,2,0,3,0
0.898840464,51,0,0.180622259,4788.0,0,4,0,0,2,1
0.000435477,62,0,0.0,4700.0,6,0,0,0,0,0
0.0,73,1,0.671875,1727.0,3,0,1,1,0,1
1.025750603,61,3,0.336665334,2500.0,8,1,0,1,0,1
0.046057815,38,0,0.594308036,5375.0,10,0,2,0,0,0
0.9999999,61,4,0.337796822,5600.0,9,1,1,0,0,1
0.920265781,46,2,0.053035724,57300.0,4,2,2,1,2,1
0.11991086,41,0,0.075113991,8333.0,6,0,1,0,0,1
0.782599581,51,4,0.365302055,13043.0,21,0,1,1,4,1
0.9999999,51,0,0.014568158,7687.0,1,0,0,1,1,0
0.056828985,48,0,0.362922574,4584.0,7,0,1,0,0,1
0.534242054,42,1,0.792490558,4500.0,8,0,2,0,0,1
0.9999999,27,98,0.018490755,2000.0,0,98,0,98,3,1
0.029468505,76,0,0.004335899,11300.0,5,0,0,0,0,0
0.034959795,53,0,0.631296088,8000.0,9,0,2,0,0,0
0.63545461,47,0,0.455454455,10000.0,10,0,2,1,1,1
1.563020544,61,3,0.219760831,5100.0,7,3,0,4,0,1
0.008898642,63,0,0.013623297,8000.0,17,0,0,0,2,0
0.422420977,54,0,0.230077519,3224.0,5,0,0,0,3,0
0.473301522,59,0,0.352312179,7200.0,23,0,1,0,0,1
0.9999999,42,0,0.0,3323.0,0,0,0,1,2,1
1.172757475,50,1,0.283358321,2000.0,4,0,0,0,0,1
0.004880588,59,1,0.262496796,3900.0,10,0,2,0,0,1
0.9999999,28,2,0.207650273,1280.0,1,2,0,2,0,1
0.32227516,63,0,0.52864283,2600.0,9,0,0,0,0,0
0.9999999,66,1,0.187221397,3364.0,1,3,0,0,3,1
0.466233349,58,0,0.248041775,7276.0,9,0,1,0,0,0
1.065379441,83,2,0.458391017,6500.0,10,1,0,3,0,1
0.038958467,38,0,0.257088332,3667.0,9,0,1,0,2,0
0.032443081,87,0,0.00372315,10474.0,9,0,0,0,0,0
0.239309441,47,0,0.122030238,5555.0,5,0,0,0,2,1
0.937780584,38,1,0.21192542,5416.0,6,0,0,0,4,0
0.599618425,38,1,0.185762847,5000.0,10,0,0,1,1,1
0.037639921,76,0,0.009427674,10500.0,12,0,0,0,0,0
0.02551859,63,0,0.375033775,3700.0,10,0,1,0,0,0
0.786220687,35,1,0.374363188,6084.0,11,1,1,1,3,1
0.968021319,24,0,0.082397004,800.0,5,0,0,0,0,1
0.641294006,47,1,684.0,0.0,5,5,0,5,0,1
0.9999999,57,0,1.366861436,9583.0,9,0,5,0,0,1
