value,rent,ftotinc,momloc,famsize,nchild,eldch,yngch,nsibs,age,occscore,sei,inctot,incwage,incbus,incfarm,incss,incwelfr,incother,poverty,target
999999.0,115.0,1050.0,0,4,2,6,3,0,27,29,27,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,28.0,P
999999.0,0.0,1550.0,0,3,2,3,1,0,18,25,44,1550.0,1550.0,0.0,0.0,0.0,0.0,0.0,52.0,N
30000.0,0.0,2250.0,0,3,1,12,12,0,64,17,11,2250.0,0.0,1250.0,0.0,950.0,0.0,0.0,76.0,P
999999.0,130.0,0.0,1,4,0,99,99,2,10,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,1.0,N
999999.0,205.0,18250.0,2,3,0,99,99,0,2,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,501.0,N
22500.0,0.0,25550.0,2,7,0,99,99,4,13,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,436.0,N
999999.0,135.0,850.0,0,4,2,2,0,0,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,N
30000.0,0.0,8050.0,0,3,1,3,3,0,29,41,68,8050.0,0.0,8050.0,0.0,0.0,0.0,0.0,273.0,P
22500.0,0.0,20650.0,0,4,1,44,44,0,77,0,0,2750.0,0.0,0.0,0.0,1150.0,0.0,1550.0,501.0,N
50000.0,0.0,44650.0,0,5,0,99,99,0,92,0,0,4050.0,0.0,0.0,0.0,3250.0,0.0,750.0,501.0,N
999999.0,0.0,19850.0,0,7,4,19,7,0,47,35,66,19050.0,19050.0,0.0,0.0,0.0,0.0,0.0,349.0,P
22500.0,0.0,10550.0,0,7,5,16,1,0,41,23,18,9550.0,9550.0,0.0,0.0,0.0,0.0,0.0,192.0,P
999999.0,75.0,8250.0,1,2,0,99,99,0,47,24,47,7150.0,0.0,7050.0,0.0,0.0,0.0,50.0,336.0,P
16250.0,0.0,550.0,0,2,1,11,11,0,50,22,61,550.0,550.0,0.0,0.0,0.0,0.0,0.0,22.0,P
30000.0,0.0,13750.0,0,5,3,18,7,0,44,25,11,13750.0,13750.0,0.0,0.0,0.0,0.0,0.0,306.0,P
22500.0,0.0,8150.0,0,2,0,99,99,0,67,24,47,1050.0,0.0,350.0,0.0,650.0,0.0,0.0,368.0,N
30000.0,0.0,11050.0,2,6,0,99,99,3,1,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,225.0,N
30000.0,0.0,8050.0,0,2,0,99,99,0,55,25,18,7950.0,7950.0,0.0,0.0,0.0,0.0,0.0,328.0,P
22500.0,0.0,13350.0,0,3,1,3,3,0,42,31,53,13350.0,13050.0,0.0,0.0,0.0,0.0,250.0,452.0,P
16250.0,0.0,9550.0,1,6,0,99,99,3,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,N
50000.0,0.0,26550.0,4,6,0,99,99,1,1,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,501.0,N
999999.0,145.0,13650.0,0,3,0,99,99,1,42,22,51,3950.0,3950.0,0.0,0.0,0.0,0.0,0.0,462.0,P
18750.0,0.0,11350.0,0,3,1,13,13,0,36,23,19,10050.0,10050.0,0.0,0.0,0.0,0.0,0.0,384.0,P
999999.0,110.0,4050.0,0,1,0,99,99,0,78,0,0,4050.0,0.0,0.0,0.0,0.0,0.0,4050.0,230.0,N
999999.0,95.0,3550.0,0,1,0,99,99,0,29,41,68,3550.0,0.0,3550.0,0.0,0.0,0.0,0.0,186.0,P
999999.0,225.0,9750.0,1,4,0,99,99,2,13,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,261.0,N
999999.0,69.0,4650.0,0,3,1,0,0,0,20,30,65,3650.0,3650.0,0.0,0.0,0.0,0.0,0.0,157.0,P
999999.0,0.0,4550.0,0,1,0,99,99,0,80,0,0,4550.0,0.0,0.0,0.0,1450.0,1550.0,1550.0,259.0,N
999999.0,170.0,5950.0,2,3,0,99,99,0,26,39,82,650.0,0.0,0.0,0.0,0.0,0.0,650.0,207.0,N
16250.0,0.0,8850.0,0,4,2,15,14,0,43,23,18,550.0,450.0,0.0,0.0,0.0,50.0,0.0,238.0,N
22500.0,0.0,12050.0,0,8,0,99,99,0,21,23,18,1350.0,1350.0,0.0,0.0,0.0,0.0,0.0,183.0,P
999999.0,75.0,5650.0,0,2,0,99,99,0,55,25,18,5650.0,5150.0,0.0,0.0,0.0,0.0,450.0,230.0,P
999999.0,198.0,7550.0,0,2,0,99,99,0,70,31,67,5850.0,0.0,0.0,0.0,1650.0,0.0,4150.0,340.0,N
22500.0,0.0,11150.0,2,4,0,99,99,1,3,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,300.0,N
22500.0,0.0,16050.0,0,5,3,17,12,0,35,32,34,8350.0,8050.0,0.0,0.0,0.0,0.0,250.0,367.0,P
999999.0,110.0,13550.0,0,4,2,21,12,0,47,34,48,8050.0,8050.0,0.0,0.0,0.0,0.0,0.0,352.0,P
999999.0,0.0,17650.0,2,3,0,99,99,0,27,11,11,6550.0,6550.0,0.0,0.0,0.0,0.0,0.0,501.0,P
999999.0,135.0,6350.0,0,7,0,99,99,0,2,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,116.0,N
999999.0,0.0,1950.0,0,2,0,99,99,0,63,41,68,1950.0,0.0,0.0,0.0,1950.0,0.0,0.0,79.0,N
42500.0,0.0,27950.0,2,5,0,99,99,2,20,25,33,7050.0,7050.0,0.0,0.0,0.0,0.0,0.0,501.0,P
999999.0,0.0,2050.0,1,6,0,99,99,3,8,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,42.0,N
18750.0,0.0,7050.0,0,4,0,99,99,0,57,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,N
999999.0,65.0,6250.0,2,4,0,99,99,1,0,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,168.0,N
999999.0,0.0,21350.0,0,4,2,6,4,0,35,79,92,21050.0,0.0,21050.0,0.0,0.0,0.0,0.0,501.0,P
16250.0,0.0,10450.0,0,2,1,39,39,0,62,17,15,2350.0,1750.0,0.0,0.0,550.0,0.0,0.0,425.0,N
22500.0,0.0,12750.0,0,4,2,9,8,0,28,25,22,2750.0,2750.0,0.0,0.0,0.0,0.0,0.0,343.0,N
999999.0,135.0,13750.0,0,9,5,8,0,0,27,22,61,6050.0,6050.0,0.0,0.0,0.0,0.0,0.0,185.0,P
18750.0,0.0,5050.0,0,2,0,99,99,0,61,17,15,5050.0,0.0,5050.0,0.0,0.0,0.0,0.0,206.0,P
999999.0,150.0,11350.0,0,3,1,1,1,0,34,29,32,11350.0,11350.0,0.0,0.0,0.0,0.0,0.0,384.0,P
999999.0,115.0,2650.0,0,3,1,2,2,0,27,41,84,2650.0,0.0,0.0,0.0,0.0,0.0,2650.0,90.0,N
18750.0,0.0,15650.0,0,6,4,19,10,0,51,29,27,8550.0,8550.0,0.0,0.0,0.0,0.0,0.0,309.0,P
999999.0,215.0,5850.0,0,2,0,99,99,0,62,27,47,2550.0,2550.0,0.0,0.0,0.0,0.0,0.0,238.0,P
18750.0,0.0,8250.0,2,5,0,99,99,2,17,25,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,N
999999.0,100.0,15050.0,0,4,2,23,15,0,49,35,62,10650.0,10650.0,0.0,0.0,0.0,0.0,0.0,391.0,P
999999.0,155.0,4950.0,1,8,0,99,99,5,10,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,83.0,N
