V1,V2,V3,V4,V5,target
-0.196031,1.700524,0.139566,0.632642,-0.693206,2
0.868835,1.292879,-1.218157,-0.69679,0.116183,1
-0.660514,-0.752047,1.988075,1.207333,1.704977,2
-0.702544,-0.618834,0.005602,1.630895,1.32863,2
-0.801138,-0.470711,1.161152,-1.547506,-0.849783,1
-0.414122,2.002102,-1.507255,-0.09335,1.584695,1
-0.652698,0.141758,1.21074,0.502427,-0.136583,1
0.235831,1.295287,-1.235317,-0.214163,-0.417922,1
0.024089,1.140668,0.877652,-0.918557,-0.409976,2
-0.483277,-0.406786,1.956371,0.542549,-0.648453,1
-0.775198,-0.817913,-0.326794,0.382572,-0.136583,2
-0.720502,-0.69698,-0.017142,-0.960677,2.279869,2
-0.688086,-0.687903,0.862708,1.140745,-0.136583,2
0.058962,1.304593,-1.336331,-0.749585,-0.35716,1
0.01749,-1.042536,0.488017,1.956319,1.782233,2
-0.827163,-0.949714,0.114102,0.543651,-0.136583,2
0.713629,1.762342,-1.341333,-0.725605,-0.347105,1
-0.718133,-0.618257,0.135733,-0.931693,2.063251,2
-0.471986,0.381647,0.68639,0.2168,-0.931391,1
-0.298692,-0.256852,1.06483,0.382434,-0.709178,2
-0.667989,-1.061715,-0.022937,1.927569,2.276708,2
-0.726738,-0.958037,-0.01063,0.315085,1.180899,2
0.162604,-0.381107,1.174487,-1.27276,1.53999,2
-0.18719,0.305037,0.652049,0.851039,1.863415,2
-1.09965,0.006021,0.744093,0.220672,-0.136583,1
0.303291,1.733542,-0.104324,0.021708,0.233609,2
-0.466957,-0.770954,1.493311,0.762128,-1.580625,2
1.859506,-0.445037,-0.974168,-0.383005,-0.197457,1
-0.733552,-0.840895,-0.596741,0.911965,2.395015,2
-0.454644,0.628482,-1.195514,-0.725755,-0.343627,1
0.66869,0.943078,0.656479,0.223942,-0.413911,2
-0.601779,-0.660624,-0.060653,1.039769,-1.416891,2
-1.689673,-2.514591,-1.870246,-1.590399,-0.980192,2
0.447014,1.741556,0.193197,-0.107909,-0.380921,1
-0.057515,0.408567,-0.364759,-0.271342,-0.27443,1
-0.617608,-0.532401,1.135273,-1.449888,-0.711096,1
1.63224,-1.09456,-0.426868,-0.605598,-0.027083,1
-0.746265,-1.12752,-0.269243,0.908902,1.664707,2
-0.550176,-0.351118,1.701646,-1.44566,0.614818,2
0.230229,2.010092,-1.251154,-0.699083,-0.375525,1
1.410856,-0.732245,-0.931819,-0.402061,-0.039794,1
2.146826,-0.746456,-0.346848,0.820393,-0.648817,1
-0.318493,-0.595716,1.362302,-1.258999,-0.767522,2
-0.427813,1.370594,0.603423,0.359712,-0.136583,1
1.747539,-0.011405,-0.470748,-0.298119,-0.2676,1
-0.541767,-0.297848,0.910188,0.547415,-0.723368,2
-0.241576,-0.782698,1.253066,1.263979,2.046712,2
-0.265747,-0.162346,0.785554,-1.325783,2.825159,2
-0.288167,0.642969,0.567375,-0.964956,-0.405699,1
1.168358,-0.577562,-0.615277,-0.313358,0.035385,1
-0.636173,1.677036,-1.280891,0.083369,2.416678,1
-0.795701,-0.614227,1.169343,0.846745,-0.873953,1
-0.844368,-1.077315,-0.220432,-0.7807,-0.93528,1
-1.146338,-0.940974,-0.111265,1.772911,-2.367461,2
0.642279,-0.345356,-0.015551,0.300872,0.427846,2
0.478142,0.363987,-0.248673,-0.083771,0.358393,1
-0.602094,-0.715212,0.576582,1.876322,-1.003127,2
-0.772492,0.088835,0.424685,0.197324,-0.509187,1
-0.711667,-0.424733,-0.028509,1.557916,-1.263006,2
-0.39987,1.505191,-1.309631,-0.779346,-0.136583,1
-0.621202,-0.264584,1.874895,-1.419608,-0.136583,1
-0.16558,0.147386,1.216899,0.476002,1.448819,2
-0.503108,-0.006341,1.688863,-1.469974,-0.136583,1
-0.681099,-0.096945,0.133092,0.395262,-0.136583,2
-0.688801,-0.673351,0.620885,1.851075,-1.302552,1
-1.563204,-2.361983,-1.746185,-1.232939,2.128311,2
-0.847626,-1.05581,-0.289216,-1.872634,-0.136583,1
-0.702161,-0.543436,0.029138,1.698601,-0.136583,2
0.565934,-0.545493,1.026945,0.609262,0.839612,2
-0.71991,-0.617057,0.132606,-0.073945,2.017648,2
0.620259,1.605208,0.224349,-0.757645,-0.34547,2
0.084955,0.322803,-0.516547,-0.351831,-0.016079,1
-0.353998,-0.125075,0.215061,1.10165,2.873072,2
-0.596002,-0.8931,0.63248,1.453765,2.953386,2
-0.790184,-0.797708,0.72555,1.772723,-1.028348,1
-0.688566,-0.240896,-0.492776,0.101285,0.811225,1
-0.709312,0.226981,0.027468,0.290768,-0.136583,1
-0.693534,-0.203554,2.045529,-1.685671,-0.136583,1
2.523044,-0.517782,-0.964935,-0.382042,-0.024109,1
-0.702306,-1.049687,-0.425477,0.731528,2.407384,1
-0.82617,-1.031679,-0.117513,-0.830359,-0.96625,1
-0.210013,-0.068005,1.295328,-1.357195,-0.556585,1
-0.603296,-0.846779,-0.230746,1.119465,-0.136583,2
