fLength:,fWidth:,fSize:,fConc:,fConc1:,fAsym:,fM3Long:,fM3Trans:,fAlpha:,fDist:,target
183.8082,68.4175,3.482,0.1972,0.1032,-149.8122,-161.7404,-49.7247,54.4669,333.5108,h
64.4096,22.5919,2.9162,0.2171,0.117,-49.8957,-37.2958,-12.6245,8.0335,156.887,g
27.0694,21.8262,2.5508,0.3826,0.2068,10.4249,22.9174,8.4929,5.0893,256.421,h
29.0806,14.9597,2.3086,0.4619,0.2531,27.5548,22.79,-10.4324,29.987,156.948,g
91.9461,60.0205,3.5508,0.1075,0.0544,74.587,101.972,55.2577,41.784,232.257,h
271.437,190.139,3.6078,0.0873,0.0546,444.401,-162.07,90.6183,64.5036,152.159,h
26.968,8.7522,2.5173,0.5438,0.3681,2.3708,4.2209,-5.7441,29.6483,102.8279,h
57.8899,34.9162,2.941,0.2027,0.1197,-90.5422,-21.0946,-24.3238,25.116,234.993,h
75.7105,12.3756,2.637,0.2791,0.1465,-33.8058,-66.4578,6.7663,7.051,198.076,g
50.8859,18.6005,3.0471,0.3122,0.1575,56.9904,39.5371,-8.4796,3.597,239.736,g
93.715,16.5674,3.1682,0.279,0.1463,-111.172,62.3735,11.9914,27.8898,238.421,h
17.0515,10.2826,2.6377,0.5338,0.4034,-4.282,-23.8679,4.4773,66.7769,116.8804,h
50.589,22.9554,2.7792,0.5287,0.3367,-36.2332,-52.5121,15.5852,23.132,88.937,h
37.2195,10.3329,2.4141,0.5588,0.3449,-23.3326,-21.4781,-8.1819,11.386,187.722,g
53.6822,22.0666,2.8479,0.3989,0.2732,-35.3479,-14.1855,-24.5615,0.164,295.107,g
19.2924,7.2769,2.1508,0.7915,0.4276,4.7252,-10.7908,-3.89,68.7907,196.725,g
22.4236,15.8256,2.5938,0.4968,0.3146,1.5724,-20.7925,-4.5251,53.815,139.193,g
21.7287,11.3452,2.3598,0.5939,0.3079,20.9225,20.1144,-9.904,35.7407,75.258,g
36.7918,6.9047,2.5653,0.5381,0.2987,-3.0188,23.0511,-1.3905,3.6592,86.7851,h
31.2328,14.1452,2.6107,0.5454,0.3454,5.3276,12.9491,18.4301,44.5937,173.4713,h
22.6959,15.7024,2.4749,0.5528,0.3199,24.0131,13.8633,-13.8479,13.3733,181.641,g
18.8377,8.8786,2.5617,0.6039,0.3234,0.4589,15.5433,-8.4175,31.508,164.8029,h
32.1863,15.9342,2.5966,0.4101,0.2165,-0.2451,19.1356,7.6402,4.803,130.957,g
54.1708,9.4098,2.5176,0.5001,0.2612,-44.8802,-39.1047,8.5896,35.8524,120.0867,h
10.1402,6.862,2.2963,0.7633,0.4517,-24.7001,-6.5859,11.1053,34.6423,166.3966,h
81.6056,22.5233,3.1303,0.1486,0.1056,-100.2575,41.2812,21.7725,72.2289,101.8665,h
23.963,13.2284,2.3181,0.6527,0.449,17.5492,4.9894,-3.2758,46.8327,150.5387,h
48.5152,22.2848,3.3116,0.1922,0.11,33.4214,18.4291,13.8125,0.6261,213.416,g
36.0031,23.5756,3.145,0.2019,0.1028,-18.8688,-9.2975,11.2851,34.7344,196.65,h
24.0789,11.8664,2.6294,0.5023,0.2758,9.9897,14.9815,-11.2132,22.926,161.42,g
151.031,65.7484,4.202,0.0566,0.0296,-49.9982,-86.2587,48.7199,58.162,88.2118,h
44.3165,29.8201,3.0247,0.2022,0.1101,-10.8668,22.7405,21.3749,76.952,230.747,h
29.2813,15.6347,2.3962,0.4458,0.247,41.7127,-18.9923,-7.8863,26.472,83.2653,g
102.704,28.4177,3.2973,0.2249,0.1162,-115.627,74.9095,23.9032,1.4659,318.44,g
85.2615,38.934,3.4591,0.2418,0.1088,-71.8933,-63.2463,-32.7594,32.8587,393.6885,h
33.3489,32.7464,2.9191,0.2946,0.1373,30.8923,25.4779,26.8952,20.799,241.7025,h
50.9887,9.8606,2.8549,0.3352,0.2046,21.0265,31.7074,-6.2376,9.8156,202.939,h
58.3867,12.853,2.7489,0.303,0.1697,-49.5732,-35.9094,-6.2033,89.5595,127.1131,h
22.6859,10.1039,2.6968,0.5829,0.3307,-7.5143,13.0971,-1.2362,10.9199,131.041,h
