value,rent,ftotinc,momloc,famsize,nchild,eldch,yngch,nsibs,age,occscore,sei,inctot,incwage,incbus,incfarm,incss,incwelfr,incother,poverty,target
999999.0,115.0,12150.0,0,4,2,7,3,0,26,22,61,4550.0,4550.0,0.0,0.0,0.0,0.0,0.0,327.0,P
22500.0,0.0,0.0,0,2,0,99,99,0,74,22,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
999999.0,75.0,7750.0,0,5,2,38,30,0,73,21,9,3250.0,0.0,0.0,0.0,1550.0,0.0,1650.0,167.0,N
999999.0,100.0,10050.0,0,1,0,99,99,0,35,41,68,10050.0,10050.0,0.0,0.0,0.0,0.0,0.0,501.0,P
999999.0,75.0,15150.0,0,3,1,0,0,0,20,41,68,10050.0,10050.0,0.0,0.0,0.0,0.0,0.0,501.0,N
30000.0,0.0,10550.0,2,4,0,99,99,1,17,20,8,1450.0,1450.0,0.0,0.0,0.0,0.0,0.0,284.0,N
30000.0,0.0,16150.0,0,3,1,2,2,0,30,22,51,50.0,0.0,0.0,0.0,0.0,0.0,50.0,501.0,N
30000.0,0.0,8850.0,0,2,0,99,99,0,46,22,18,3250.0,3250.0,0.0,0.0,0.0,0.0,0.0,360.0,P
999999.0,150.0,3350.0,2,10,0,99,99,3,3,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,43.0,N
999999.0,85.0,9150.0,0,3,1,20,20,0,46,23,18,3150.0,3050.0,0.0,0.0,0.0,0.0,50.0,319.0,P
50000.0,0.0,25050.0,0,3,1,1,1,0,46,79,92,25050.0,0.0,25050.0,0.0,0.0,0.0,0.0,501.0,P
22500.0,0.0,12250.0,2,7,0,99,99,2,10,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,209.0,N
999999.0,105.0,5850.0,0,2,0,99,99,0,63,0,0,450.0,0.0,0.0,0.0,450.0,0.0,0.0,238.0,N
999999.0,105.0,2250.0,0,1,0,99,99,0,73,20,52,2250.0,750.0,0.0,0.0,650.0,0.0,850.0,128.0,P
22500.0,0.0,17650.0,0,3,1,18,18,0,45,23,18,5250.0,5250.0,0.0,0.0,0.0,0.0,0.0,501.0,N
