P1,P5p1,P6p2,P11p4,P14p9,P15p1,P15p3,P16p2,P18p2,P27p4,H2p2,H8p2,H10p1,H13p1,H18pA,H40p4,target
7686.0,0.477361,0.157169,0.172001,0.135673,0.822925,0.041894,0.701149,0.006618,0.050157,0.057452,0.150819,0.984326,0.283979,0.055495,0.257143,P
12663.0,0.496091,0.033089,0.144042,0.104529,0.849641,0.007739,0.672985,0.005882,0.047495,0.037332,0.040741,0.836166,0.431837,0.093225,0.349206,P
655.0,0.471756,0.0,0.241221,0.17341,0.827481,0.0,0.627119,0.00678,0.01017,0.106061,0.0,0.99322,0.293939,0.051282,0.5,N
2100.0,0.481429,0.001429,0.145714,0.140496,0.908095,0.0,0.780124,0.001242,0.017391,0.065041,0.0,1.0,0.321719,0.064171,0.470588,N
10739.0,0.446038,0.071608,0.148803,0.095983,0.768228,0.072726,0.661801,0.001703,0.06253,0.046625,0.062287,0.90438,0.449316,0.062802,0.615385,P
664.0,0.471386,0.003012,0.186747,0.153846,0.814759,0.0,0.613475,0.003546,0.042553,0.069307,0.0,0.996454,0.366337,0.053571,0.2,N
214.0,0.514019,0.0,0.084112,0.038462,0.981308,0.0,0.945206,0.0,0.0,0.026667,0.0,1.0,0.066667,0.5,0.0,N
4515.0,0.465338,0.000443,0.319823,0.190969,0.761462,0.037874,0.610145,0.004831,0.041063,0.202312,0.0,0.957005,0.586513,0.050802,0.333333,P
9708.0,0.485373,0.032242,0.131747,0.092474,0.845488,0.011846,0.692248,0.004438,0.044114,0.02643,0.027408,0.986427,0.302414,0.05989,0.352941,P
797.0,0.474279,0.001255,0.144291,0.093079,0.905897,0.0,0.783505,0.003436,0.034364,0.03,0.003436,1.0,0.146667,0.06383,0.5,N
3772.0,0.478261,0.000795,0.164369,0.149898,0.80965,0.015377,0.648271,0.008644,0.070479,0.128116,0.000665,0.998005,0.386087,0.069074,0.6,P
692.0,0.471098,0.0,0.189306,0.144809,0.855491,0.0,0.675,0.0,0.028571,0.16914,0.0,0.989286,0.385757,0.095238,0.857143,N
385.0,0.47013,0.0,0.215584,0.132353,0.872727,0.0,0.69375,0.0,0.0,0.125683,0.0,0.99375,0.251366,0.047619,0.666667,N
530.0,0.49434,0.001887,0.126415,0.085821,0.901887,0.0,0.746193,0.0,0.010152,0.124444,0.0,1.0,0.248889,0.178571,0.666667,N
