lineNo,assgNo,P1stFixation,P2stFixation,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,nextWordRegress,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,titleNo,wordNo,target
5608.0,167.0,1,1,139.0,338.0,338.0,80.0,274.5551,307.0818,309.414,40.7983,21.5523,338.0,338.0,0.0,1,755.0,0.35,0.1745,0.0227,1,5,0
7809.0,240.0,0,0,159.0,199.0,199.0,298.0,437.7925,175.309,542.1965,114.0395,114.5044,199.0,199.0,0.0,0,199.0,0.0246,-0.0044,0.019,6,2,0
7287.0,223.0,0,1,278.0,139.0,139.0,139.0,214.8936,257.7072,197.3069,18.5,25.6223,139.0,139.0,0.0,0,0.0,0.4488,0.5463,0.0333,7,4,1
3041.0,93.0,1,0,219.0,179.0,179.0,160.0,200.0625,76.8651,59.4811,138.5135,126.7517,179.0,179.0,0.0,0,0.0,0.5216,1.3871,0.0136,1,7,1
3877.0,124.0,1,0,0.0,80.0,457.0,119.0,245.0,136.0083,248.2438,37.1214,44.5,199.0,199.0,0.0,0,0.0,0.1143,0.0933,0.0265,5,6,1
2424.0,76.0,1,0,279.0,299.0,299.0,199.0,202.1417,130.5527,247.8003,55.6597,99.9512,299.0,299.0,0.0,0,0.0,0.2682,0.3472,0.0334,6,1,1
6835.0,204.0,1,0,99.0,119.0,119.0,80.0,133.366,224.2644,148.7179,106.7345,113.5275,119.0,119.0,0.0,0,0.0,0.1829,0.1829,0.0246,6,1,0
7666.0,236.0,1,1,258.0,278.0,278.0,159.0,277.3793,213.7832,182.3321,91.1373,103.4372,278.0,278.0,239.0,0,437.0,0.2451,0.3791,0.0279,9,3,0
9716.0,299.0,1,0,179.0,139.0,139.0,119.0,184.674,139.5224,258.4434,74.7429,70.2567,139.0,139.0,0.0,0,0.0,0.023,0.3095,0.0301,5,1,0
4861.0,149.0,1,0,0.0,80.0,80.0,238.0,0.0,148.5135,0.0,66.8973,63.5472,80.0,80.0,4712.0,0,0.0,-0.1169,-0.0969,0.0091,5,2,1
9260.0,289.0,1,1,80.0,159.0,159.0,219.0,138.3266,141.9472,216.0208,73.8241,71.1003,298.0,298.0,1490.0,1,2903.0,0.2022,0.2227,0.0144,2,1,1
823.0,24.0,0,0,338.0,99.0,99.0,219.0,90.3244,214.2574,46.8188,60.0354,57.8835,99.0,99.0,0.0,1,0.0,0.1296,0.1881,0.0109,3,2,0
10595.0,324.0,1,0,298.0,99.0,179.0,80.0,454.5099,266.9724,415.0434,41.5752,59.7537,179.0,89.5,0.0,0,0.0,0.4267,0.4497,0.0312,9,4,0
2757.0,84.0,1,1,140.0,20.0,239.0,139.0,100.7782,119.3325,173.1127,99.334,85.8793,239.0,119.5,0.0,0,0.0,1.4612,1.4612,0.058,2,1,0
7615.0,235.0,1,0,0.0,100.0,100.0,99.0,0.0,260.9837,0.0,51.1957,62.6618,100.0,100.0,0.0,0,0.0,0.1766,0.3301,0.02,1,2,1
3967.0,127.0,1,0,159.0,199.0,199.0,199.0,304.8942,310.3244,188.0957,105.4147,111.9565,199.0,199.0,0.0,0,0.0,0.2551,0.7386,0.0263,9,3,1
4290.0,135.0,1,1,179.0,179.0,179.0,219.0,401.2995,410.0598,436.715,59.4243,65.1249,179.0,179.0,2406.0,0,0.0,0.201,0.2655,0.0111,10,1,0
5023.0,153.0,0,1,159.0,318.0,537.0,159.0,111.0011,126.8671,38.4708,72.9932,75.7694,298.0,298.0,6143.0,0,0.0,0.0926,0.3651,0.0249,5,6,0
2.0,1.0,1,0,99.0,278.0,278.0,159.0,87.0933,165.0068,146.7685,83.006,86.2279,278.0,278.0,0.0,0,0.0,0.0095,0.183,0.0363,1,1,1
5106.0,155.0,0,1,139.0,278.0,278.0,119.0,74.0068,91.9157,106.5317,52.6165,54.171,278.0,278.0,1252.0,1,378.0,0.1798,0.1093,0.0251,3,1,0
5728.0,169.0,1,0,139.0,80.0,219.0,99.0,177.8103,499.5928,117.3882,69.3578,90.2898,219.0,109.5,0.0,0,0.0,0.047,0.253,0.0275,6,4,0
434.0,13.0,1,1,298.0,219.0,219.0,298.0,90.6973,130.1883,81.5414,98.0204,86.8058,219.0,219.0,0.0,0,0.0,0.2168,0.2168,0.0421,4,1,1
4340.0,135.0,1,0,278.0,159.0,338.0,179.0,752.7008,90.7331,875.0366,126.9212,83.4341,318.0,159.0,458.0,0,1688.0,0.089,0.1455,0.0197,1,1,1
7073.0,215.0,0,1,80.0,159.0,159.0,139.0,155.1362,277.0884,211.1161,57.1402,65.4618,159.0,159.0,0.0,1,318.0,0.0763,0.1968,0.0287,2,1,1
158.0,5.0,1,0,119.0,80.0,80.0,278.0,248.0952,62.0987,333.2567,97.8621,94.4788,80.0,80.0,0.0,0,0.0,0.0915,0.1855,0.0071,7,1,1
7441.0,227.0,1,0,278.0,258.0,258.0,656.0,214.7819,268.4143,230.0022,10.7703,28.4297,258.0,258.0,0.0,0,0.0,0.1487,0.0787,0.0246,10,6,0
3144.0,96.0,0,1,259.0,219.0,219.0,339.0,138.9361,256.6384,93.1719,49.7016,49.6488,219.0,219.0,0.0,0,0.0,0.8831,-0.1409,0.0282,2,3,1
2568.0,78.0,0,0,757.0,518.0,518.0,399.0,322.4008,103.0364,307.5663,65.0019,68.6531,518.0,518.0,9724.0,1,1036.0,1.63,1.8775,0.0131,1,3,1
220.0,6.0,1,0,139.0,80.0,80.0,179.0,241.5186,494.1225,233.0193,13.6473,5.0,80.0,80.0,0.0,0,0.0,0.103,0.8065,0.0108,7,4,0
10689.0,328.0,0,1,179.0,139.0,139.0,119.0,195.5153,666.0903,76.1577,134.0821,126.2418,139.0,139.0,0.0,0,0.0,0.0277,0.0482,0.0138,1,6,1
5554.0,166.0,1,0,239.0,159.0,159.0,119.0,211.2865,62.3939,175.0029,41.0488,59.0085,159.0,159.0,0.0,0,0.0,0.166,0.159,0.0119,2,4,1
9721.0,299.0,1,0,159.0,199.0,199.0,139.0,208.2793,270.4741,185.3267,16.1012,26.0768,199.0,199.0,0.0,0,0.0,0.233,0.3455,0.0431,6,4,0
2389.0,75.0,1,0,100.0,419.0,559.0,219.0,829.4607,63.1269,890.8749,38.3308,141.008,559.0,279.5,0.0,1,458.0,0.2482,0.2482,0.0577,5,1,0
8023.0,249.0,1,1,199.0,219.0,219.0,139.0,197.784,301.2682,248.582,52.024,59.9708,119.0,119.0,0.0,0,119.0,0.1643,0.2288,0.0214,6,1,0
2248.0,72.0,1,0,199.0,179.0,179.0,140.0,103.5193,55.5203,50.8035,79.6053,82.2268,179.0,179.0,0.0,0,0.0,-0.5396,-0.1566,0.027,2,5,1
3257.0,99.0,1,0,80.0,99.0,99.0,80.0,60.6486,177.0791,105.3613,84.8999,77.5403,99.0,99.0,0.0,0,0.0,0.3155,0.275,0.0141,5,1,1
6967.0,211.0,1,0,119.0,80.0,80.0,139.0,101.5012,168.5067,115.8318,41.839,40.9664,80.0,80.0,0.0,0,0.0,0.0823,0.0823,0.0411,6,1,1
9706.0,299.0,1,0,179.0,119.0,119.0,139.0,84.9779,408.5893,183.4693,103.2109,89.6172,119.0,119.0,0.0,1,119.0,0.0425,0.043,0.0258,1,4,0
8673.0,275.0,1,0,80.0,100.0,100.0,139.0,192.8581,329.0547,184.5644,2.5495,5.0,100.0,100.0,0.0,0,0.0,0.1568,0.0748,0.0135,8,4,1
9920.0,305.0,1,0,0.0,139.0,139.0,139.0,0.0,57.1183,0.0,47.2149,38.7331,139.0,139.0,139.0,0,0.0,0.0655,0.0925,0.0225,1,4,0
2331.0,74.0,0,1,219.0,259.0,259.0,179.0,203.0794,69.0887,196.4612,13.3135,39.2747,259.0,259.0,0.0,0,0.0,0.5577,0.1742,0.022,1,6,0
4361.0,136.0,0,1,239.0,179.0,179.0,298.0,129.8124,176.0007,48.2597,89.8735,77.5645,179.0,179.0,0.0,1,477.0,-0.0538,0.0377,0.0067,3,4,0
7795.0,240.0,1,0,119.0,159.0,159.0,139.0,77.2868,209.5024,127.1417,92.0706,80.5559,159.0,159.0,0.0,0,0.0,0.1526,0.1416,0.0152,8,1,0
9509.0,293.0,1,0,179.0,99.0,318.0,80.0,216.0579,128.2078,228.3725,26.2774,29.0043,139.0,139.0,0.0,1,1668.0,0.1086,0.2401,0.0097,3,2,0
1375.0,43.0,0,1,179.0,179.0,179.0,159.0,124.3262,112.9004,42.9535,83.9598,79.0728,179.0,179.0,0.0,0,179.0,0.0372,0.0467,0.0148,3,2,1
1883.0,58.0,1,0,100.0,159.0,258.0,80.0,471.365,242.0186,601.3452,125.9573,85.0368,258.0,129.0,0.0,0,258.0,0.1153,0.2173,0.0392,2,1,1
3822.0,122.0,1,0,179.0,139.0,278.0,119.0,210.6899,73.7462,256.9085,52.5856,56.5796,278.0,139.0,0.0,0,0.0,0.2143,0.2633,0.0494,4,1,1
9202.0,288.0,1,0,99.0,199.0,318.0,80.0,269.2438,234.0192,312.5188,46.0,62.155,179.0,179.0,0.0,0,179.0,0.0632,0.2302,0.0257,3,1,0
436.0,13.0,1,0,179.0,139.0,139.0,99.0,65.5477,233.8616,74.411,52.024,58.6707,139.0,139.0,0.0,0,0.0,0.2168,0.2703,0.0267,7,1,0
7911.0,245.0,1,0,119.0,100.0,100.0,139.0,116.5,350.9622,139.0036,22.3215,5.0,100.0,100.0,0.0,0,100.0,0.3593,0.4818,0.0559,3,2,0
3481.0,107.0,0,1,119.0,179.0,179.0,179.0,188.1203,181.6549,275.9148,89.6131,102.0306,179.0,179.0,0.0,0,179.0,0.0443,0.4043,0.0539,5,4,1
6379.0,188.0,1,0,159.0,219.0,219.0,159.0,97.2895,208.5863,6.7082,92.5864,97.0052,219.0,219.0,0.0,0,0.0,0.023,0.663,0.0522,10,5,0
9033.0,284.0,1,0,199.0,159.0,159.0,139.0,245.0877,91.5382,292.515,60.7166,68.0459,159.0,159.0,0.0,0,0.0,0.2257,0.2487,0.0186,3,1,1
8087.0,252.0,1,1,0.0,99.0,99.0,119.0,545.8177,69.1809,566.2623,22.8035,21.9659,99.0,99.0,219.0,0,0.0,0.0558,0.4663,0.0309,2,2,1
10049.0,307.0,1,0,80.0,80.0,80.0,139.0,187.131,95.1315,116.211,67.4685,62.8371,80.0,80.0,0.0,0,0.0,0.1452,0.1772,0.0155,5,2,1
1927.0,61.0,0,1,179.0,139.0,139.0,139.0,79.5692,186.1511,24.2074,67.1063,71.0634,139.0,139.0,617.0,0,358.0,0.1029,0.0984,0.0112,4,6,0
