value,rent,ftotinc,momloc,famsize,nchild,eldch,yngch,nsibs,age,occscore,sei,inctot,incwage,incbus,incfarm,incss,incwelfr,incother,poverty,target
999999.0,100.0,4750.0,0,3,1,9,9,0,31,17,11,3050.0,3050.0,0.0,0.0,0.0,0.0,0.0,161.0,P
6250.0,0.0,0.0,0,2,0,99,99,0,48,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
999999.0,65.0,4450.0,0,2,0,99,99,0,31,22,18,3550.0,3550.0,0.0,0.0,0.0,0.0,0.0,181.0,P
999999.0,80.0,3750.0,0,1,0,99,99,0,51,23,45,3750.0,3650.0,0.0,0.0,0.0,0.0,50.0,196.0,P
999999.0,146.0,13350.0,0,8,6,20,7,0,43,25,44,2250.0,2250.0,0.0,0.0,0.0,0.0,0.0,208.0,P
18750.0,0.0,15050.0,2,6,0,99,99,3,4,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,307.0,N
999999.0,80.0,1750.0,0,1,0,99,99,0,75,0,0,1750.0,0.0,0.0,0.0,50.0,0.0,1650.0,99.0,N
999999.0,135.0,8650.0,0,2,0,99,99,0,23,22,18,2550.0,2550.0,0.0,0.0,0.0,0.0,0.0,352.0,P
30000.0,0.0,13150.0,2,5,0,99,99,2,8,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,300.0,N
30000.0,0.0,14150.0,2,7,0,99,99,2,7,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,249.0,N
18750.0,0.0,16650.0,0,5,1,22,22,0,44,38,49,9050.0,9050.0,0.0,0.0,0.0,0.0,0.0,360.0,N
50000.0,0.0,25050.0,0,3,1,8,8,0,54,41,68,25050.0,24050.0,-2.0,0.0,0.0,0.0,1250.0,501.0,P
42500.0,0.0,14750.0,0,3,1,22,22,0,61,46,84,13350.0,14050.0,-12.0,0.0,0.0,0.0,550.0,501.0,P
999999.0,110.0,15650.0,2,3,0,99,99,0,22,29,27,6150.0,6050.0,0.0,0.0,0.0,0.0,50.0,501.0,P
30000.0,0.0,20450.0,0,4,2,17,15,0,45,22,18,6350.0,6350.0,0.0,0.0,0.0,0.0,0.0,501.0,P
30000.0,0.0,11150.0,0,1,0,99,99,0,85,10,11,2450.0,0.0,0.0,0.0,1550.0,0.0,850.0,139.0,N
30000.0,0.0,5650.0,0,3,1,2,2,0,32,24,44,6850.0,6850.0,0.0,0.0,0.0,0.0,0.0,191.0,P
30000.0,0.0,21950.0,2,7,0,99,99,4,11,0,0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,400.0,N
42500.0,0.0,17150.0,2,5,0,99,99,2,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,N
50000.0,0.0,30650.0,0,6,4,17,10,0,38,41,68,30650.0,0.0,30050.0,0.0,0.0,0.0,550.0,501.0,P
