date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,target
0.906774,4,0.595745,0.173202,0.622583,0.011741,0.530036,0.452193,UP
1.0,1,0.212766,0.043113,0.204106,0.002829,0.267737,0.640351,DOWN
0.001018,3,0.893617,0.043983,0.514877,0.003467,0.422915,0.414912,DOWN
0.013583,2,0.276596,0.074216,0.51443,0.003467,0.422915,0.414912,UP
0.44268,1,0.574468,0.080461,0.519488,0.005555,0.566805,0.279825,UP
0.880536,3,0.702128,0.03975,0.622136,0.002723,0.556189,0.423684,DOWN
0.871864,4,0.06383,0.034226,0.214073,0.002252,0.361471,0.759211,UP
0.434671,0,0.510638,0.059475,0.299911,0.003467,0.422915,0.414912,UP
0.902792,5,0.212766,0.033686,0.198899,0.002125,0.283791,0.750439,DOWN
0.872085,2,0.021277,0.02678,0.282208,0.000872,0.318488,0.820175,DOWN
0.004292,1,0.787234,0.043533,0.619756,0.003467,0.422915,0.414912,DOWN
0.991018,5,0.638298,0.027201,0.459685,0.001853,0.49275,0.518421,DOWN
0.876908,4,0.170213,0.028612,0.189676,0.001845,0.265924,0.686842,DOWN
0.898633,1,0.617021,0.106491,0.591639,0.007061,0.593475,0.358333,UP
0.018716,0,0.787234,0.048487,0.57468,0.003467,0.422915,0.414912,UP
0.447679,3,0.085106,0.037589,0.41327,0.002351,0.452874,0.765789,DOWN
0.469094,0,0.680851,0.029152,0.267034,0.001917,0.23796,0.587281,DOWN
0.452192,0,0.148936,0.030083,0.148914,0.002048,0.183066,0.62807,DOWN
0.486837,3,0.531915,0.062057,0.476049,0.004321,0.482393,0.267982,UP
0.0,1,0.234043,0.049868,0.212437,0.003467,0.422915,0.414912,UP
0.89381,3,0.106383,0.044194,0.353317,0.002902,0.414034,0.668421,DOWN
0.898102,5,0.382979,0.059385,0.564267,0.004242,0.631279,0.161842,UP
0.022477,1,0.659574,0.106071,0.487206,0.003467,0.422915,0.414912,UP
0.031547,4,0.744681,0.055242,0.342755,0.003467,0.422915,0.414912,DOWN
0.907393,4,0.12766,0.043233,0.193246,0.002902,0.284568,0.540789,DOWN
0.87182,3,0.468085,0.028792,0.588218,0.00184,0.739772,0.531579,DOWN
0.009336,3,0.212766,0.041341,0.287563,0.003467,0.422915,0.414912,DOWN
0.468962,4,0.170213,0.027621,0.161708,0.001834,0.18928,0.551316,DOWN
0.903279,2,0.382979,0.087667,0.549093,0.005914,0.575608,0.326754,UP
0.01323,1,0.106383,0.041732,0.318953,0.003467,0.422915,0.414912,DOWN
0.456705,5,0.297872,0.032395,0.548646,0.0022,0.484982,0.538596,DOWN
0.866997,5,0.382979,0.035577,0.46266,0.002389,0.311497,0.673246,UP
0.461086,0,0.446809,0.030023,0.341565,0.002046,0.191352,0.51886,UP
0.912216,2,0.87234,0.043293,0.379351,0.002925,0.395909,0.380702,DOWN
0.013893,2,0.787234,0.085325,0.800208,0.003467,0.422915,0.414912,UP
0.46551,2,0.021277,0.02687,0.300208,0.001828,0.307613,0.525439,DOWN
0.442326,6,0.808511,0.057314,0.413716,0.003467,0.422915,0.414912,UP
0.893854,4,0.87234,0.097994,0.797382,0.006412,0.662869,0.596491,UP
0.022256,3,0.829787,0.046445,0.454924,0.003467,0.422915,0.414912,DOWN
0.42914,3,0.808511,0.099315,0.519488,0.003467,0.422915,0.414912,UP
0.97332,1,0.553191,0.035367,0.531836,0.002484,0.624288,0.263596,DOWN
0.008584,0,0.06383,0.042422,0.283249,0.003467,0.422915,0.414912,DOWN
0.43414,2,0.0,0.045755,0.36626,0.003467,0.422915,0.414912,DOWN
0.907305,2,0.425532,0.120031,0.53258,0.008,0.65769,0.382895,UP
0.005398,5,0.851064,0.080911,0.523951,0.003467,0.422915,0.414912,UP
0.026592,4,0.021277,0.088117,0.333085,0.003467,0.422915,0.414912,DOWN
0.47436,0,0.468085,0.027171,0.273728,0.001807,0.16261,0.839474,UP
0.977744,2,0.489362,0.029362,0.554597,0.002046,0.584671,0.306579,DOWN
0.911907,2,0.489362,0.05272,0.531241,0.003554,0.535215,0.365351,DOWN
0.009734,5,1.0,0.041642,0.430378,0.003467,0.422915,0.414912,DOWN
0.443432,4,0.319149,0.051249,0.528117,0.00381,0.565769,0.382895,UP
0.875979,0,0.787234,0.040471,0.53496,0.002646,0.467115,0.614035,UP
0.442945,0,0.319149,0.041401,0.224933,0.002553,0.100725,0.760526,DOWN
0.474227,4,0.787234,0.024679,0.171526,0.001365,0.066287,0.877193,DOWN
0.447812,6,0.978723,0.041822,0.50238,0.00268,0.409891,0.602632,UP
0.45175,4,0.893617,0.033956,0.725528,0.002306,0.51709,0.603509,DOWN
0.871997,0,0.234043,0.024829,0.142815,0.000841,0.158467,0.798246,DOWN
0.911862,1,0.382979,0.06581,0.556233,0.004358,0.56059,0.461842,UP
0.460422,6,0.829787,0.029182,0.427998,0.001951,0.338685,0.573246,UP
0.447901,1,0.319149,0.041612,0.563672,0.002784,0.500259,0.499123,UP
0.433344,5,0.06383,0.043053,0.150402,0.003467,0.422915,0.414912,DOWN
0.027388,1,0.446809,0.106521,0.583309,0.003467,0.422915,0.414912,UP
0.452325,3,0.404255,0.037949,0.724338,0.002528,0.692387,0.488596,UP
0.026547,3,0.382979,0.106221,0.536745,0.003467,0.422915,0.414912,UP
0.42976,3,0.042553,0.049838,0.231627,0.003467,0.422915,0.414912,DOWN
0.460732,6,0.404255,0.051699,0.506248,0.003571,0.3058,0.319298,DOWN
0.01761,3,0.978723,0.084694,0.518149,0.003467,0.422915,0.414912,UP
0.014026,5,0.446809,0.053381,0.498215,0.003467,0.422915,0.414912,DOWN
0.026547,3,0.595745,0.097694,0.458197,0.003467,0.422915,0.414912,UP
0.439051,2,0.744681,0.09169,0.573936,0.003467,0.422915,0.414912,UP
0.915623,2,0.893617,0.062898,0.408658,0.00425,0.379078,0.501754,DOWN
