date,period,nswprice,nswdemand,vicprice,vicdemand,transfer,target
0.87151,0.978723,0.028702,0.436031,0.001789,0.411704,0.839035,DOWN
0.460201,0.212766,0.027771,0.197114,0.001876,0.206111,0.614474,UP
0.430069,0.042553,0.049838,0.235942,0.003467,0.422915,0.414912,DOWN
0.447547,0.595745,0.041672,0.358375,0.002848,0.267478,0.603509,UP
0.889518,0.93617,0.029392,0.537935,0.002025,0.438892,0.502193,DOWN
0.014159,0.12766,0.040591,0.260488,0.003467,0.422915,0.414912,DOWN
0.451263,0.212766,0.032755,0.14936,0.002125,0.193941,0.836842,DOWN
0.004336,0.893617,0.043893,0.485123,0.003467,0.422915,0.414912,DOWN
0.875935,0.468085,0.034947,0.681642,0.002266,0.617556,0.425877,DOWN
0.898102,0.638298,0.056773,0.554002,0.003727,0.569394,0.535088,DOWN
0.429494,0.234043,0.077999,0.396311,0.003467,0.422915,0.414912,UP
0.442547,0.297872,0.058124,0.469354,0.003997,0.468151,0.500526,DOWN
0.014026,0.276596,0.053381,0.276852,0.003467,0.422915,0.414912,DOWN
0.031636,0.021277,0.051909,0.159179,0.003467,0.422915,0.414912,DOWN
0.031326,0.085106,0.040351,0.084201,0.003467,0.422915,0.414912,DOWN
0.995575,0.574468,0.067641,0.281018,0.002946,0.257897,0.765789,UP
0.8985,0.680851,0.085535,0.465338,0.005717,0.532108,0.274123,UP
0.004867,0.382979,0.089798,0.642368,0.003467,0.422915,0.414912,UP
0.898013,0.680851,0.068332,0.620797,0.004555,0.576126,0.509211,DOWN
0.005354,0.489362,0.088297,0.574383,0.003467,0.422915,0.414912,UP
0.911597,0.893617,0.041612,0.402559,0.002698,0.369239,0.635965,DOWN
0.473563,0.340426,0.02693,0.228503,0.001805,0.117556,0.693421,UP
0.429539,0.553191,0.084034,0.40717,0.003467,0.422915,0.414912,UP
0.456351,0.595745,0.033325,0.490479,0.002221,0.547903,0.563596,DOWN
0.437768,0.276596,0.03954,0.294258,0.003467,0.422915,0.414912,DOWN
0.877129,0.957447,0.032635,0.45909,0.002187,0.331952,0.463596,DOWN
0.424804,0.659574,0.058394,0.381434,0.003467,0.422915,0.414912,DOWN
0.022433,0.93617,0.057794,0.373996,0.003467,0.422915,0.414912,DOWN
0.893722,0.170213,0.016993,0.179262,0.001103,0.251683,0.677193,DOWN
0.456705,0.148936,0.024949,0.251413,0.001653,0.302175,0.718421,DOWN
0.867041,0.340426,0.031614,0.381732,0.001583,0.177887,0.749123,DOWN
0.02699,0.021277,0.048487,0.187742,0.003467,0.422915,0.414912,DOWN
0.469669,0.851064,0.046175,0.346028,0.003097,0.3739,0.526754,UP
0.433565,0.276596,0.069653,0.475007,0.003467,0.422915,0.414912,UP
0.021946,0.93617,0.051219,0.399881,0.003467,0.422915,0.414912,DOWN
0.031016,0.787234,0.074817,0.260488,0.003467,0.422915,0.414912,UP
0.898235,0.829787,0.086826,0.619458,0.005403,0.484723,0.772368,UP
0.429406,0.553191,0.070704,0.53258,0.003467,0.422915,0.414912,UP
0.881465,0.914894,0.02612,0.383368,0.001772,0.448472,0.469298,DOWN
0.425601,0.0,0.058394,0.217048,0.003467,0.422915,0.414912,DOWN
0.880669,0.680851,0.035427,0.290985,0.002181,0.193941,0.803947,DOWN
0.907482,0.276596,0.061967,0.22047,0.004146,0.216727,0.560088,DOWN
0.425512,0.297872,0.081422,0.437816,0.003467,0.422915,0.414912,DOWN
0.906774,0.87234,0.047556,0.48557,0.003205,0.410409,0.465351,DOWN
0.438476,0.765957,0.088147,0.58197,0.003467,0.422915,0.414912,UP
0.009778,0.148936,0.041281,0.130318,0.003467,0.422915,0.414912,DOWN
0.889828,0.489362,0.060676,0.629128,0.00426,0.677369,0.207456,DOWN
0.008849,0.744681,0.10565,0.605028,0.003467,0.422915,0.414912,UP
0.018274,0.723404,0.093821,0.464891,0.003467,0.422915,0.414912,UP
0.867661,0.382979,0.033656,0.448676,0.002185,0.47333,0.635526,UP
0.442768,0.659574,0.05326,0.469801,0.003706,0.501295,0.383333,DOWN
0.907969,0.06383,0.059085,0.272835,0.003984,0.461678,0.42807,DOWN
0.0,0.787234,0.040711,0.546861,0.003467,0.422915,0.414912,DOWN
0.438034,0.425532,0.095653,0.523951,0.003467,0.422915,0.414912,UP
0.46905,0.340426,0.047946,0.414758,0.003172,0.306836,0.595614,UP
0.871377,0.87234,0.036238,0.418179,0.002345,0.46841,0.789912,UP
0.889695,0.553191,0.028972,0.589408,0.07775,0.603832,0.141667,DOWN
0.434671,0.425532,0.051129,0.335466,0.003467,0.422915,0.414912,UP
0.031459,0.489362,0.066561,0.49643,0.003467,0.422915,0.414912,DOWN
0.911553,0.148936,0.02648,0.133591,0.001718,0.228638,0.729386,DOWN
0.871422,0.234043,0.03939,0.391253,0.001653,0.436044,0.726316,UP
0.45113,0.468085,0.042182,0.665129,0.002802,0.61419,0.446053,UP
0.876864,0.042553,0.028762,0.25424,0.001888,0.347747,0.420614,DOWN
0.907924,0.893617,0.042002,0.425915,0.002854,0.438633,0.386404,DOWN
0.443033,0.255319,0.043803,0.367301,0.002862,0.305282,0.732895,DOWN
0.433786,0.957447,0.047886,0.419667,0.003467,0.422915,0.414912,DOWN
