Vehicle_Reference_df_res,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Was_Vehicle_Left_Hand_Drive?,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Number_of_Vehicles,Number_of_Casualties,Local_Authority_(District),1st_Road_Number,2nd_Road_Number,Urban_or_Rural_Area,Vehicle_Reference_df,Casualty_Reference,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Pedestrian_Location,Pedestrian_Movement,Casualty_Type,Casualty_IMD_Decile,target
2,9,18,0,0,0,1.0,33,6,999.0,1,1,491380.0,409626.0,-0.621423,53.575284,16,3,4,232.0,1029.0,0.0,2.0,3,3,2.0,43,7,0,0,9,7,1.0
1,5,18,0,0,0,1.0,64,9,800.0,1,4,356460.0,514680.0,-2.674229,54.525523,3,2,1,64.0,6.0,0.0,2.0,1,1,1.0,64,9,0,0,5,4,1.0
3,9,4,0,0,0,1.0,45,7,1969.0,2,1,488342.0,231771.0,-0.715233,51.977392,43,3,2,476.0,4146.0,0.0,2.0,2,2,2.0,20,4,0,0,9,10,1.0
1,9,7,0,0,0,1.0,37,7,1870.0,2,9,433378.0,392602.0,-1.499124,53.429156000000006,14,2,1,215.0,0.0,0.0,1.0,1,1,2.0,37,7,0,0,9,1,2.0
2,19,3,0,0,0,1.0,44,7,1461.0,2,5,421647.0,505347.0,-1.6677240000000002,54.443072,12,3,2,184.0,1.0,1.0,2.0,1,1,2.0,34,6,0,0,9,2,1.0
1,9,4,0,0,0,1.0,61,9,1997.0,2,16,499919.0,373790.0,-0.503855,53.251726,32,3,2,356.0,158.0,0.0,2.0,2,2,1.0,17,4,0,0,9,8,1.0
2,3,4,0,0,0,1.0,21,5,124.0,1,12,528340.0,180020.0,-0.15225,51.50455,1,4,1,1.0,4202.0,4202.0,1.0,2,1,1.0,21,5,0,0,3,2,1.0
1,5,17,0,0,0,1.0,47,8,865.0,1,6,615502.0,244053.0,1.141702,52.052939,37,1,1,412.0,137.0,0.0,1.0,1,1,2.0,47,8,0,0,5,6,2.0
2,9,5,0,0,0,1.0,45,7,1389.0,1,14,408554.0,108595.0,-1.87979,50.876789,55,2,1,647.0,0.0,3072.0,1.0,2,1,2.0,45,7,0,0,9,8,2.0
2,9,18,0,0,0,1.0,26,6,996.0,1,5,309954.0,97009.0,-3.2781910000000005,50.765657,50,2,2,580.0,0.0,0.0,2.0,2,1,2.0,26,6,0,0,9,9,2.0
2,9,18,0,0,0,1.0,35,6,1242.0,1,15,465019.0,399714.0,-1.021513,53.49012800000001,14,2,2,211.0,0.0,0.0,2.0,2,2,1.0,6,2,0,0,9,2,2.0
1,9,18,0,0,0,1.0,39,7,1598.0,1,12,381750.0,274840.0,-2.269479,52.371297,22,1,1,278.0,0.0,0.0,1.0,1,1,1.0,6,2,9,5,0,1,1.0
2,9,18,0,0,0,1.0,53,8,1242.0,1,9,507744.0,247988.0,-0.427756,52.119719,40,2,2,420.0,421.0,0.0,2.0,1,1,2.0,19,4,0,0,9,5,2.0
