f5,f6,f7,f8,f9,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,target
117,77,76,71,94,6,58,34,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
65,103,136,77,94,0,1,2,0,0,54,23,0,0,0,2,3,32,16,0,0,0,0,0,0,0,N
114,87,76,71,94,0,3,0,0,74,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
74,148,80,71,94,1,38,25,0,0,0,0,0,66,9,0,0,0,1,0,0,0,0,0,0,0,N
88,95,76,71,94,0,19,34,0,0,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
151,77,76,76,101,0,16,76,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,N
61,93,76,71,94,5,42,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,P
115,79,76,71,94,0,37,34,37,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,N
113,114,76,74,95,0,0,0,0,13,111,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,N
60,117,76,71,94,0,0,0,0,42,5,0,16,28,0,0,0,0,0,0,0,0,0,0,0,0,N
74,78,77,71,94,0,6,56,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,P
67,109,78,72,94,0,0,0,0,0,48,42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,N
58,98,76,71,94,0,1,4,3,0,37,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
22,102,98,71,94,0,9,0,0,0,0,0,0,0,16,27,0,0,0,0,0,0,0,0,0,0,P
74,77,76,71,94,6,56,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
86,90,105,97,94,0,46,0,0,0,36,9,0,0,0,0,0,0,12,29,0,0,0,0,0,0,P
65,129,76,71,94,0,0,0,2,0,32,41,33,0,0,0,0,0,0,0,0,0,0,0,0,0,N
64,77,76,77,99,0,16,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,P
83,77,76,71,95,0,7,60,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P
84,78,76,71,94,56,8,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
80,77,81,77,94,0,25,37,2,7,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,P
71,101,100,71,94,0,37,25,0,0,0,0,0,0,12,31,0,0,0,0,0,0,0,0,0,0,N
13,97,183,147,97,0,0,0,0,0,0,0,0,0,0,41,2,39,31,0,0,39,6,0,0,0,N
56,77,96,110,94,0,0,0,14,32,0,0,0,0,0,0,0,0,2,16,24,0,0,0,0,0,N
23,110,76,121,102,0,0,0,0,0,0,0,41,3,0,0,0,0,0,0,0,21,17,0,0,0,N
59,113,103,72,94,0,0,2,24,23,0,0,0,0,31,27,0,0,0,0,1,0,0,0,0,0,N
56,96,123,71,94,0,0,28,18,0,0,0,0,0,0,23,34,0,0,0,0,0,0,0,0,0,N
70,115,91,71,94,0,0,0,0,59,3,0,0,7,39,3,0,0,0,0,0,0,0,0,0,0,N
63,91,86,71,94,0,1,2,3,7,55,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,P
108,85,76,71,94,0,0,1,20,56,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
76,77,79,72,94,4,1,56,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,P
64,84,76,71,94,7,2,0,0,23,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
137,90,76,71,94,0,0,42,42,7,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
