RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,target
0.630885614,36,1,0.340865913,10000.0,10,0,1,0,2,0
0.902013998,49,0,0.5256386,5284.0,5,1,1,0,2,1
0.031253178,50,0,0.586740587,4328.0,4,0,1,0,0,0
0.594159456,64,1,1.648362507,7083.0,19,0,5,0,0,1
0.005920663,32,0,0.783073704,4300.0,6,0,2,0,1,0
0.411972535,61,0,0.142112125,2300.0,3,0,0,0,0,0
0.466233349,58,0,0.248041775,7276.0,9,0,1,0,0,0
0.166365974,63,0,0.457158728,7200.0,8,0,1,0,0,0
0.295909059,31,0,0.107284152,4296.0,3,0,0,0,0,0
0.190952262,64,2,0.204799675,4916.0,13,0,1,0,0,1
0.019645876,59,1,0.354397635,8117.0,9,0,2,0,0,0
0.289241927,67,0,0.216924534,6333.0,12,0,2,0,0,0
0.792801108,63,4,3.960044395,900.0,12,0,1,2,0,1
0.073528431,45,0,0.203493326,7041.0,3,0,1,0,3,0
0.97029703,44,1,0.55922039,2000.0,11,0,1,0,3,1
0.108271672,41,0,0.124704902,7200.0,11,0,0,0,2,1
0.195218007,69,0,0.305268595,9679.0,14,0,2,0,0,0
0.02331308,79,0,0.032193561,5000.0,18,0,1,0,0,0
0.357099148,62,0,1.776149234,1500.0,10,0,2,0,0,0
0.363888509,45,0,0.823723526,16666.0,13,0,4,1,0,1
0.403530974,42,0,0.701921575,6400.0,12,0,3,0,2,0
0.946107784,55,0,0.846846847,4217.0,23,0,1,0,0,1
0.01479872,59,0,0.364849188,5171.0,10,0,2,0,0,0
0.087787617,53,0,0.161337361,9600.0,5,0,1,0,0,0
0.031936128,21,0,0.0,0.0,1,0,0,0,0,0
0.854779143,58,3,0.609572201,6100.0,15,0,1,0,1,1
0.9999999,36,3,0.199925953,2700.0,3,4,0,0,3,1
0.9999999,51,0,0.039368544,5130.0,4,1,0,0,0,0
0.9999999,58,1,0.483589088,4691.0,6,2,1,3,0,1
0.873260612,42,4,0.482551745,10000.0,10,0,2,2,3,1
0.0,63,0,0.331768094,15971.0,13,0,2,0,0,0
1.916943522,59,2,0.085560469,5200.0,4,1,0,2,1,1
0.968832696,24,0,0.09352518,1250.0,5,0,0,0,0,1
0.0583933,66,0,0.212517318,16600.0,12,0,2,0,1,0
0.329094183,48,0,0.268591772,7583.0,8,0,0,0,1,0
0.278123952,61,0,0.376265634,6715.0,10,0,2,0,2,0
0.009029345,67,0,0.0,1620.0,1,1,0,0,3,1
0.047002588,59,0,0.452591235,6000.0,23,0,3,0,0,1
0.9999999,41,3,0.185532289,6828.0,6,0,1,2,2,1
1.358641359,36,3,0.274750081,3100.0,5,3,0,1,2,1
0.0,41,0,0.063005432,8284.0,5,0,0,0,0,0
0.900503553,44,2,0.542363962,9500.0,10,0,3,0,3,0
0.148071524,71,0,0.179985001,12000.0,9,0,1,0,0,0
0.021569145,47,0,0.201133447,9351.0,14,0,2,0,1,0
0.165524871,32,0,0.607826335,3500.0,11,0,2,0,0,0
0.384446412,62,0,0.573550414,3500.0,5,0,2,0,0,0
0.063489418,73,0,0.98347548,1875.0,6,0,2,0,0,0
0.016570837,60,0,0.246800181,6640.0,3,0,1,0,0,0
0.172110385,52,0,0.373227123,5146.0,10,0,2,0,1,0
0.017899494,49,0,0.356264374,10000.0,13,0,2,0,0,0
0.9999999,66,2,0.050919755,3750.0,1,2,0,0,0,1
0.054495497,24,1,0.466809422,1400.0,8,0,0,1,0,1
0.061446157,46,0,0.229518449,6395.0,7,0,1,0,2,0
0.67514766,31,0,0.456107466,3200.0,7,0,1,0,0,0
0.940841001,60,0,0.602279544,5000.0,17,0,1,0,1,1
0.599471325,59,0,0.161203875,4850.0,13,1,0,1,0,1
0.9999999,45,0,0.016935319,4900.0,0,0,0,0,0,1
0.784245702,60,0,0.617184084,4573.0,10,0,1,0,0,1
0.238968325,47,0,0.618176365,3333.0,15,0,2,0,2,0
0.227104748,58,0,0.143227479,10800.0,8,0,1,0,1,0
0.0,79,0,0.055736066,4000.0,11,0,0,0,0,0
1.004856796,39,1,0.448353777,3097.0,7,0,0,0,0,1
0.697537808,33,2,0.068010076,3969.0,4,1,0,0,2,1
0.125823247,52,0,0.180296811,9500.0,4,0,1,0,2,0
0.049767859,66,0,0.180303591,2700.0,11,0,1,0,0,1
0.017392351,54,0,0.274483678,1500.0,7,0,0,0,0,0
0.357761492,61,3,0.015805336,72000.0,8,1,1,0,1,1
0.872221703,55,2,0.42193087,7550.0,5,0,2,0,0,1
0.052654673,65,0,0.016995751,4000.0,7,0,0,0,1,0
0.036257348,47,1,0.084598698,7375.0,47,0,1,0,0,0
0.9999999,35,0,0.0,3750.0,1,0,0,0,0,0
0.9999999,60,0,0.249875062,2000.0,1,0,0,0,0,0
0.15115041,37,0,0.221599061,7666.0,5,0,2,0,3,0
0.415524099,43,1,1.825489379,2400.0,11,0,2,0,3,1
0.791885839,71,2,0.69356301,5514.0,14,1,1,1,0,1
0.63091623,52,0,0.458205573,7500.0,5,0,2,0,0,1
0.509933775,30,0,0.087353325,2300.0,1,0,0,0,0,1
0.898550725,46,2,0.738793937,3100.0,17,0,1,0,2,1
0.0,45,1,675.0,1.0,5,0,1,2,3,0
0.073747856,40,1,0.127971562,4500.0,6,1,0,0,0,1
1.257881381,25,0,0.669402985,2679.0,8,0,0,0,1,1
0.064335188,64,0,0.021296961,8357.0,9,0,0,0,0,0
0.755407654,45,0,0.092575449,5400.0,3,4,0,6,1,1
0.393532246,58,0,0.36131934,2000.0,6,0,0,0,0,1
0.853132676,52,3,1.035396156,4265.0,11,2,1,4,1,1
1.141860298,49,1,0.778060503,3536.0,8,0,1,1,1,1
0.758326658,46,0,0.522033159,4583.0,12,0,0,0,3,0
0.9999999,94,0,2.243512974,500.0,4,0,1,0,0,0
0.246763271,78,0,0.157520551,4500.0,12,0,0,0,0,0
1.119565217,34,0,0.024421129,5527.0,2,1,0,1,1,1
0.386169548,26,3,0.526275314,3900.0,11,4,0,0,0,1
0.007008427,62,0,0.001709645,7018.0,4,0,0,0,0,0
0.859877044,52,2,0.506017604,5566.0,18,0,1,0,2,1
0.004249788,46,0,3.544850498,300.0,4,0,1,0,0,0
3.306693307,50,0,0.308557152,1600.0,4,0,0,0,2,1
0.9999999,56,0,0.08003108,5147.0,2,1,0,1,0,1
0.038974026,62,0,0.209411324,10667.0,6,0,1,0,2,0
0.9999999,36,0,0.196150999,1350.0,2,0,0,0,2,0
0.9999999,58,0,0.133577902,4633.0,1,1,0,0,1,0
0.5401505,30,0,0.143818496,5200.0,8,0,0,2,5,1
0.849798479,39,0,0.676136977,9256.0,12,0,2,0,0,1
1.05278174,37,0,0.13919179,3117.0,5,5,0,2,1,1
1.588741126,38,0,0.106789321,10000.0,7,0,0,0,4,0
0.540147428,41,1,0.430742568,7500.0,10,0,1,0,1,0
