Var6,Var13,Var21,Var22,Var24,Var25,Var28,Var35,Var38,Var57,Var65,Var73,Var74,Var76,Var78,Var81,Var83,Var85,Var109,Var112,Var113,Var119,Var123,Var125,Var126,Var132,Var133,Var134,Var140,Var144,Var149,Var153,Var160,Var163,Var194,Var196,Var201,Var203,Var205,Var207,Var208,Var210,Var211,Var218,Var221,Var223,Var225,Var227,Var229,target
623.0,0.0,468.0,585.0,20,328.0,166.56,0,4338.0,0.139714,9,18.0,0.0,161256.0,0,4359.57,0.0,36,96.0,176.0,17394.84,1445.0,12.0,0.0,4.0,0,249925.0,125340.0,0.0,0,107933.0,608496.0,68.0,111534.0,3,0,2,0,0,8,0,5,0,1,6,0,3,1,4,-1
826.0,268.0,144.0,180.0,2,24.0,186.64,0,3763194.0,5.221747,18,40.0,259.0,3023440.0,0,228224.4,15.0,2,32.0,40.0,111026.4,525.0,54.0,101772.0,-30.0,0,5541850.0,405224.0,130.0,9,545384.0,10628480.0,30.0,490842.0,3,0,2,0,1,10,0,5,0,1,4,3,3,2,4,1
476.0,1500.0,116.0,145.0,4,64.0,133.12,0,52140.0,3.478103,9,150.0,126.0,0.0,0,3528.84,0.0,16,40.0,0.0,9265.84,285.0,78.0,19890.0,44.0,0,0.0,24476.0,2425.0,18,11928.0,126920.0,0.0,64812.0,1,0,1,0,1,10,0,5,0,0,4,0,2,2,4,-1
798.0,244.0,156.0,195.0,6,72.0,166.56,0,0.0,0.355266,18,162.0,42.0,210112.0,3,3960.24,0.0,10,80.0,160.0,13358.56,445.0,0.0,1521.0,20.0,16,51310.0,15250.0,130.0,9,37730.0,215624.0,10.0,58530.0,3,0,2,0,0,4,0,5,0,1,0,0,0,3,0,1
784.0,128.0,140.0,175.0,4,32.0,259.6,0,4787928.0,3.929929,9,62.0,77.0,1267280.0,0,218909.1,15.0,8,32.0,16.0,112582.0,525.0,60.0,1296.0,36.0,0,3993060.0,633616.0,110.0,0,1108828.0,10345840.0,24.0,1900854.0,3,0,2,0,1,10,0,5,0,1,4,3,0,2,0,-1
175.0,88.0,32.0,40.0,0,8.0,133.12,0,0.0,2.140996,9,84.0,49.0,0.0,6,5094.06,0.0,2,0.0,0.0,-18988.72,120.0,0.0,59643.0,-30.0,24,53450.0,3408.0,5.0,9,0.0,50636.0,12.0,1590.0,3,0,2,0,0,10,0,5,0,1,4,0,0,2,1,1
896.0,2324.0,140.0,175.0,0,24.0,186.64,0,6709320.0,2.788507,63,204.0,182.0,2073608.0,0,89589.0,25.0,2,40.0,24.0,491900.0,495.0,84.0,59418.0,-30.0,0,2827965.0,436486.0,10270.0,45,0.0,10473480.0,18.0,518400.0,1,0,1,0,2,4,0,5,0,0,4,0,1,3,4,1
420.0,228.0,20.0,25.0,0,8.0,186.64,0,0.0,3.951506,9,40.0,49.0,0.0,0,201704.4,0.0,2,8.0,0.0,288117.6,90.0,0.0,71613.0,-32.0,0,9072000.0,355240.0,1680.0,18,0.0,8665960.0,6.0,1046814.0,3,0,2,0,1,10,0,5,0,1,4,4,3,2,4,1
1820.0,20.0,260.0,325.0,10,56.0,200.0,0,0.0,4.308908,18,30.0,7.0,128552.0,3,6479.94,0.0,0,112.0,192.0,-32771.44,700.0,0.0,522.0,6.0,16,68050.0,5350.0,210.0,0,20076.0,129416.0,68.0,0.0,3,0,2,0,0,10,0,5,0,1,4,0,3,2,4,-1
1218.0,1880.0,164.0,205.0,0,64.0,186.64,5,4597020.0,6.711173,9,128.0,91.0,2607264.0,0,138976.2,20.0,0,32.0,40.0,101932.8,665.0,66.0,2106.0,44.0,8,4103355.0,783132.0,255.0,18,0.0,10451920.0,26.0,0.0,3,0,2,0,0,4,0,5,0,1,6,2,0,3,0,-1
