Var6,Var13,Var21,Var22,Var24,Var25,Var28,Var35,Var38,Var57,Var65,Var73,Var74,Var76,Var78,Var81,Var83,Var85,Var109,Var112,Var113,Var119,Var123,Var125,Var126,Var132,Var133,Var134,Var140,Var144,Var149,Var153,Var160,Var163,Var194,Var196,Var201,Var203,Var205,Var207,Var208,Var210,Var211,Var218,Var221,Var223,Var225,Var227,Var229,target
1680.0,2540.0,292.0,365.0,4,264.0,166.56,0,28146.0,5.13416,9,54,406.0,409784.0,0,14745.93,0.0,8,56.0,80.0,43337.6,1135.0,24.0,33705.0,30.0,0,288505.0,379630.0,6675.0,0,232988.0,1394596.0,44.0,271314.0,3,0,2,0,1,10,0,5,0,1,4,0,0,2,0,1
4326.0,536.0,972.0,1215.0,50,536.0,200.0,0,6588.0,6.463149,9,98,147.0,2436616.0,0,21575.73,0.0,62,288.0,368.0,16049.28,3370.0,6.0,7407.0,-30.0,0,3827070.0,457096.0,4840.0,9,404663.0,5616240.0,196.0,626532.0,3,0,2,0,1,10,0,5,0,0,4,0,3,2,0,1
1372.0,4.0,204.0,255.0,6,152.0,186.64,0,0.0,5.167699,9,40,0.0,2281312.0,0,10003.05,5.0,10,48.0,96.0,72947.2,1225.0,0.0,5679.0,-30.0,0,845880.0,271536.0,15.0,27,674142.0,2842488.0,28.0,721512.0,3,0,2,0,1,5,0,5,0,1,3,0,3,4,4,1
910.0,2180.0,184.0,230.0,8,72.0,166.56,0,1036800.0,0.252296,9,54,0.0,951920.0,0,74532.3,25.0,10,72.0,56.0,155876.0,655.0,12.0,162396.0,30.0,0,2987405.0,355360.0,175.0,0,574287.0,6017680.0,36.0,647454.0,3,0,2,0,0,10,0,5,0,0,4,0,3,2,0,1
952.0,24.0,144.0,180.0,0,24.0,280.4,0,10250220.0,4.945525,9,38,14.0,86416.0,0,192057.0,35.0,4,32.0,16.0,188082.8,605.0,120.0,1170.0,14.0,0,157275.0,378686.0,50.0,9,0.0,10696400.0,4.0,1036806.0,3,0,2,0,0,10,0,5,0,0,4,0,3,2,4,-1
63.0,0.0,128.0,160.0,2,48.0,246.0,0,500622.0,2.599017,9,12,0.0,202440.0,0,62565.3,10.0,4,48.0,40.0,-688284.0,160.0,6.0,0.0,-18.0,8,1958500.0,40582.0,0.0,0,101857.0,2669448.0,32.0,87666.0,3,0,2,0,1,10,0,5,1,1,4,0,3,2,4,-1
791.0,0.0,124.0,155.0,0,8.0,266.88,0,6220800.0,2.763299,18,40,0.0,2764800.0,0,220750.2,25.0,0,32.0,32.0,93105.6,500.0,72.0,0.0,-16.0,0,3888000.0,75434.0,0.0,36,0.0,10518880.0,18.0,0.0,3,0,2,0,0,7,0,5,1,1,0,0,3,0,4,-1
532.0,0.0,332.0,415.0,18,96.0,204.24,0,56868.0,1.834864,9,18,0.0,1143360.0,0,12264.24,15.0,20,120.0,88.0,-207185.6,1510.0,36.0,0.0,-30.0,0,2083105.0,244296.0,0.0,0,277102.0,3022628.0,82.0,367116.0,3,0,2,0,0,10,0,5,0,0,4,4,3,2,4,1
1099.0,0.0,144.0,180.0,2,0.0,293.28,0,634602.0,1.880581,9,26,0.0,6220816.0,0,91730.7,5.0,2,48.0,72.0,276860.4,830.0,18.0,0.0,4.0,0,8875750.0,0.0,0.0,9,604800.0,10695400.0,44.0,43338.0,3,0,2,0,1,10,0,5,0,1,4,0,3,2,4,-1
336.0,0.0,124.0,155.0,0,0.0,186.64,0,0.0,0.518479,9,42,0.0,6220816.0,0,161100.0,0.0,0,32.0,72.0,146037.6,460.0,0.0,153.0,-30.0,0,9504050.0,0.0,0.0,9,0.0,10713640.0,44.0,0.0,3,0,2,0,1,10,0,5,0,0,4,0,3,2,4,1
