Vehicle_Reference_df_res,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Was_Vehicle_Left_Hand_Drive?,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Number_of_Vehicles,Number_of_Casualties,Local_Authority_(District),1st_Road_Number,2nd_Road_Number,Urban_or_Rural_Area,Vehicle_Reference_df,Casualty_Reference,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Pedestrian_Location,Pedestrian_Movement,Casualty_Type,Casualty_IMD_Decile,target
2,3,18,0,0,0,1.0,62,9,124.0,1,3,414627.0,418865.0,-1.7801060000000002,53.666064,13,2,2,203.0,641.0,0.0,1.0,2,2,1.0,62,9,0,0,3,5,1.0
2,9,4,0,0,0,1.0,33,6,1596.0,1,12,528460.0,183720.0,-0.149175,51.537773,1,3,1,2.0,0.0,0.0,1.0,3,1,1.0,32,6,0,0,8,1,2.0
1,9,9,0,0,0,1.0,43,7,657.0,1,20,535670.0,193980.0,-0.041319,51.628285,1,2,1,32.0,1055.0,0.0,1.0,2,1,1.0,29,6,0,0,3,2,2.0
2,9,18,0,0,1,1.0,43,7,1896.0,2,14,367183.0,387644.0,-2.494848,53.384613,7,2,1,128.0,0.0,0.0,1.0,2,1,1.0,43,7,0,0,9,9,1.0
1,9,4,0,0,10,1.0,23,5,1360.0,1,12,389660.0,159225.0,-2.149801,51.332024,54,2,1,635.0,350.0,0.0,2.0,1,1,2.0,23,5,0,0,9,2,2.0
2,9,5,0,0,0,1.0,49,8,1968.0,2,4,507318.0,468601.0,-0.360249,54.102116,16,2,2,231.0,1253.0,0.0,2.0,1,1,1.0,46,8,0,0,9,4,1.0
2,9,18,0,0,0,1.0,25,5,1968.0,2,5,521190.0,180950.0,-0.254897,51.514485,1,2,1,27.0,40.0,0.0,1.0,1,1,1.0,22,5,0,0,5,6,2.0
2,9,18,0,0,0,1.0,48,8,1997.0,2,4,457226.0,379663.0,-1.142582,53.310822,31,2,2,341.0,57.0,60.0,2.0,2,1,2.0,48,8,0,0,9,7,2.0
1,9,18,0,0,10,1.0,28,6,1799.0,1,7,442390.0,209991.0,-1.386856,51.78697800000001,43,2,1,485.0,40.0,0.0,2.0,1,1,1.0,28,6,0,0,9,10,1.0
2,9,18,0,0,0,1.0,41,7,1591.0,1,2,295544.0,75084.0,-3.476257,50.566138,50,2,2,585.0,379.0,0.0,2.0,1,1,2.0,42,7,0,0,9,9,2.0
2,9,18,0,0,0,1.0,19,4,1299.0,1,14,418790.0,283300.0,-1.724966,52.447342000000006,20,2,1,306.0,4438.0,0.0,1.0,2,1,2.0,19,4,0,0,9,2,2.0
1,9,9,0,4,0,1.0,24,5,1596.0,1,14,428347.0,586309.0,-1.556526,55.170283,10,4,2,139.0,1334.0,0.0,1.0,1,1,1.0,24,5,0,0,9,6,1.0
2,9,4,0,0,0,1.0,46,8,1968.0,2,5,432028.0,568018.0,-1.500791,55.005703,10,2,2,148.0,2051.0,0.0,1.0,1,1,1.0,25,5,0,0,9,2,2.0
3,9,3,0,0,0,1.0,48,8,1086.0,1,6,515910.0,290760.0,-0.29382600000000003,52.50243,35,5,6,393.0,1.0,0.0,2.0,4,6,1.0,63,9,0,0,9,5,2.0
2,9,8,0,0,0,1.0,45,7,1339.0,1,12,413679.0,562957.0,-1.787905,54.961062,10,2,2,146.0,4273.0,695.0,1.0,1,1,2.0,33,6,0,0,9,4,2.0
2,21,2,0,0,0,1.0,45,7,11705.0,2,11,594259.0,337326.0,0.8866370000000001,52.898262,36,2,1,405.0,597.0,0.0,2.0,1,1,1.0,68,10,0,0,9,3,1.0
