V1,V5,V6,V8,V14,V15,V17,V18,V19,V20,V21,V22,target
235.0,4,8,2,2,0,2,1,0,37.0,6.0,3,1
288.0,5,15,2,2,0,1,0,0,4.0,332.0,10,0
77.0,5,15,2,0,0,2,1,1,402.0,4.0,19,1
231.0,1,29,2,2,0,2,1,1,78.0,93.0,19,0
257.0,1,8,2,2,0,2,1,1,20.0,40.0,19,1
257.0,3,10,2,2,0,1,0,0,2.0,13.0,19,1
136.0,3,13,2,2,0,2,1,1,389.0,47.0,19,1
351.0,2,15,2,0,0,1,1,0,219.0,250.0,19,1
101.0,5,13,2,2,0,0,0,0,329.0,65.0,19,0
95.0,41,70,2,2,0,1,1,0,401.0,176.0,19,0
253.0,0,8,2,2,0,2,0,0,90.0,34.0,19,1
82.0,6,11,2,0,0,0,0,0,363.0,32.0,19,1
207.0,2,8,2,2,0,1,0,0,35.0,271.0,19,1
253.0,0,11,2,0,0,2,0,0,1.0,19.0,19,1
304.0,5,8,2,0,0,2,1,1,50.0,118.0,19,1
232.0,12,39,2,0,0,2,1,0,237.0,284.0,19,0
97.0,30,39,2,2,0,2,1,1,386.0,2.0,19,1
237.0,0,8,2,0,0,1,1,0,134.0,30.0,19,1
95.0,12,22,2,2,0,2,0,0,404.0,11.0,19,1
236.0,3,8,2,0,0,0,1,1,8.0,57.0,19,1
89.0,2,23,2,0,0,1,0,0,358.0,67.0,19,0
311.0,6,7,2,2,0,2,1,0,110.0,27.0,19,0
512.0,0,11,2,2,0,2,0,0,207.0,34.0,19,1
351.0,7,13,2,0,0,2,1,0,213.0,7.0,19,0
842.0,4,12,0,1,0,1,1,1,1.0,482.0,19,0
257.0,4,9,2,2,0,2,0,0,3.0,15.0,19,0
256.0,2,9,2,0,0,1,1,0,58.0,300.0,19,1
304.0,2,8,2,0,0,1,0,0,50.0,190.0,19,1
235.0,3,9,2,0,0,2,0,0,76.0,13.0,19,1
243.0,0,7,2,2,0,0,0,0,4.0,35.0,19,1
92.0,10,20,2,2,0,1,1,0,346.0,517.0,19,0
97.0,2,13,2,2,0,2,1,0,388.0,167.0,19,0
76.0,20,42,2,1,0,0,1,1,331.0,18.0,19,0
