Vehicle_Reference_df_res,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Was_Vehicle_Left_Hand_Drive?,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Number_of_Vehicles,Number_of_Casualties,Local_Authority_(District),1st_Road_Number,2nd_Road_Number,Urban_or_Rural_Area,Vehicle_Reference_df,Casualty_Reference,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Pedestrian_Location,Pedestrian_Movement,Casualty_Type,Casualty_IMD_Decile,target
1,9,18,0,0,0,1.0,25,5,1998.0,2,8,338512.0,396823.0,-2.927646,53.464543000000006,5,2,5,91.0,0.0,0.0,1.0,1,4,2.0,5,1,0,0,9,2,2.0
1,9,4,0,0,0,1.0,66,10,1997.0,2,2,544450.0,170450.0,0.075804,51.414673,1,2,1,19.0,0.0,0.0,1.0,2,1,2.0,69,10,0,0,9,9,1.0
1,9,3,0,0,0,1.0,72,10,1596.0,1,13,540510.0,185590.0,0.025204,51.551709,1,2,2,17.0,114.0,0.0,1.0,1,1,2.0,72,10,0,0,9,4,2.0
1,9,18,0,0,11,1.0,22,5,1248.0,2,7,500179.0,179462.0,-0.557999,51.505222,43,3,2,473.0,7302.0,7302.0,1.0,2,2,1.0,23,5,0,0,9,6,1.0
2,9,18,0,0,0,1.0,59,9,1598.0,1,10,535610.0,163860.0,-0.053748,51.357634,1,2,1,20.0,212.0,0.0,1.0,2,1,2.0,59,9,0,0,9,6,2.0
1,9,16,0,0,4,1.0,55,8,1198.0,1,7,510510.0,297100.0,-0.371237,52.560522,35,1,1,393.0,1.0,0.0,2.0,1,1,2.0,55,8,0,0,9,6,2.0
1,9,5,0,0,0,1.0,31,6,2685.0,2,10,357557.0,395477.0,-2.640617,53.454328,5,1,1,92.0,0.0,0.0,1.0,1,1,1.0,53,8,9,9,0,1,1.0
3,20,18,0,0,0,1.0,50,8,4250.0,2,13,543680.0,253660.0,0.099171,52.162517,35,3,1,395.0,11.0,11.0,2.0,2,1,2.0,49,8,0,0,9,8,1.0
2,9,7,0,0,0,1.0,42,7,1597.0,1,21,364378.0,174350.0,-2.514198,51.46699,52,2,1,601.0,0.0,0.0,1.0,1,1,1.0,42,7,0,0,1,6,1.0
1,9,18,0,0,0,1.0,19,4,1198.0,1,4,426286.0,567140.0,-1.590642,54.998148,10,2,2,147.0,1278.0,0.0,1.0,2,1,2.0,59,9,0,0,9,7,2.0
1,9,18,0,0,0,1.0,24,5,1598.0,1,2,543910.0,189150.0,0.075665,51.582841,1,2,3,14.0,123.0,0.0,1.0,1,1,2.0,24,5,0,0,9,5,2.0
1,9,10,0,0,0,1.0,78,11,1328.0,1,11,354848.0,116470.0,-2.644078,50.945889,52,2,2,610.0,0.0,0.0,1.0,2,2,2.0,53,8,0,0,9,8,2.0
2,9,18,0,0,0,1.0,28,6,1998.0,2,10,425891.0,559673.0,-1.597487,54.93107,10,2,3,146.0,167.0,4055.0,1.0,1,3,1.0,75,10,0,0,9,7,1.0
2,9,18,0,0,0,1.0,22,5,1299.0,1,9,389350.0,388840.0,-2.161624,53.39628,6,3,2,109.0,0.0,0.0,1.0,3,2,2.0,51,8,0,0,9,3,2.0
2,9,18,0,0,0,1.0,39,7,1998.0,1,13,485326.0,162130.0,-0.776115,51.351851,43,2,1,470.0,7005.0,0.0,1.0,1,1,1.0,54,8,0,0,9,8,2.0
1,9,18,0,0,0,1.0,64,9,1910.0,2,9,527940.0,180690.0,-0.15776800000000002,51.510661,1,2,1,1.0,4202.0,4202.0,1.0,2,1,1.0,41,7,0,0,3,2,1.0
4,9,4,0,0,0,1.0,25,5,998.0,1,4,435215.0,564737.0,-1.451369,54.97600600000001,10,4,3,149.0,194.0,0.0,1.0,2,1,1.0,17,4,0,0,9,2,2.0
2,9,9,0,0,0,1.0,29,6,1400.0,2,8,434530.0,281010.0,-1.493623,52.425991,20,2,2,302.0,4109.0,0.0,1.0,2,1,2.0,29,6,0,0,9,9,2.0
3,9,8,0,0,0,1.0,31,6,1798.0,1,8,384406.0,349158.0,-2.234019,53.039465,21,4,5,253.0,94.0,94.0,1.0,3,5,2.0,2,1,0,0,9,5,1.0
1,9,18,0,10,10,1.0,76,11,1248.0,1,2,341280.0,432010.0,-2.892607,53.78109,4,1,1,74.0,583.0,0.0,2.0,1,1,2.0,76,11,0,0,9,7,2.0
1,9,18,0,0,0,1.0,48,8,1598.0,1,19,531010.0,189470.0,-0.110288,51.58886,1,2,1,31.0,504.0,138.0,1.0,2,1,1.0,27,6,0,0,3,3,2.0
2,9,3,0,0,0,1.0,45,7,1995.0,2,13,363499.0,393963.0,-2.550965,53.44116700000001,7,2,2,128.0,1004.0,0.0,2.0,2,2,1.0,45,7,0,0,9,3,2.0
2,9,18,0,0,0,1.0,24,5,1242.0,1,8,348817.0,384368.0,-2.7704150000000003,53.35370500000001,7,2,2,124.0,2007.0,0.0,1.0,1,1,2.0,23,5,0,0,9,3,2.0
2,9,18,0,0,0,1.0,36,7,1870.0,2,10,487347.0,242222.0,-0.727052,52.071487,43,2,2,479.0,1.0,0.0,1.0,1,2,1.0,77,11,0,0,9,7,2.0
2,9,18,0,0,0,1.0,53,8,1997.0,1,5,584466.0,215716.0,0.6744399999999999,51.809638,42,2,1,458.0,0.0,0.0,2.0,1,1,1.0,61,9,0,0,9,6,1.0
1,9,6,8,0,0,1.0,27,6,1781.0,1,11,479075.0,354504.0,-0.820946,53.081913,31,2,2,345.0,46.0,0.0,2.0,1,1,1.0,27,6,0,0,9,7,1.0
2,9,18,0,0,0,1.0,54,8,1995.0,2,4,314420.0,537870.0,-3.3304089999999995,54.728504,3,2,1,60.0,5301.0,0.0,2.0,2,1,1.0,54,8,0,0,9,6,1.0
2,9,18,0,0,0,1.0,38,7,1388.0,1,6,484085.0,236691.0,-0.77599,52.022276,43,3,2,479.0,129.0,0.0,1.0,1,1,1.0,62,9,0,0,9,7,2.0
2,9,18,0,0,0,1.0,33,6,1956.0,2,1,509315.0,428372.0,-0.344088,53.740279,16,2,1,228.0,63.0,1079.0,1.0,1,1,2.0,26,6,0,0,9,8,2.0
2,9,9,0,0,0,1.0,48,8,2987.0,2,9,531880.0,190590.0,-0.097316,51.598722,1,2,2,31.0,109.0,0.0,1.0,2,2,1.0,48,8,0,0,9,4,1.0
1,9,17,0,0,4,1.0,38,7,1390.0,1,12,402200.0,121650.0,-1.970026,50.994242,54,1,1,635.0,0.0,0.0,2.0,1,1,2.0,38,7,0,0,9,8,2.0
2,19,17,0,0,0,1.0,55,8,1997.0,2,12,252596.0,88059.0,-4.087467,50.67348,50,2,2,589.0,386.0,0.0,2.0,2,1,1.0,55,8,0,0,19,5,1.0
1,9,9,0,0,0,1.0,33,6,1598.0,1,8,531030.0,164860.0,-0.119119,51.367695,1,2,2,20.0,23.0,232.0,1.0,1,2,1.0,32,6,0,0,9,4,1.0
1,19,18,0,0,0,1.0,53,8,2402.0,2,4,534680.0,180780.0,-0.060667999999999986,51.509905,1,1,1,5.0,108.0,0.0,1.0,1,1,2.0,37,7,10,9,0,2,1.0
1,9,18,0,0,0,1.0,48,8,1240.0,1,6,552180.0,184770.0,0.19304,51.541317,1,1,1,15.0,0.0,0.0,1.0,1,1,1.0,12,3,5,4,0,3,2.0
1,9,18,0,0,0,1.0,28,6,1149.0,1,11,296920.0,516460.0,-3.594497,54.532887,3,2,1,63.0,0.0,0.0,1.0,2,1,1.0,43,7,0,0,9,1,2.0
1,9,3,0,0,0,1.0,28,6,1400.0,1,11,340665.0,366738.0,-2.889575,53.194399,7,2,1,130.0,0.0,0.0,1.0,1,1,1.0,28,6,0,0,9,1,1.0
1,9,9,0,0,0,1.0,27,6,1995.0,1,12,580004.0,183663.0,0.5932890000000001,51.523194,42,2,1,453.0,1014.0,0.0,1.0,2,1,1.0,30,6,0,0,9,2,1.0
