P1,P5p1,P6p2,P11p4,P14p9,P15p1,P15p3,P16p2,P18p2,P27p4,H2p2,H8p2,H10p1,H13p1,H18pA,H40p4,target
246.0,0.49187,0.0,0.158537,0.056,0.947155,0.0,0.8375,0.0,0.0,0.047619,0.0,1.0,0.059524,0.0,0.0,N
1714.0,0.509335,0.00175,0.249125,0.073722,0.836639,0.0,0.7314,0.002522,0.070618,0.37213,0.0,0.978562,0.677751,0.051471,0.333333,P
571.0,0.455342,0.0,0.292469,0.228296,0.789842,0.06655,0.643172,0.0,0.004405,0.174546,0.0,0.969163,0.305455,0.084746,0.8,N
460.0,0.469565,0.11087,0.136957,0.102459,0.852174,0.0,0.703911,0.0,0.072626,0.151659,0.100559,0.988827,0.417062,0.076923,1.0,P
1070.0,0.471963,0.114019,0.1,0.084956,0.933645,0.0,0.834667,0.002667,0.018667,0.03599,0.088,0.994667,0.061697,0.185714,0.0,N
199.0,0.432161,0.005025,0.18593,0.159292,0.864322,0.0,0.691358,0.0,0.024691,0.05814,0.012346,0.987654,0.116279,0.068966,0.0,N
226.0,0.50885,0.004425,0.119469,0.144144,0.911504,0.0,0.771429,0.014286,0.028571,0.027778,0.014286,1.0,0.25,0.285714,0.0,N
854.0,0.462529,0.001171,0.28103,0.24183,0.788056,0.057377,0.668539,0.008427,0.025281,0.048128,0.0,0.997191,0.203209,0.032787,0.0,N
4060.0,0.508867,0.005665,0.060591,0.03009,0.903695,0.0,0.789928,0.007914,0.051799,0.053134,0.003597,0.989928,0.277248,0.125,0.31579,N
1949.0,0.467932,0.049256,0.12314,0.092575,0.509492,0.0,0.308442,0.000812,0.07224,0.087407,0.040584,0.973214,0.774074,0.005592,0.666667,P
139.0,0.47482,0.0,0.230216,0.178082,0.863309,0.0,0.647059,0.0,0.019608,0.426966,0.0,1.0,0.483146,0.352941,0.0,N
5453.0,0.498991,0.003668,0.090409,0.054905,0.887035,0.0,0.756903,0.003945,0.052268,0.076503,0.002466,0.763807,0.246357,0.064246,0.222222,P
3266.0,0.488059,0.170851,0.131966,0.080144,0.823944,0.0,0.681577,0.009098,0.084913,0.032991,0.153905,0.943139,0.223607,0.092664,0.384615,P
4128.0,0.629603,0.328246,0.0,0.002616,0.516231,0.479893,0.971223,0.0,0.0,0.034722,0.350719,0.933453,0.223958,0.254084,0.0,P
776.0,0.484536,0.009021,0.125,0.0725,0.840206,0.0,0.657051,0.003205,0.044872,0.071429,0.009615,0.971154,0.389881,0.087379,0.3,N
1818.0,0.474698,0.023102,0.136414,0.101571,0.880088,0.0,0.722963,0.007407,0.035556,0.031564,0.022222,0.988148,0.218078,0.052885,0.875,N
1302.0,0.502304,0.162826,0.166667,0.141975,0.81874,0.019201,0.68,0.004,0.068,0.270073,0.134,0.97,0.205839,0.107843,0.727273,P
5904.0,0.488313,0.006436,0.124323,0.105594,0.899221,0.014058,0.7923,0.004753,0.02424,0.035747,0.004753,0.987167,0.2044,0.058048,0.444444,P
4669.0,0.462412,0.004069,0.184408,0.139442,0.827158,0.039623,0.699046,0.009545,0.029759,0.07768,0.004492,0.997754,0.399793,0.090573,0.551724,N
23252.0,0.489721,0.009591,0.232281,0.116309,0.763117,0.005075,0.599339,0.003303,0.085984,0.419388,0.00774,0.91949,0.351107,0.075817,0.122768,P
1247.0,0.483561,0.017642,0.097033,0.062112,0.865277,0.012831,0.735113,0.002053,0.034908,0.054369,0.026694,1.0,0.184466,0.014085,0.5,P
8612.0,0.458082,0.00987,0.160358,0.127277,0.720622,0.061426,0.574048,0.002257,0.087729,0.084689,0.005642,0.99182,0.445908,0.055805,0.395833,P
2310.0,0.460606,0.000433,0.267965,0.199037,0.804762,0.039394,0.657114,0.001024,0.022518,0.068637,0.0,0.997953,0.246902,0.047273,0.642857,N
2292.0,0.498255,0.02356,0.072862,0.066087,0.901833,0.0,0.769704,0.007389,0.038177,0.079365,0.024631,0.992611,0.300454,0.10559,0.35,N
2029.0,0.45934,0.003943,0.17792,0.13856,0.878265,0.0,0.707559,0.001239,0.012392,0.030048,0.003718,0.998761,0.200721,0.051095,0.5,N
33685.0,0.482351,0.008787,0.120914,0.086999,0.816773,0.014725,0.654009,0.004315,0.05142,0.059074,0.007839,0.960949,0.348491,0.050557,0.433333,P
681.0,0.519824,0.004405,0.268723,0.076453,0.814978,0.0,0.685976,0.0,0.064024,0.783212,0.003049,0.990854,0.955717,0.083333,1.0,P
802.0,0.492519,0.0,0.168329,0.12285,0.854115,0.0,0.671141,0.016779,0.033557,0.050955,0.0,0.993289,0.305733,0.092105,0.333333,N
24692.0,0.513324,0.127207,0.020614,0.023966,0.944719,0.000851,0.848837,0.002975,0.021769,0.03723,0.118307,0.966874,0.141109,0.272957,0.35514,P
5853.0,0.461302,0.202973,0.139928,0.098319,0.811379,0.001709,0.626157,0.002012,0.059155,0.088742,0.177867,0.98833,0.272461,0.060311,0.117647,P
4189.0,0.455956,0.001671,0.183815,0.154015,0.860349,0.035331,0.747292,0.001805,0.009025,0.064189,0.002407,0.99639,0.198761,0.064632,0.541667,N
96.0,0.46875,0.0,0.052083,0.019608,0.854167,0.0,0.638889,0.0,0.027778,0.28,0.0,1.0,0.94,0.0,0.0,N
3212.0,0.470423,0.029888,0.146015,0.126984,0.81071,0.066003,0.734199,0.006926,0.058875,0.052502,0.025108,0.994805,0.297785,0.045455,0.705882,P
9207.0,0.489519,0.000543,0.093407,0.066809,0.89899,0.010861,0.782457,0.002533,0.039582,0.022896,0.0,0.996833,0.267017,0.048346,0.684211,P
296.0,0.449324,0.0,0.131757,0.104295,0.925676,0.0,0.803738,0.0,0.009346,0.053097,0.0,1.0,0.185841,0.210526,1.0,N
1274.0,0.483517,0.0,0.10832,0.098784,0.900314,0.0,0.764957,0.004274,0.027778,0.064,0.0,0.997863,0.198,0.097826,0.571429,P
1458.0,0.489026,0.000686,0.108368,0.075168,0.890947,0.0,0.744403,0.0,0.035448,0.057997,0.0,0.990672,0.281195,0.119761,0.428571,N
2601.0,0.472126,0.001153,0.149173,0.1311,0.87697,0.0,0.712136,0.004012,0.023069,0.072558,0.001003,1.0,0.262326,0.143382,0.647059,N
359.0,0.48468,0.069638,0.250696,0.25946,0.72702,0.103064,0.641026,0.0,0.032051,0.076923,0.032051,1.0,0.147929,0.0,1.0,P
