sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,decile_score.1,score_text,v_type_of_assessment,v_decile_score,v_score_text,end,target
1,19,2,2,0,0,0,1,-1.0,1.0,7,3,1,0,6,2,609,0
1,26,0,0,0,1,1,9,-1.0,1.0,7,9,0,0,8,0,1018,0
1,56,1,0,0,0,0,28,-69.0,69.0,3,6,2,0,3,1,490,-1
0,23,2,2,0,0,0,4,-1.0,1.0,7,8,0,0,4,2,513,0
0,57,1,2,0,0,0,1,-51.0,52.0,3,0,1,0,0,1,512,-1
1,24,2,2,0,0,0,3,-1.0,1.0,3,7,0,0,7,0,383,0
1,26,0,0,0,1,1,12,-1.0,0.0,3,5,2,0,6,2,884,-1
0,27,0,0,0,0,0,1,0.0,1.0,3,4,2,0,3,1,889,0
1,29,0,2,0,0,0,1,-66.0,66.0,3,2,1,0,4,2,180,-1
1,24,2,2,0,0,2,6,0.0,0.0,3,9,0,0,4,2,961,-1
1,31,0,2,0,0,0,1,0.0,0.0,3,6,2,0,3,1,269,-1
1,46,1,0,1,0,0,8,261.0,0.0,7,3,1,0,4,2,261,0
0,49,1,2,0,0,0,2,-1.0,1.0,7,1,1,0,0,1,338,0
1,37,0,0,0,0,0,12,-74.0,74.0,3,2,1,0,1,1,1068,-1
0,25,0,0,0,0,0,5,-1.0,2.0,7,6,2,0,6,2,1139,0
0,42,0,2,0,0,0,4,5.0,63.0,7,5,2,0,2,1,5,0
1,46,1,0,0,0,0,2,-1.0,1.0,3,8,0,0,3,1,259,-1
1,30,0,0,0,0,0,10,18.0,0.0,3,5,2,0,3,1,18,0
1,30,0,0,0,0,0,14,27.0,28.0,6,5,2,0,6,2,827,0
1,31,0,0,0,0,0,6,0.0,0.0,3,3,1,0,1,1,1091,-1
1,30,0,0,0,0,0,7,0.0,1.0,8,9,0,0,9,0,334,0
1,23,2,2,0,0,0,3,-1.0,1.0,2,4,2,0,5,2,864,-1
1,34,0,0,0,2,0,8,-1.0,1073.0,7,5,2,0,1,1,462,-1
1,55,1,0,0,0,0,8,-1.0,1.0,3,0,1,0,0,1,163,0
1,53,1,0,0,0,0,3,-1.0,1.0,2,5,2,0,0,1,789,0
