RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,target
0.016576764,67,3,0.245188703,4000.0,18,0,1,0,0,0
2.297612046,42,1,0.806048488,4000.0,8,2,1,4,0,1
0.942624212,64,1,0.044878916,4500.0,4,0,0,0,1,0
1.0184795,61,3,0.932115527,4050.0,16,0,2,1,1,1
0.9999999,40,2,0.460507898,5000.0,7,1,1,1,0,1
0.520806328,51,0,0.285656375,14800.0,11,0,2,0,2,1
0.832010181,72,2,0.660350545,2110.0,11,1,0,0,0,1
0.748748416,42,0,0.566644015,10300.0,23,0,4,0,4,1
0.9999999,32,0,0.10182606,3230.0,1,1,0,1,0,1
1.047203814,38,1,0.520732121,8850.0,9,4,1,2,5,1
0.798201451,43,2,0.448219569,9800.0,12,0,1,0,0,1
0.910454394,38,2,0.588974579,3500.0,6,1,1,2,2,1
0.821045841,47,0,0.508392675,7863.0,12,0,1,0,2,1
0.9999999,44,1,0.658101356,1400.0,5,1,0,0,2,1
0.03546916,62,0,0.191970466,6500.0,6,0,2,0,0,0
0.015084785,39,0,0.324879652,8516.0,14,3,1,0,1,1
0.551668196,44,0,0.345543538,12666.0,13,0,2,0,3,0
0.9999999,71,0,0.0,7300.0,0,0,0,0,0,1
0.723310676,24,0,0.123384254,850.0,4,0,0,0,0,1
0.9999999,41,0,0.042825184,3128.0,0,3,0,0,2,1
0.838989727,34,0,0.65514369,2400.0,3,0,0,0,0,0
0.743782027,41,0,0.348830234,3333.0,5,0,0,0,1,0
0.060016027,40,0,2.163612129,3000.0,20,0,1,0,0,0
0.005945143,38,0,0.355647302,3390.0,7,0,1,0,3,0
0.206297426,63,0,2.099078341,433.0,12,0,1,0,1,0
0.9999999,46,0,0.165834166,1000.0,2,2,0,0,0,0
0.347285913,36,0,0.139151581,3700.0,6,0,0,0,1,1
0.541546949,73,2,0.635726011,6700.0,8,1,1,1,0,1
1.064733817,47,0,1.553633218,2600.0,9,0,3,0,2,1
0.268105073,58,0,0.732238486,2800.0,12,0,2,0,0,0
0.9999999,53,0,0.898728753,7000.0,3,1,1,0,5,1
0.032913482,64,1,0.25247896,12000.0,12,0,1,0,0,0
0.991668123,66,7,0.6601551,10186.0,7,2,2,0,2,1
0.638961776,30,0,0.564647096,1600.0,10,0,0,0,0,1
