Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,target
AA,1344.0,SAT,DFW,7,705.0,70.0,0
OO,4634.0,LGB,SLC,1,605.0,117.0,0
CO,1704.0,IAH,OKC,7,1265.0,83.0,0
OO,7755.0,SLC,CDC,3,459.0,72.0,0
XE,2300.0,TUL,IAH,5,1002.0,97.0,0
9E,4143.0,FWA,DTW,6,345.0,59.0,0
CO,1611.0,EWR,IAH,6,1245.0,232.0,0
FL,677.0,MKE,MCO,1,977.0,164.0,0
B6,20.0,TPA,JFK,2,365.0,149.0,0
AA,263.0,IAD,LAX,1,865.0,350.0,0
WN,641.0,PIT,PHL,1,1035.0,90.0,0
US,1276.0,PHL,IND,5,1075.0,127.0,1
WN,1930.0,LAS,HOU,2,1070.0,175.0,1
AA,865.0,AUS,DFW,5,655.0,65.0,0
9E,3662.0,MSP,BNA,5,1145.0,138.0,1
B6,471.0,BOS,SJC,5,985.0,398.0,0
DL,1310.0,IND,DTW,7,1040.0,85.0,1
WN,3252.0,SLC,SEA,2,790.0,130.0,1
OO,7766.0,PIH,SLC,7,1095.0,53.0,0
UA,694.0,ORD,LGA,3,1260.0,119.0,0
AA,321.0,LGA,ORD,2,665.0,160.0,1
FL,657.0,ATL,SAT,4,620.0,165.0,0
MQ,4586.0,MSP,LGA,1,525.0,160.0,0
AA,1281.0,BOS,DFW,7,925.0,265.0,0
OH,6761.0,BOS,JFK,6,360.0,85.0,0
XE,2234.0,IAH,MSY,6,1285.0,54.0,0
B6,50.0,FLL,JFK,7,1185.0,165.0,0
CO,1807.0,TPA,IAH,1,1126.0,144.0,1
MQ,4144.0,ORD,CMI,5,805.0,50.0,0
XE,2882.0,BNA,EWR,7,1180.0,122.0,1
9E,3781.0,DTW,GRB,1,1300.0,90.0,1
UA,791.0,DEN,DSM,4,621.0,105.0,0
US,991.0,IAD,CLT,6,420.0,87.0,1
9E,4212.0,DTW,TYS,2,620.0,99.0,0
DL,2801.0,BWI,MSP,1,865.0,166.0,0
CO,1544.0,IAH,CLE,6,620.0,151.0,0
MQ,2801.0,SGF,DFW,4,1055.0,90.0,1
WN,23.0,PHX,ELP,7,455.0,65.0,0
WN,1172.0,SNA,OAK,7,1180.0,80.0,1
DL,1122.0,RSW,ATL,6,665.0,110.0,0
UA,852.0,SFO,SAN,3,770.0,97.0,0
OO,6496.0,LAX,COS,7,1252.0,127.0,1
WN,496.0,PDX,DEN,4,380.0,145.0,1
HA,21.0,SEA,HNL,3,560.0,375.0,0
OO,6855.0,DEN,LIT,2,1170.0,116.0,1
AA,1700.0,IAH,MIA,1,620.0,140.0,1
MQ,3620.0,ORF,MIA,4,445.0,155.0,0
MQ,4185.0,CLE,ORD,4,1190.0,100.0,1
9E,4287.0,DTW,BDL,3,630.0,108.0,0
MQ,3156.0,LAX,SAF,5,600.0,120.0,0
CO,1507.0,TPA,IAH,4,545.0,144.0,0
MQ,3731.0,ORD,MSP,7,1350.0,85.0,1
WN,951.0,MDW,MSP,3,520.0,85.0,0
WN,2193.0,MCO,RDU,1,530.0,95.0,0
CO,1450.0,CLE,LGA,1,940.0,91.0,0
DL,1197.0,LAX,OGG,4,525.0,351.0,0
OO,4808.0,LAX,SFO,3,1094.0,71.0,1
DL,2660.0,MEM,LGA,3,530.0,159.0,1
OO,6279.0,IPL,LAX,2,870.0,65.0,1
WN,3037.0,TPA,ISP,5,490.0,155.0,0
DL,1085.0,MSP,ANC,6,930.0,357.0,0
UA,72.0,HNL,SFO,4,469.0,320.0,0
DL,2536.0,MCO,BOS,4,1125.0,171.0,0
EV,5442.0,DCA,BDL,4,955.0,80.0,1
9E,3848.0,ERI,DTW,1,1030.0,75.0,1
OO,6526.0,LAX,PHX,2,523.0,77.0,0
DL,2321.0,DTW,IND,4,1050.0,73.0,1
XE,3092.0,MCI,EWR,3,855.0,165.0,1
WN,2265.0,LAS,SAN,4,665.0,70.0,1
FL,1135.0,TPA,ROC,7,1189.0,151.0,1
US,2169.0,LGA,DCA,2,600.0,77.0,1
WN,3101.0,PHL,STL,1,560.0,160.0,1
AA,2470.0,LAX,DFW,4,1140.0,165.0,0
CO,289.0,DTW,IAH,6,903.0,185.0,0
WN,2382.0,SAT,HOU,5,410.0,50.0,1
CO,1079.0,IAH,SAT,2,850.0,59.0,1
AA,1876.0,MIA,LGA,7,1120.0,175.0,0
MQ,2755.0,BMI,DFW,3,925.0,135.0,1
WN,1934.0,DEN,MSP,6,1090.0,120.0,1
OO,6444.0,SMX,LAX,1,865.0,57.0,1
OO,6727.0,MTJ,DEN,4,384.0,63.0,0
YV,2633.0,CLT,SAV,4,1235.0,72.0,0
WN,1594.0,RNO,DEN,2,795.0,130.0,1
WN,3405.0,LAS,ONT,1,860.0,55.0,1
WN,840.0,LAS,BDL,3,565.0,295.0,1
AA,1929.0,SFO,LAX,2,455.0,90.0,0
9E,4356.0,GTR,MEM,5,420.0,55.0,0
WN,1543.0,BNA,HOU,6,505.0,130.0,1
XE,2350.0,MKE,IAH,7,1046.0,177.0,1
9E,3964.0,ALB,JFK,1,365.0,90.0,0
FL,558.0,ATL,BUF,5,610.0,124.0,0
OH,6445.0,DTW,ATW,4,920.0,87.0,0
XE,3092.0,IAH,MCI,1,715.0,113.0,0
AA,1022.0,MIA,PHL,3,885.0,180.0,1
WN,46.0,CRP,HOU,2,975.0,50.0,0
EV,4963.0,CRW,ATL,7,405.0,100.0,0
HA,16.0,HNL,SAN,7,790.0,325.0,0
XE,3074.0,EWR,PVD,3,515.0,74.0,0
OO,6768.0,DEN,JAC,6,1138.0,88.0,0
B6,967.0,JFK,LAX,7,1261.0,374.0,1
US,687.0,SFO,PHX,6,360.0,111.0,0
XE,5914.0,BIS,ORD,1,899.0,124.0,0
WN,1091.0,DAL,MSY,2,1010.0,80.0,1
EV,5366.0,SGF,ATL,3,360.0,119.0,0
WN,913.0,DEN,MDW,7,1075.0,135.0,1
OO,6583.0,COS,DEN,2,541.0,49.0,1
DL,123.0,JFK,ATL,3,960.0,170.0,1
UA,791.0,LAS,DEN,4,360.0,121.0,0
DL,579.0,JFK,SJU,6,1140.0,254.0,0
FL,856.0,MCO,ATL,6,1201.0,94.0,0
XE,2533.0,DTW,EWR,3,685.0,104.0,1
AA,1646.0,DFW,MIA,5,650.0,155.0,1
FL,636.0,DAY,BWI,2,1047.0,83.0,1
US,1715.0,DCA,FLL,5,885.0,154.0,1
CO,1492.0,IAH,CMH,3,1165.0,153.0,0
MQ,3716.0,ATL,ORD,4,980.0,125.0,0
WN,389.0,SAT,HOU,3,610.0,50.0,1
EV,5009.0,BHM,ATL,1,405.0,69.0,0
9E,4343.0,FSD,DTW,2,360.0,144.0,1
9E,4045.0,HPN,ATL,4,430.0,175.0,1
WN,139.0,SMF,SEA,6,515.0,115.0,0
CO,1821.0,IAH,SNA,5,880.0,230.0,1
WN,618.0,PVD,BWI,2,430.0,90.0,0
MQ,3055.0,LAX,SAN,3,540.0,50.0,0
WN,782.0,MDW,IAD,4,840.0,110.0,1
WN,2031.0,SEA,LAS,2,700.0,150.0,1
CO,1690.0,IAH,MIA,6,653.0,146.0,0
CO,480.0,LAS,CLE,4,677.0,233.0,0
XE,2219.0,CLE,TYS,7,1000.0,78.0,1
9E,4298.0,MEM,GPT,7,575.0,82.0,1
B6,442.0,TPA,BOS,1,360.0,167.0,0
MQ,3347.0,SGF,DFW,4,780.0,85.0,0
DL,2361.0,PHL,ATL,4,540.0,145.0,0
OO,6645.0,SFO,MOD,3,1145.0,36.0,1
DL,2321.0,DTW,IND,6,1050.0,73.0,1
WN,1414.0,SAT,DAL,3,505.0,55.0,0
AS,189.0,ANC,FAI,1,945.0,59.0,1
YV,7291.0,IAD,LGA,3,425.0,73.0,0
CO,1500.0,FLL,EWR,6,760.0,178.0,0
OH,6651.0,BNA,LGA,4,1067.0,133.0,0
MQ,3326.0,TYS,DFW,2,810.0,155.0,0
OO,6519.0,LAX,SJC,7,977.0,69.0,0
WN,2552.0,PHX,HOU,4,465.0,145.0,1
US,1583.0,PHL,CLT,3,395.0,102.0,1
DL,2623.0,MSP,MCO,7,785.0,190.0,1
MQ,4007.0,ORD,CMH,5,940.0,70.0,0
WN,266.0,SAN,LAS,7,405.0,75.0,0
CO,769.0,LAS,EWR,5,480.0,290.0,1
DL,1547.0,LGA,ATL,6,420.0,164.0,0
UA,767.0,MSP,ORD,7,1080.0,84.0,1
B6,1436.0,LGB,SFO,4,1060.0,81.0,1
AA,39.0,SFO,HNL,2,495.0,345.0,1
AS,632.0,SEA,PHX,4,450.0,170.0,1
F9,727.0,DCA,DEN,7,825.0,237.0,0
WN,931.0,MCI,DEN,1,1140.0,115.0,1
XE,2431.0,IND,IAH,2,665.0,154.0,1
AS,6.0,LAX,DCA,6,785.0,290.0,0
MQ,3930.0,ORD,OMA,7,1250.0,95.0,0
WN,1755.0,SJC,LAX,7,1200.0,70.0,1
FL,443.0,FLL,MKE,2,693.0,193.0,0
OO,7806.0,SLC,COD,2,665.0,86.0,1
OH,6456.0,LEX,ATL,4,935.0,90.0,1
B6,1304.0,IAD,JFK,7,451.0,73.0,0
9E,3808.0,BMI,DTW,6,395.0,87.0,0
XE,2352.0,OMA,IAH,5,647.0,140.0,0
UA,552.0,IAD,BOS,7,1134.0,96.0,1
US,981.0,PHL,DEN,5,470.0,264.0,0
AA,744.0,DFW,LGA,3,1035.0,210.0,1
XE,2394.0,EWR,MCI,2,965.0,199.0,0
OO,6982.0,DEN,PIT,4,807.0,175.0,1
MQ,3342.0,DFW,CRP,5,735.0,80.0,0
WN,310.0,HOU,LAS,3,1140.0,205.0,1
MQ,3967.0,ORD,OMA,3,470.0,95.0,1
XE,2923.0,CLE,ATL,1,920.0,112.0,0
AA,1472.0,DFW,ATL,3,700.0,125.0,1
DL,1163.0,EWR,DTW,4,420.0,128.0,0
WN,2096.0,SAN,OAK,6,1220.0,90.0,1
DL,2605.0,MSP,SFO,1,1030.0,254.0,1
WN,2210.0,MDW,LIT,4,1040.0,105.0,1
DL,394.0,GRR,DTW,4,1030.0,72.0,1
F9,770.0,LAS,DEN,2,933.0,111.0,0
AA,1709.0,LGA,MIA,6,1200.0,185.0,0
US,948.0,CLT,CLE,5,1189.0,97.0,0
WN,936.0,MHT,BWI,4,665.0,95.0,1
UA,181.0,BOS,SFO,4,886.0,409.0,1
XE,2916.0,IAH,OMA,5,545.0,130.0,0
OO,7051.0,ACV,SFO,1,1081.0,74.0,0
MQ,3310.0,DFW,CID,4,830.0,120.0,0
FL,847.0,ATL,MCO,2,1345.0,82.0,0
MQ,3362.0,LBB,DFW,5,970.0,65.0,1
9E,3929.0,AZO,MSP,5,445.0,106.0,0
9E,3995.0,GRB,MSP,2,400.0,75.0,1
AS,460.0,SEA,LAX,6,600.0,154.0,0
OO,6991.0,PDX,SFO,7,627.0,112.0,1
AS,591.0,PSP,PDX,5,745.0,149.0,1
F9,115.0,MSP,DEN,4,1160.0,126.0,1
US,1741.0,DCA,TPA,2,905.0,143.0,1
WN,2194.0,PDX,DEN,1,1160.0,145.0,1
WN,30.0,BNA,ECP,5,570.0,70.0,1
DL,2419.0,MSP,SNA,1,1050.0,240.0,1
MQ,4059.0,ORD,BMI,1,1195.0,50.0,1
MQ,3937.0,RST,ORD,1,605.0,70.0,1
WN,3408.0,LAS,TUS,2,1180.0,70.0,1
OO,6294.0,DEN,DRO,4,964.0,62.0,0
