V1,V2,V3,V4,V5,target
0.059106,1.187915,0.958166,0.297796,-0.469915,2
-0.154809,2.349752,-1.393253,-0.783265,0.135388,1
0.803354,0.350286,-0.305413,-0.145302,-0.429994,1
-0.534785,-0.669536,1.372254,1.299358,2.690226,2
0.153092,-0.827117,0.590553,1.358966,2.46176,2
0.015691,2.469462,-1.445781,0.243286,0.393285,1
0.315192,-0.055021,0.420427,0.04139,0.278083,2
-0.654685,0.558298,0.181211,0.42084,-0.642793,1
2.44678,-0.954764,-0.939453,-0.399754,-0.222564,1
0.672347,0.480842,1.05652,-0.963921,-0.37698,2
-0.279948,1.824147,-0.007794,0.121153,1.077128,2
-0.806862,-0.680153,-0.385041,0.445946,2.017509,2
0.303291,1.733542,-0.104324,0.021708,0.233609,2
-0.797163,-1.0965,-0.309322,-1.490247,2.640489,1
-0.355626,-0.839053,1.284122,0.72877,-1.086981,2
-0.005876,-1.086568,1.613785,-1.317891,-0.820672,2
-1.181339,-0.476052,0.979205,-1.479042,-0.965771,2
-0.876945,-1.145098,-0.444762,-1.221828,3.574489,1
-0.580723,-0.512744,0.091261,0.511901,1.294071,2
-0.794993,-1.045055,-0.041822,1.466532,-0.136583,1
-0.809088,-0.591968,1.53353,-1.618177,-0.136583,1
-0.445797,1.881722,0.175186,0.856035,-0.694806,2
2.470804,-0.707277,0.787143,-0.916224,-0.350777,1
2.763526,-0.686208,0.051647,-0.753883,-0.28142,1
-0.400426,-1.05292,1.195807,2.533885,-1.318202,2
0.453,0.504365,-1.384573,-0.821402,-0.445982,2
-0.200134,-0.468402,1.070546,0.745727,2.333637,2
-0.753696,-0.923455,-0.092537,1.528727,-1.450276,2
-1.075429,-0.66067,0.752327,-0.500597,-0.136583,2
-0.585825,-0.040616,0.300667,0.120059,-1.073395,1
-0.726194,-0.619947,0.380997,1.871852,-1.368604,2
-0.572787,0.378475,-0.04183,-0.156634,-0.136583,1
1.586021,0.288927,0.13778,0.375669,-0.490388,1
-0.691967,-0.752703,0.788202,0.294517,2.383931,2
0.099592,-0.754228,0.977832,0.583707,0.879842,1
-0.77241,-0.93395,-0.250395,0.504671,-0.872101,2
1.509734,-0.984385,-0.660479,-0.348086,-0.395588,1
-0.510411,-0.83304,1.187454,1.010806,-0.775699,1
0.448214,0.552047,-1.130209,-0.281163,-0.286551,1
2.314561,-0.567653,-0.511269,-0.261242,0.83758,1
-0.084287,-0.269613,0.628514,-1.753584,2.855161,2
-0.426596,-0.303089,1.601855,-1.137807,-0.501882,1
0.371717,1.062448,-1.240259,-0.17297,-0.464222,1
-0.62027,-0.771296,1.516327,1.018126,0.823617,1
-0.425147,-0.563631,0.763802,0.96487,-0.827114,2
0.066751,2.328907,-1.453283,0.19084,0.432068,1
-0.783509,-0.854148,0.109089,1.206756,-0.981979,2
-0.534602,-0.322732,0.704554,0.797695,-0.768367,2
0.1995,1.623444,-0.047568,0.507014,-0.607691,2
-0.649446,-1.13443,-0.167344,1.093666,1.477485,2
-0.045962,0.484155,0.52748,0.31266,0.882644,2
-0.699203,-0.40703,0.190209,-1.192703,1.396757,2
0.800315,-0.52096,1.936931,-1.130547,-0.60134,2
-0.246494,1.778721,-1.202588,-0.711427,0.115107,1
0.164118,-0.198431,-0.272261,0.898545,1.130628,2
-0.240259,-0.229463,1.201523,-1.198019,-0.662003,2
0.574307,0.142322,-0.461899,-0.693433,-0.266791,1
-0.055811,1.715224,-1.271163,-0.71206,-0.352449,1
-0.847626,-1.05581,-0.289216,-1.872634,-0.136583,1
-0.689449,-0.447881,-0.234401,1.882097,1.92024,2
-0.306924,1.102269,-1.190529,-0.250203,-0.389617,1
-0.52559,0.515645,0.049339,-0.03364,-0.136583,1
-0.548882,-0.40016,1.718547,0.800833,0.594564,1
-0.641265,0.109245,0.29213,-0.916804,0.240223,1
-0.701895,0.405747,1.354046,0.469904,1.106067,1
-1.087139,-0.913284,-1.45201,-1.598784,-0.136583,2
-0.61959,-0.85467,-0.074209,1.862813,-0.136583,2
-0.531664,1.3652,-1.365034,-0.857311,-0.472062,1
-0.573248,0.593102,-0.205291,-0.153021,-0.303318,1
-0.7202,-0.58121,0.137166,1.05717,-1.477085,2
-0.576503,0.541225,-0.122729,-0.181981,-0.375113,1
-0.446392,-0.757953,0.214977,2.396377,-1.817542,1
0.062872,0.511298,0.838125,-1.153184,-0.496887,2
-0.233897,1.649282,0.287473,-0.040457,-0.136583,1
-0.686871,1.091823,0.089548,0.153917,-0.553268,1
-0.105253,-0.108966,1.264045,0.42305,2.095998,2
-0.57117,-0.178867,1.2963,0.473012,-0.564847,1
-1.119522,-0.758994,-0.189885,1.009576,-1.610216,2
0.562091,1.328293,-1.211124,-0.700476,0.254008,1
0.239592,1.3462,-1.371981,-0.176056,0.618579,1
-0.644127,1.557079,-0.027547,0.012175,-0.385809,1
-0.692068,1.454548,-1.438873,-0.151847,0.167298,1
-0.268034,-0.708791,0.742504,0.108247,0.51584,2
-0.797229,-0.714658,0.833867,2.160429,-0.136583,1
-0.447161,0.997693,1.365987,-1.183189,-0.592148,1
-0.563959,-0.528909,0.04449,0.697694,1.365547,2
-0.445794,-0.6167,-0.086563,1.631447,-1.894876,2
1.026428,-0.511613,-1.268183,1.797467,-0.902698,1
0.738817,-0.818481,-0.630578,-0.314321,-0.26227,1
-0.30445,-0.922287,1.440752,0.580267,2.55029,2
-0.440401,0.198863,1.516576,-1.263376,0.579047,1
-0.766184,-0.83575,0.216982,1.601116,-1.04057,1
-0.407847,-0.897974,0.420049,1.89145,-0.136583,2
-0.479199,1.591343,1.356305,-1.009993,-0.459917,2
-0.553795,0.45928,1.619252,-1.268399,-0.136583,1
-0.753892,-0.995612,1.289006,0.703645,-1.882941,2
-0.338857,0.48412,1.057374,0.833149,-0.552546,2
-0.689161,-0.757967,0.952547,-2.030907,-0.86686,1
-0.316606,-0.222953,0.261399,2.33496,-1.406558,2
2.753314,-0.735308,-0.486508,0.112027,-0.451238,1
-0.318928,2.594365,-1.347944,-0.779584,-0.398437,1
0.019725,1.713144,0.817658,-0.957645,-0.437595,2
-0.560683,-0.093185,0.920367,0.429486,-0.825062,1
-0.425225,-0.316384,0.569331,0.545192,3.422358,2
-0.562481,-0.526775,0.034262,0.715259,1.46345,2
-0.249806,0.067086,1.034509,0.338782,1.940306,2
-0.433926,-0.786314,1.386917,0.609146,1.020686,2
0.987172,-0.571542,-0.653171,-0.345886,0.01784,1
-1.064471,-1.937636,-1.513633,1.773714,-0.136583,2
-0.793157,-0.709506,0.280665,-0.500597,-0.136583,2
-0.312925,0.789317,-1.347032,-0.760799,-0.358651,1
-0.596048,-0.484528,1.465335,1.429057,2.058439,2
-0.825848,-0.840045,-0.455272,0.586815,-0.136583,2
