Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,target
AA,346.0,STL,ORD,3,1035.0,80.0,0
WN,2899.0,LAS,PHX,7,1075.0,70.0,1
WN,1435.0,OMA,MDW,3,675.0,80.0,1
AS,26.0,SEA,ORD,5,1075.0,237.0,0
DL,2111.0,ATL,DFW,5,890.0,145.0,1
HA,121.0,ITO,HNL,7,541.0,49.0,0
CO,1774.0,ATL,IAH,3,905.0,135.0,0
WN,1533.0,ABQ,ELP,4,1085.0,55.0,1
DL,1674.0,MCO,MSP,6,585.0,214.0,0
YV,2751.0,PHX,SBP,5,1258.0,101.0,0
FL,217.0,MKE,RSW,7,925.0,174.0,0
EV,5333.0,MEM,MGM,6,1190.0,68.0,0
UA,887.0,SFO,LAS,4,1244.0,95.0,0
OO,6429.0,LAS,SFO,3,637.0,102.0,0
UA,58.0,KOA,LAX,4,1326.0,319.0,1
DL,124.0,LAX,ATL,3,540.0,253.0,1
DL,1270.0,STL,ATL,3,530.0,95.0,1
AS,69.0,KTN,JNU,5,1237.0,63.0,0
B6,74.0,JFK,BTV,6,1005.0,82.0,0
US,1198.0,PBI,DCA,1,720.0,135.0,0
EV,5354.0,OAJ,ATL,1,704.0,95.0,1
WN,2021.0,RDU,BNA,2,905.0,95.0,1
DL,1051.0,MLB,ATL,3,678.0,97.0,1
DL,2147.0,LGA,ATL,5,780.0,160.0,1
UA,488.0,ORD,CLT,1,1122.0,113.0,0
AA,2337.0,ORD,DFW,6,940.0,155.0,0
DL,2834.0,MSP,TPA,4,790.0,192.0,1
YV,7258.0,ATW,ORD,7,362.0,55.0,0
DL,1227.0,RIC,ATL,3,350.0,115.0,0
DL,2788.0,MSP,MKE,5,435.0,73.0,1
YV,2730.0,MEM,PHX,1,450.0,223.0,0
MQ,4490.0,BOS,LGA,1,1135.0,85.0,0
FL,871.0,ATL,MSP,4,947.0,156.0,0
WN,389.0,BNA,RDU,1,900.0,80.0,1
B6,1784.0,MCO,JFK,5,954.0,155.0,1
YV,2878.0,DRO,PHX,6,730.0,78.0,0
WN,1279.0,PHX,BWI,1,410.0,255.0,1
YV,7293.0,ORD,ORF,4,1193.0,121.0,1
DL,1791.0,ATL,TPA,1,850.0,85.0,1
WN,1183.0,DAL,AMA,3,875.0,70.0,1
XE,5931.0,CLE,IAD,6,360.0,75.0,1
YV,1962.0,ITO,HNL,1,1165.0,47.0,0
MQ,3206.0,GGG,DFW,4,675.0,55.0,0
AA,785.0,LGA,DFW,1,1060.0,255.0,0
OH,6774.0,BDL,DCA,4,735.0,100.0,0
OO,6388.0,ABQ,DEN,5,1023.0,74.0,1
UA,67.0,LAX,LIH,7,519.0,365.0,0
B6,595.0,HPN,MCO,4,934.0,166.0,1
XE,2392.0,HSV,IAH,4,370.0,122.0,0
OO,6750.0,ORD,LEX,4,475.0,70.0,0
AA,1577.0,MIA,ORD,3,540.0,200.0,0
WN,580.0,SDF,STL,1,590.0,70.0,0
OO,7052.0,DRO,DEN,1,362.0,76.0,1
CO,1606.0,SAN,IAH,4,585.0,187.0,1
AA,2098.0,ORD,BOS,3,935.0,130.0,1
EV,5614.0,ATL,MDT,6,1247.0,104.0,0
EV,5024.0,ATL,AGS,1,1055.0,54.0,1
AS,232.0,SEA,SAN,6,390.0,154.0,1
OO,4872.0,SLC,MCI,7,905.0,151.0,1
WN,218.0,SJC,BUR,1,1050.0,60.0,1
WN,2505.0,BNA,MCO,6,1000.0,105.0,0
UA,679.0,LGA,ORD,1,720.0,158.0,0
XE,2916.0,IAH,OMA,3,545.0,129.0,0
WN,2612.0,MDW,DEN,6,910.0,160.0,1
MQ,2889.0,DFW,CRP,6,630.0,80.0,0
DL,1580.0,SFO,ATL,2,365.0,270.0,1
WN,2958.0,SAT,LAX,2,625.0,200.0,0
9E,4169.0,BTV,DTW,2,970.0,127.0,0
WN,2026.0,LAS,IND,4,760.0,215.0,1
UA,721.0,DEN,SFO,1,678.0,174.0,1
WN,2600.0,BNA,SAN,6,820.0,280.0,0
OO,6492.0,LIT,DEN,1,963.0,145.0,1
EV,4988.0,XNA,MEM,2,700.0,67.0,0
US,541.0,DFW,LAS,6,405.0,178.0,0
B6,746.0,SJU,MCO,7,980.0,187.0,1
