Gold2000,Silver2000,Bronze2000,Total2000,Population,Athletes,GDP,Total1996,Log1996,Log.population,Log.GDP,target
39,25,33,97,274028.0,664.0,7567100.0,101,4.615121,12.520986,15.83932,N
32,28,28,88,147434.0,468.0,356030.0,63,4.143135,11.901136,12.78277,N
28,16,15,59,1255698.0,295.0,906079.0,50,3.912023,14.043202,13.716882,N
16,25,17,58,18520.0,655.0,367802.0,41,3.713572,9.826607,12.8153,N
14,17,26,57,82133.0,497.0,2364632.0,65,4.174387,11.316095,14.676133,N
13,14,11,38,58683.0,359.0,1533619.0,37,3.610918,10.979905,14.243141,N
14,8,13,35,57369.0,413.0,1140484.0,35,3.555348,10.957259,13.946963,N
11,11,7,29,11116.0,245.0,18600.0,25,3.218876,9.316141,9.830917,N
11,10,7,28,58649.0,355.0,1152136.0,15,2.70805,10.979326,13.957128,N
8,9,11,28,23348.0,292.0,483130.0,27,3.295837,10.058267,13.088041,N
11,6,9,26,22474.0,169.0,36191.0,20,2.995732,10.020114,10.496566,N
12,9,4,25,15678.0,254.0,402565.0,19,2.944439,9.660014,12.905612,N
3,10,10,23,50861.0,248.0,60904.0,23,3.135494,10.836852,11.017054,N
5,8,5,18,126281.0,286.0,5149185.0,14,2.639057,11.746265,15.454349,N
8,6,3,17,10116.0,204.0,44274.0,21,3.044522,9.221874,10.698153,N
3,3,11,17,10315.0,156.0,22452.0,15,2.70805,9.241354,10.019135,N
6,5,3,14,38718.0,205.0,124682.0,17,2.833213,10.56406,11.733522,N
3,3,8,14,30563.0,332.0,569899.0,22,3.091042,10.327545,13.253214,N
5,6,2,13,8336.0,98.0,9924.0,15,2.70805,9.028339,9.202711,P
4,6,3,13,10600.0,166.0,120021.0,8,2.079442,9.268609,11.695422,N
4,5,3,12,8875.0,164.0,227315.0,8,2.079442,9.090994,12.334092,N
0,6,6,12,165851.0,206.0,709591.0,15,2.70805,12.018845,13.472444,N
3,3,5,11,39628.0,354.0,563249.0,17,2.833213,10.587291,13.241477,N
4,3,3,10,4419.0,110.0,151198.0,7,1.94591,8.393669,11.926346,N
1,6,2,9,7299.0,115.0,313729.0,7,1.94591,8.895493,12.656285,N
4,1,3,8,59649.0,31.0,6042.0,3,1.098612,10.996233,8.70649,P
2,3,3,8,10282.0,140.0,120800.0,11,2.397895,9.23815,11.701892,N
3,4,0,7,16319.0,135.0,22213.0,11,2.397895,9.700085,10.008433,N
2,3,2,7,29008.0,58.0,8661.0,8,2.079442,10.275327,9.066585,P
0,4,3,7,2538.0,53.0,8800.0,6,1.791759,7.839132,9.082507,P
2,3,1,6,5270.0,110.0,168917.0,6,1.791759,8.569786,12.037163,N
1,3,2,6,206338.0,48.0,213384.0,4,1.386294,12.237271,12.270849,P
1,2,3,6,95831.0,81.0,314718.0,1,0.0,11.470342,12.659432,P
0,0,6,6,5059.0,36.0,4590.0,2,0.693147,8.528924,8.431635,P
3,0,2,5,64479.0,59.0,177530.0,6,1.791759,11.074095,12.086895,P
2,0,3,5,3694.0,68.0,8455.0,1,0.0,8.214465,9.042513,P
1,3,1,5,5377.0,115.0,18206.0,3,1.098612,8.589886,9.809506,N
1,1,3,5,30081.0,49.0,43726.0,3,1.098612,10.311649,10.685698,P
0,2,3,5,10141.0,70.0,268633.0,6,1.791759,9.224342,12.501101,P
0,2,3,5,39357.0,134.0,132455.0,5,1.609438,10.580429,11.793998,N
0,1,4,5,6660.0,55.0,297953.0,1,0.0,8.803875,12.604691,P
0,1,4,5,27377.0,60.0,34936.0,2,0.693147,10.217459,10.461273,P
3,0,1,4,65758.0,35.0,347600.0,3,1.098612,11.093737,12.758808,P
2,1,1,4,5154.0,78.0,119086.0,4,1.386294,8.547528,11.687601,P
1,1,2,4,23574.0,80.0,23490.0,2,0.693147,10.0679,10.06433,P
1,0,3,4,3796.0,165.0,57135.0,6,1.791759,8.241703,10.953172,N
0,2,2,4,36123.0,152.0,295131.0,3,1.098612,10.494685,12.595175,N
0,1,3,4,46109.0,31.0,20867.0,5,1.609438,10.738763,9.945924,P
2,1,0,3,8140.0,97.0,226510.0,3,1.098612,9.004545,12.330544,P
2,0,1,3,7669.0,31.0,3642.0,1,0.0,8.944942,8.200288,P
1,1,1,3,2424.0,48.0,5730.0,1,0.0,7.793174,8.653471,P
1,1,1,3,10635.0,121.0,20039.0,4,1.386294,9.271906,9.905436,N
1,0,2,3,60300.0,59.0,177476.0,2,0.693147,11.007087,12.086591,P
0,3,0,3,106409.0,91.0,27599.0,6,1.791759,11.575045,10.225535,P
2,0,0,2,1993.0,90.0,18390.0,2,0.693147,7.597396,9.819562,P
1,1,0,2,296.0,28.0,3391.0,1,0.0,5.690359,8.12888,P
1,0,1,2,4784.0,113.0,181130.0,2,0.693147,8.473032,12.10697,N
0,1,1,2,1283.0,23.0,5017.0,2,0.693147,7.156956,8.520587,P
0,1,1,2,4378.0,34.0,2542.0,2,0.693147,8.384347,7.840706,P
0,0,2,2,3841.0,7.0,9081.0,1,0.0,8.253488,9.11394,P
0,0,2,2,9869.0,85.0,100934.0,2,0.693147,9.197154,11.522222,P
1,0,0,1,18880.0,5.0,1472.0,1,0.0,9.845858,7.294377,P
0,1,0,1,3681.0,78.0,73700.0,4,1.386294,8.21094,11.207758,P
0,0,1,1,3536.0,28.0,2387.0,2,0.693147,8.170751,7.777793,P
0,0,1,1,5984.0,40.0,90310.0,1,0.0,8.696845,11.411003,P
0,0,1,1,982223.0,78.0,357759.0,1,0.0,13.797574,12.787615,P
