Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,target
WN,945.0,PVD,BWI,7,1075.0,80.0,0
CO,529.0,DEN,EWR,4,1110.0,221.0,0
B6,734.0,SJU,BOS,3,825.0,249.0,1
US,1232.0,FLL,DCA,7,1085.0,144.0,1
YV,1054.0,LIH,OGG,6,740.0,45.0,0
B6,660.0,MCO,SYR,1,1180.0,152.0,0
US,85.0,PHX,BWI,7,1035.0,249.0,0
UA,20.0,DEN,TUL,4,764.0,97.0,0
F9,232.0,DEN,BNA,7,630.0,150.0,0
MQ,3619.0,MIA,TLH,2,990.0,85.0,0
AA,1290.0,STX,MIA,5,1050.0,185.0,1
WN,1179.0,DEN,SAT,5,615.0,130.0,0
DL,1787.0,MSP,SAN,7,1290.0,238.0,1
YV,7217.0,BTV,ORD,4,389.0,157.0,0
AA,373.0,DFW,SNA,4,765.0,195.0,0
US,1690.0,RSW,CLT,1,1035.0,114.0,0
OO,6877.0,LAX,SEA,2,1115.0,164.0,0
WN,2529.0,IND,DEN,1,360.0,185.0,1
CO,1471.0,TUL,IAH,4,365.0,95.0,0
FL,703.0,ATL,DAY,2,1010.0,82.0,0
OH,6273.0,DCA,CMH,5,1250.0,89.0,0
WN,1013.0,PDX,PHX,1,395.0,155.0,0
AA,1201.0,SNA,ORD,1,495.0,235.0,0
UA,204.0,SEA,SFO,5,946.0,126.0,0
OO,7006.0,PDX,LAX,4,453.0,138.0,1
OO,6850.0,MBS,ORD,3,519.0,79.0,0
CO,685.0,PDX,EWR,3,1315.0,304.0,0
9E,4359.0,RST,MSP,7,585.0,55.0,1
MQ,3957.0,MEM,ORD,3,730.0,110.0,0
F9,766.0,LAS,DEN,7,420.0,110.0,0
WN,399.0,SNA,SFO,3,555.0,90.0,0
WN,1244.0,RDU,BWI,3,960.0,60.0,1
US,2134.0,LGA,BOS,4,960.0,74.0,0
XE,2131.0,IAH,CRP,3,1285.0,59.0,0
WN,1395.0,STL,PHX,2,900.0,210.0,1
WN,2029.0,OAK,LAX,4,935.0,70.0,1
UA,144.0,SFO,DEN,1,423.0,165.0,0
AS,645.0,PHX,SEA,6,725.0,195.0,0
US,1656.0,BUF,CLT,1,380.0,116.0,0
WN,1471.0,BWI,BUF,6,930.0,70.0,1
CO,1812.0,IAH,OMA,6,1111.0,124.0,0
EV,5486.0,CHS,ATL,1,761.0,82.0,1
AA,1499.0,TPA,DFW,4,715.0,175.0,1
AA,1894.0,SFO,LAX,3,585.0,90.0,0
DL,150.0,ATL,IAD,4,595.0,110.0,1
OO,6888.0,ELP,ORD,1,789.0,177.0,1
UA,907.0,ORD,SFO,7,1025.0,288.0,0
DL,2698.0,MSP,GRR,5,825.0,83.0,0
MQ,3944.0,JFK,BWI,2,1049.0,76.0,0
WN,160.0,DEN,SMF,5,705.0,160.0,0
FL,596.0,ATL,ROC,3,1325.0,128.0,0
MQ,4698.0,DCA,RDU,2,1200.0,65.0,0
AA,619.0,ORD,LAX,3,1290.0,265.0,1
AA,2282.0,DFW,BOS,2,1185.0,205.0,1
DL,2386.0,ATL,LGA,1,1000.0,141.0,0
YV,2818.0,FAT,PHX,4,975.0,99.0,0
US,1051.0,LGA,CLT,6,690.0,124.0,0
XE,3159.0,SDF,IAH,4,875.0,151.0,1
OO,6492.0,LIT,DEN,4,963.0,145.0,0
AA,1096.0,SAN,ORD,5,380.0,250.0,1
AA,1300.0,DFW,MEM,3,1210.0,80.0,0
OO,6479.0,LIT,DEN,2,930.0,145.0,0
AA,480.0,SAN,DFW,7,1070.0,165.0,1
DL,2646.0,PHX,ATL,3,420.0,208.0,0
CO,199.0,IAH,DEN,4,440.0,162.0,1
AA,764.0,DFW,LGA,4,1125.0,194.0,1
CO,1662.0,IAH,RSW,6,1170.0,126.0,0
9E,4367.0,ALB,ATL,5,347.0,177.0,0
OO,4469.0,CVG,PIT,7,675.0,72.0,1
FL,996.0,BOS,MKE,6,415.0,160.0,0
EV,4960.0,BOS,CVG,6,773.0,152.0,1
B6,130.0,JFK,BUF,1,1110.0,93.0,0
WN,1976.0,STL,DTW,3,535.0,90.0,1
UA,110.0,ORD,LAS,4,1210.0,249.0,0
WN,1857.0,ELP,DAL,6,1010.0,95.0,1
AA,1030.0,MSY,DFW,6,835.0,100.0,0
OO,6977.0,CEC,ACV,5,1110.0,29.0,0
US,497.0,CLT,DEN,4,1230.0,228.0,0
DL,326.0,CMH,ATL,3,1169.0,105.0,0
EV,5596.0,ATL,MKE,1,1168.0,132.0,1
US,1478.0,PHX,DEN,1,795.0,109.0,0
OO,6574.0,SMF,SFO,4,863.0,43.0,0
9E,3788.0,MSP,DLH,1,1325.0,55.0,0
EV,5589.0,TRI,ATL,2,1094.0,80.0,0
AA,1068.0,MIA,DCA,5,610.0,140.0,0
WN,2291.0,SAN,BNA,7,695.0,225.0,1
OO,4671.0,MSO,SLC,5,390.0,82.0,0
US,327.0,LAS,PHX,7,595.0,72.0,1
AA,1397.0,ORD,RSW,4,410.0,165.0,0
WN,1569.0,MCO,STL,7,610.0,155.0,0
DL,1603.0,ATL,LAS,6,1315.0,286.0,0
OO,6251.0,DEN,MSN,3,606.0,129.0,0
EV,7066.0,CAE,ORD,4,1012.0,128.0,0
MQ,3943.0,ORD,TUL,4,520.0,120.0,0
AA,14.0,OGG,LAX,1,1365.0,300.0,1
MQ,2984.0,DFW,CSG,2,1120.0,115.0,1
MQ,3368.0,LIT,DFW,6,510.0,80.0,0
WN,654.0,CMH,PHX,4,680.0,270.0,1
AA,567.0,DFW,SFO,1,1065.0,230.0,1
FL,30.0,ATL,MDW,5,535.0,112.0,0
WN,1783.0,ALB,BWI,2,725.0,75.0,0
OO,6867.0,BZN,DEN,6,447.0,107.0,0
WN,3091.0,DEN,SFO,7,790.0,170.0,1
9E,3808.0,DTW,DAY,6,615.0,60.0,0
B6,56.0,JFK,BTV,4,559.0,76.0,1
FL,258.0,FNT,ATL,5,772.0,132.0,0
EV,5424.0,AVL,ATL,3,520.0,71.0,0
WN,2963.0,LAS,BUR,3,690.0,65.0,1
AA,1937.0,BOS,SJU,4,515.0,240.0,0
US,1774.0,CLT,DTW,3,1335.0,98.0,0
MQ,3058.0,RNO,LAX,4,1145.0,90.0,0
DL,1379.0,BOS,LGA,5,570.0,74.0,0
US,596.0,PHX,MCI,4,1195.0,153.0,0
MQ,2859.0,FAY,DFW,2,950.0,190.0,0
XE,2981.0,BTR,IAH,4,730.0,64.0,0
AA,428.0,DFW,RDU,5,960.0,150.0,1
EV,5306.0,GSP,ATL,3,764.0,80.0,0
FL,341.0,PHL,ATL,5,1143.0,152.0,0
HA,555.0,OGG,HNL,3,1235.0,33.0,0
UA,486.0,AUS,IAD,4,713.0,194.0,0
AA,1940.0,ORD,MIA,6,1180.0,180.0,1
XE,5979.0,ORD,FSD,5,762.0,96.0,1
WN,1671.0,MDW,MCO,4,1100.0,160.0,0
